Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,39.2,39.28,39.12,39.2,4747,0
2016-06-22,15:40:00,39.17,39.17,39.01,39.02,2000,0
2016-06-22,15:45:00,39.02,39.14,39.02,39.08,3025,0
2016-06-22,15:50:00,39.05,39.11,39.03,39.11,2100,0
2016-06-22,15:55:00,39.12,39.12,39.09,39.11,1667,0
2016-06-22,16:00:00,39.07,39.11,39.05,39.09,4800,0
2016-06-22,16:05:00,39.07,39.07,39.02,39.03,3400,0
2016-06-22,16:10:00,39.01,39.01,38.88,38.88,12646,0
2016-06-22,16:15:00,38.8799,38.88,38.85,38.86,3875,0
2016-06-22,16:20:00,38.855,38.86,38.83,38.83,4152,0
2016-06-22,16:25:00,38.84,38.85,38.79,38.79,9021,0
2016-06-22,16:30:00,38.7993,38.84,38.77,38.84,5863,0
2016-06-22,16:35:00,38.82,38.86,38.79,38.85,4505,0
2016-06-22,16:40:00,38.87,38.9,38.86,38.88,2020,0
2016-06-22,16:45:00,38.88,38.9,38.86,38.86,5361,0
2016-06-22,16:50:00,38.86,38.885,38.83,38.885,4220,0
2016-06-22,16:55:00,38.89,38.89,38.88,38.88,1000,0
2016-06-22,17:00:00,38.88,38.97,38.88,38.94,57500,0
2016-06-22,17:05:00,38.94,38.94,38.91,38.91,5994,0
2016-06-22,17:10:00,38.9,38.92,38.88,38.92,7801,0
2016-06-22,17:15:00,38.92,38.94,38.92,38.92,5941,0
2016-06-22,17:20:00,38.91,38.98,38.91,38.96,9837,0
2016-06-22,17:25:00,38.96,38.96,38.91,38.91,4847,0
2016-06-22,17:30:00,38.9,38.9,38.88,38.9,6230,0
2016-06-22,17:35:00,38.9,38.9,38.8,38.8,5447,0
2016-06-22,17:40:00,38.795,38.85,38.795,38.81,7832,0
2016-06-22,17:45:00,38.79,38.81,38.78,38.8,7500,0
2016-06-22,17:50:00,38.795,38.81,38.75,38.76,4802,0
2016-06-22,17:55:00,38.73,38.75,38.71,38.72,8470,0
2016-06-22,18:00:00,38.72,38.74,38.72,38.74,4000,0
2016-06-22,18:05:00,38.75,38.86,38.75,38.86,8250,0
2016-06-22,18:10:00,38.87,38.9,38.87,38.89,1789,0
2016-06-22,18:15:00,38.9,38.93,38.9,38.92,3250,0
2016-06-22,18:20:00,38.925,38.94,38.89,38.9,3639,0
2016-06-22,18:25:00,38.91,38.92,38.82,38.82,10896,0
2016-06-22,18:30:00,38.825,38.87,38.8101,38.87,3371,0
2016-06-22,18:35:00,38.88,38.88,38.86,38.88,2200,0
2016-06-22,18:40:00,38.88,38.885,38.875,38.88,3600,0
2016-06-22,18:45:00,38.87,38.885,38.8,38.8,6500,0
2016-06-22,18:50:00,38.795,38.795,38.745,38.78,6520,0
