Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,17.52,17.55,17.52,17.55,9818,0
2016-06-16,15:40:00,17.5375,17.5375,17.5375,17.5375,2000,0
2016-06-16,15:45:00,17.52,17.52,17.51,17.51,800,0
2016-06-16,15:50:00,17.5399,17.5399,17.51,17.51,4994,0
2016-06-16,15:55:00,17.51,17.51,17.51,17.51,630,0
2016-06-16,16:00:00,17.5011,17.51,17.48,17.48,5000,0
2016-06-16,16:05:00,17.44,17.44,17.44,17.44,100,0
2016-06-16,16:10:00,17.44,17.5,17.4,17.41,5675,0
2016-06-16,16:15:00,17.49,17.49,17.48,17.49,1002,0
2016-06-16,16:25:00,17.465,17.49,17.4467,17.4476,3116,0
2016-06-16,16:30:00,17.4525,17.48,17.4301,17.45,5085,0
2016-06-16,16:40:00,17.4201,17.43,17.41,17.41,1132,0
2016-06-16,16:45:00,17.45,17.45,17.45,17.45,200,0
2016-06-16,16:50:00,17.45,17.45,17.44,17.4448,1435,0
2016-06-16,16:55:00,17.43,17.4499,17.39,17.4499,6227,0
2016-06-16,17:00:00,17.435,17.45,17.432,17.45,912,0
2016-06-16,17:05:00,17.44,17.44,17.34,17.34,15071,0
2016-06-16,17:10:00,17.37,17.38,17.37,17.37,1600,0
2016-06-16,17:15:00,17.408,17.44,17.408,17.44,300,0
2016-06-16,17:20:00,17.438,17.45,17.42,17.42,1574,0
2016-06-16,17:25:00,17.42,17.42,17.42,17.42,200,0
2016-06-16,17:30:00,17.4387,17.45,17.4387,17.45,3160,0
2016-06-16,17:35:00,17.46,17.5055,17.46,17.5055,2500,0
2016-06-16,17:40:00,17.4607,17.4607,17.4607,17.4607,700,0
2016-06-16,17:50:00,17.455,17.455,17.455,17.455,100,0
2016-06-16,17:55:00,17.42,17.4699,17.42,17.4699,627,0
2016-06-16,18:00:00,17.4545,17.4545,17.42,17.42,1022,0
2016-06-16,18:05:00,17.4599,17.4599,17.4599,17.4599,2150,0
2016-06-16,18:10:00,17.4235,17.4469,17.4139,17.4139,1586,0
2016-06-16,18:20:00,17.435,17.48,17.435,17.48,1002,0
2016-06-16,18:25:00,17.4762,17.4762,17.4762,17.4762,125,0
2016-06-16,18:45:00,17.49,17.52,17.49,17.52,702,0
2016-06-16,18:55:00,17.5295,17.5295,17.47,17.47,4263,0
2016-06-16,19:00:00,17.5299,17.5299,17.5299,17.5299,100,0
2016-06-16,19:05:00,17.5,17.51,17.48,17.51,6192,0
2016-06-16,19:10:00,17.515,17.515,17.5,17.5,925,0
2016-06-16,19:15:00,17.52,17.52,17.52,17.52,100,0
2016-06-16,19:20:00,17.5,17.5149,17.5,17.512,6580,0
2016-06-16,19:25:00,17.512,17.53,17.5068,17.52,6424,0
2016-06-16,19:30:00,17.52,17.52,17.5,17.51,3600,0
2016-06-16,19:35:00,17.51,17.52,17.49,17.49,3925,0
2016-06-16,19:40:00,17.4849,17.5,17.4849,17.5,1945,0
2016-06-16,19:45:00,17.5,17.5197,17.49,17.5178,3245,0
2016-06-16,19:55:00,17.505,17.5199,17.505,17.5199,340,0
2016-06-16,20:00:00,17.49,17.49,17.49,17.49,200,0
2016-06-16,20:05:00,17.5099,17.5099,17.49,17.49,2300,0
2016-06-16,20:15:00,17.49,17.52,17.47,17.514,7525,0
2016-06-16,20:20:00,17.512,17.52,17.51,17.5199,10273,0
2016-06-16,20:25:00,17.519,17.54,17.517,17.54,3730,0
2016-06-16,20:35:00,17.52,17.535,17.5,17.5,2544,0
2016-06-16,20:40:00,17.52,17.52,17.52,17.52,100,0
2016-06-16,20:45:00,17.5399,17.5399,17.5,17.5,900,0
2016-06-16,20:55:00,17.51,17.5101,17.51,17.51,1000,0
2016-06-16,21:00:00,17.53,17.54,17.51,17.5392,2010,0
2016-06-16,21:05:00,17.51,17.51,17.51,17.51,100,0
2016-06-16,21:10:00,17.52,17.52,17.52,17.52,400,0
2016-06-16,21:15:00,17.52,17.54,17.52,17.53,1000,0
2016-06-16,21:20:00,17.54,17.5526,17.53,17.5526,1955,0
2016-06-16,21:25:00,17.55,17.56,17.55,17.56,300,0
2016-06-16,21:30:00,17.56,17.56,17.5599,17.5599,1200,0
2016-06-16,21:35:00,17.58,17.58,17.56,17.5799,1720,0
2016-06-16,21:40:00,17.58,17.58,17.57,17.57,6071,0
2016-06-16,21:45:00,17.58,17.58,17.56,17.5726,1100,0
2016-06-16,21:50:00,17.58,17.59,17.573,17.5819,11422,0
2016-06-16,21:55:00,17.5832,17.6,17.5832,17.6,1304,0
2016-06-16,22:00:00,17.59,17.6,17.59,17.59,1700,0
2016-06-17,15:35:00,17.57,17.57,17.57,17.57,3864,0
2016-06-17,15:40:00,17.58,17.58,17.56,17.56,704,0
2016-06-17,15:45:00,17.524,17.524,17.524,17.524,180,0
2016-06-17,15:50:00,17.5001,17.525,17.5,17.525,1300,0
2016-06-17,15:55:00,17.5,17.53,17.445,17.5264,6914,0
2016-06-17,16:00:00,17.49,17.49,17.49,17.49,264,0
2016-06-17,16:05:00,17.52,17.52,17.52,17.52,100,0
2016-06-17,16:10:00,17.51,17.51,17.4979,17.4979,1425,0
2016-06-17,16:15:00,17.46,17.5199,17.46,17.5199,1298,0
2016-06-17,16:30:00,17.5318,17.5318,17.5318,17.5318,337,0
2016-06-17,16:35:00,17.48,17.48,17.48,17.48,900,0
2016-06-17,16:40:00,17.4407,17.4407,17.4407,17.4407,2000,0
2016-06-17,16:50:00,17.4501,17.4501,17.45,17.45,1168,0
2016-06-17,17:00:00,17.47,17.47,17.45,17.4699,852,0
2016-06-17,17:05:00,17.46,17.46,17.45,17.45,538,0
2016-06-17,17:10:00,17.4348,17.4348,17.4348,17.4348,2800,0
2016-06-17,17:15:00,17.4499,17.4499,17.4499,17.4499,173,0
2016-06-17,17:20:00,17.4164,17.42,17.41,17.42,4903,0
2016-06-17,17:40:00,17.4101,17.45,17.4101,17.4353,1698,0
2016-06-17,17:50:00,17.4608,17.4608,17.4608,17.4608,200,0
2016-06-17,17:55:00,17.4799,17.4799,17.46,17.46,1145,0
2016-06-17,18:00:00,17.4433,17.4433,17.4433,17.4433,750,0
2016-06-17,18:05:00,17.48,17.48,17.48,17.48,200,0
2016-06-17,18:15:00,17.458,17.458,17.458,17.458,200,0
2016-06-17,18:20:00,17.4401,17.4401,17.4401,17.4401,560,0
2016-06-17,18:25:00,17.495,17.5,17.449,17.5,1230,0
2016-06-17,18:30:00,17.4501,17.4501,17.4501,17.4501,300,0
2016-06-17,18:35:00,17.4835,17.4835,17.4835,17.4835,182,0
2016-06-17,19:00:00,17.4501,17.4501,17.4501,17.4501,300,0
2016-06-17,19:15:00,17.46,17.47,17.46,17.47,475,0
2016-06-17,19:20:00,17.47,17.5,17.47,17.47,2128,0
2016-06-17,19:35:00,17.4693,17.47,17.465,17.47,1415,0
2016-06-17,19:50:00,17.47,17.47,17.47,17.47,600,0
2016-06-17,20:00:00,17.46,17.465,17.41,17.428,18316,0
2016-06-17,20:10:00,17.47,17.47,17.4401,17.4401,920,0
2016-06-17,20:15:00,17.4899,17.4899,17.4301,17.4301,600,0
2016-06-17,20:35:00,17.45,17.4641,17.45,17.4641,610,0
2016-06-17,20:40:00,17.45,17.5099,17.45,17.5,3275,0
2016-06-17,20:45:00,17.4566,17.4566,17.4566,17.4566,351,0
2016-06-17,20:50:00,17.4857,17.4857,17.4857,17.4857,175,0
2016-06-17,21:00:00,17.4401,17.45,17.4401,17.45,1100,0
2016-06-17,21:05:00,17.4401,17.4401,17.4401,17.4401,134,0
2016-06-17,21:10:00,17.43,17.44,17.41,17.41,4615,0
2016-06-17,21:15:00,17.4515,17.4515,17.4515,17.4515,500,0
2016-06-17,21:20:00,17.48,17.48,17.47,17.47,200,0
2016-06-17,21:25:00,17.47,17.47,17.468,17.47,400,0
2016-06-17,21:30:00,17.468,17.47,17.468,17.468,400,0
2016-06-17,21:35:00,17.47,17.47,17.46,17.47,1000,0
2016-06-17,21:40:00,17.468,17.47,17.468,17.47,500,0
2016-06-17,21:45:00,17.47,17.47,17.412,17.448,1150,0
2016-06-17,21:50:00,17.45,17.47,17.43,17.468,1320,0
2016-06-17,21:55:00,17.468,17.47,17.42,17.45,2245,0
2016-06-17,22:00:00,17.46,17.49,17.44,17.49,2528,0
2016-06-20,15:35:00,17.62,17.72,17.62,17.7,6550,0
2016-06-20,15:40:00,17.712,17.712,17.712,17.712,100,0
2016-06-20,15:45:00,17.6991,17.72,17.6616,17.72,1100,0
2016-06-20,15:50:00,17.702,17.72,17.702,17.72,800,0
2016-06-20,15:55:00,17.7,17.71,17.7,17.71,400,0
2016-06-20,16:05:00,17.72,17.72,17.72,17.72,100,0
2016-06-20,16:15:00,17.7356,17.7356,17.7356,17.7356,500,0
2016-06-20,16:20:00,17.737,17.74,17.737,17.74,1300,0
2016-06-20,16:30:00,17.7373,17.7373,17.7373,17.7373,570,0
2016-06-20,16:40:00,17.7399,17.75,17.7399,17.75,1916,0
2016-06-20,16:45:00,17.7393,17.75,17.7393,17.75,1200,0
2016-06-20,16:50:00,17.7201,17.75,17.7201,17.75,451,0
2016-06-20,17:00:00,17.75,17.75,17.7499,17.75,300,0
2016-06-20,17:05:00,17.75,17.75,17.75,17.75,100,0
2016-06-20,17:10:00,17.74,17.74,17.7399,17.74,850,0
2016-06-20,17:15:00,17.74,17.77,17.7329,17.77,6725,0
2016-06-20,17:30:00,17.75,17.75,17.75,17.75,100,0
2016-06-20,17:40:00,17.75,17.75,17.75,17.75,100,0
2016-06-20,17:45:00,17.75,17.75,17.75,17.75,100,0
2016-06-20,17:50:00,17.75,17.75,17.71,17.73,3596,0
2016-06-20,17:55:00,17.73,17.73,17.73,17.73,300,0
2016-06-20,18:00:00,17.72,17.73,17.72,17.72,428,0
2016-06-20,18:10:00,17.7199,17.72,17.7199,17.72,1400,0
2016-06-20,18:15:00,17.72,17.72,17.72,17.72,100,0
2016-06-20,18:35:00,17.71,17.7108,17.71,17.7108,593,0
2016-06-20,18:50:00,17.73,17.73,17.73,17.73,100,0
2016-06-20,18:55:00,17.73,17.73,17.7174,17.7174,1200,0
2016-06-20,19:00:00,17.74,17.74,17.74,17.74,200,0
2016-06-20,19:05:00,17.74,17.74,17.7196,17.74,3000,0
2016-06-20,19:10:00,17.74,17.74,17.74,17.74,1200,0
2016-06-20,19:15:00,17.74,17.74,17.72,17.72,1401,0
2016-06-20,19:20:00,17.72,17.72,17.72,17.72,300,0
2016-06-20,19:25:00,17.72,17.74,17.7136,17.74,1328,0
2016-06-20,19:30:00,17.74,17.74,17.72,17.72,1873,0
2016-06-20,19:35:00,17.72,17.7245,17.72,17.7245,992,0
2016-06-20,19:40:00,17.7287,17.7287,17.7129,17.7129,721,0
2016-06-20,19:45:00,17.7117,17.73,17.7117,17.73,655,0
2016-06-20,19:55:00,17.7294,17.7294,17.7294,17.7294,250,0
2016-06-20,20:05:00,17.7383,17.74,17.7268,17.7268,1650,0
2016-06-20,20:10:00,17.74,17.74,17.73,17.73,500,0
2016-06-20,20:15:00,17.73,17.73,17.72,17.72,400,0
2016-06-20,20:20:00,17.73,17.73,17.72,17.72,700,0
2016-06-20,20:25:00,17.72,17.72,17.72,17.72,700,0
2016-06-20,20:30:00,17.72,17.72,17.7129,17.72,2401,0
2016-06-20,20:40:00,17.71,17.72,17.71,17.71,3700,0
2016-06-20,20:45:00,17.71,17.71,17.7,17.7,2600,0
2016-06-20,20:50:00,17.7,17.7,17.61,17.612,5418,0
2016-06-20,20:55:00,17.659,17.659,17.659,17.659,200,0
2016-06-20,21:00:00,17.6621,17.6751,17.6621,17.6751,2070,0
2016-06-20,21:30:00,17.66,17.66,17.65,17.65,200,0
2016-06-20,21:35:00,17.6499,17.6499,17.6499,17.6499,190,0
2016-06-20,21:45:00,17.6,17.6,17.6,17.6,1123,0
