Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,23.2,23.6,23.2,23.5,715,0
2016-06-16,15:40:00,23.6,23.6,22.8243,22.8243,2000,0
2016-06-16,15:45:00,22.7301,22.9841,22.73,22.73,2790,0
2016-06-16,16:00:00,23.05,23.05,23.05,23.05,100,0
2016-06-16,16:10:00,22.7301,22.9595,22.7301,22.9,1900,0
2016-06-16,16:15:00,23.2288,23.23,23.01,23.21,9141,0
2016-06-16,16:20:00,23.2,23.5,22.8401,23.2,12550,0
2016-06-16,16:30:00,23.22,23.34,23.12,23.22,1500,0
2016-06-16,16:35:00,23.12,23.22,23,23,8917,0
2016-06-16,16:40:00,22.89,22.89,21.44,22.2,4422,0
2016-06-16,16:45:00,21.76,22.5762,21.76,22.5762,7540,0
2016-06-16,16:50:00,22.4164,22.4164,22.4164,22.4164,100,0
2016-06-16,16:55:00,22.3099,22.59,22.305,22.59,3300,0
2016-06-16,17:00:00,22.76,22.76,22.4501,22.48,3250,0
2016-06-16,17:05:00,22.47,22.47,22.3,22.3,1400,0
2016-06-16,17:20:00,22.3,22.3,22.3,22.3,300,0
2016-06-16,17:30:00,22.4999,22.5,22.4999,22.5,600,0
2016-06-16,17:35:00,22.6,22.6,22.55,22.55,300,0
2016-06-16,17:40:00,22.12,22.12,22.12,22.12,100,0
2016-06-16,18:05:00,22.21,22.23,21.81,22.15,5437,0
2016-06-16,18:10:00,22,22,22,22,200,0
2016-06-16,18:15:00,21.99,22.135,21.4774,21.4774,7950,0
2016-06-16,18:20:00,21.48,21.5875,21.48,21.5875,450,0
2016-06-16,18:25:00,21.72,21.72,21.72,21.72,100,0
2016-06-16,18:30:00,21.75,22.05,21.41,22.05,5300,0
2016-06-16,18:35:00,21.88,21.88,21.605,21.605,1200,0
2016-06-16,19:10:00,22.01,22.01,22.01,22.01,100,0
2016-06-16,19:15:00,22.33,22.33,22.01,22.01,300,0
2016-06-16,19:20:00,22,22.34,21.99,22.34,689,0
2016-06-16,19:25:00,22.49,22.49,22.01,22.02,400,0
2016-06-16,19:30:00,22.01,22.01,22.01,22.01,100,0
2016-06-16,19:35:00,22.01,22.01,22.01,22.01,100,0
2016-06-16,19:40:00,22.37,22.37,21.5,21.7,5650,0
2016-06-16,19:45:00,21.686,21.85,21.52,21.8,1400,0
2016-06-16,19:50:00,21.71,21.84,21.68,21.84,2399,0
2016-06-16,19:55:00,21.755,22.2,21.755,22.2,400,0
2016-06-16,20:10:00,21.99,21.99,21.99,21.99,200,0
2016-06-16,20:20:00,21.9,21.976,21.6645,21.6645,420,0
2016-06-16,20:25:00,21.83,21.83,21.83,21.83,100,0
2016-06-16,20:30:00,21.5,21.5,21.5,21.5,100,0
2016-06-16,20:35:00,21.6099,21.8,21.6099,21.75,2800,0
2016-06-16,20:40:00,21.7,21.7,21.41,21.41,2320,0
2016-06-16,20:45:00,21.335,21.4,21.335,21.4,400,0
