Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,33.09,33.09,32.94,32.94,500,0
2016-06-21,15:40:00,32.96,32.97,32.96,32.96,400,0
2016-06-21,15:45:00,32.92,32.92,32.92,32.92,200,0
2016-06-21,15:55:00,32.9,32.97,32.9,32.97,1000,0
2016-06-21,16:00:00,32.98,32.995,32.98,32.995,200,0
2016-06-21,16:05:00,32.9,32.91,32.9,32.91,200,0
2016-06-21,16:10:00,32.895,33,32.895,33,600,0
2016-06-21,16:20:00,32.9301,32.9301,32.9301,32.9301,231,0
2016-06-21,16:25:00,32.995,32.995,32.955,32.955,1000,0
2016-06-21,16:30:00,32.98,33.02,32.98,33.02,398,0
2016-06-21,16:35:00,33.06,33.06,33.02,33.02,400,0
2016-06-21,16:40:00,32.94,32.975,32.905,32.91,1800,0
2016-06-21,16:45:00,32.955,32.955,32.955,32.955,300,0
2016-06-21,16:50:00,32.895,32.95,32.895,32.95,500,0
2016-06-21,17:05:00,32.99,33.03,32.99,33.01,4800,0
2016-06-21,17:10:00,32.99,33.01,32.99,33.01,5000,0
2016-06-21,17:15:00,33.02,33.03,32.99,33.02,5337,0
2016-06-21,17:25:00,33.08,33.08,33.02,33.05,400,0
2016-06-21,17:30:00,33.1,33.15,33.0664,33.15,800,0
2016-06-21,17:35:00,33.11,33.11,33.01,33.01,300,0
2016-06-21,17:40:00,33,33,32.955,32.955,900,0
2016-06-21,17:45:00,32.9625,32.9625,32.9625,32.9625,100,0
2016-06-21,17:50:00,32.99,32.99,32.94,32.97,1400,0
2016-06-21,17:55:00,32.9,33,32.89,33,2900,0
2016-06-21,18:00:00,32.97,33.01,32.97,32.98,450,0
2016-06-21,18:05:00,33.03,33.08,33.01,33.01,500,0
2016-06-21,18:10:00,33.01,33.07,32.97,33.07,1376,0
2016-06-21,18:15:00,33,33.02,33,33.02,976,0
2016-06-21,18:20:00,33.02,33.12,33.02,33.12,1100,0
2016-06-21,18:25:00,33.04,33.04,33.04,33.04,100,0
2016-06-21,18:30:00,33.07,33.11,33.07,33.11,314,0
2016-06-21,18:35:00,33.06,33.06,33.06,33.06,200,0
2016-06-21,18:40:00,33.06,33.13,33.06,33.1,800,0
2016-06-21,18:50:00,33.045,33.08,33.03,33.06,1500,0
2016-06-21,18:55:00,33.02,33.05,33.02,33.05,200,0
2016-06-21,19:00:00,33.06,33.11,33.06,33.06,812,0
2016-06-21,19:05:00,33.04,33.04,32.98,32.98,1100,0
2016-06-21,19:10:00,33.02,33.05,33.02,33.05,700,0
2016-06-21,19:15:00,33.02,33.02,33.02,33.02,100,0
2016-06-21,19:25:00,33.01,33.04,33,33,500,0
2016-06-21,19:30:00,32.99,32.99,32.99,32.99,100,0
2016-06-21,19:35:00,33.01,33.01,33.01,33.01,100,0
2016-06-21,19:40:00,33,33,32.93,32.97,900,0
2016-06-21,19:45:00,32.99,32.99,32.99,32.99,100,0
2016-06-21,19:50:00,32.98,32.98,32.98,32.98,100,0
2016-06-21,20:00:00,32.97,32.98,32.97,32.98,200,0
2016-06-21,20:05:00,33.02,33.02,33,33,200,0
2016-06-21,20:10:00,33.02,33.04,33.02,33.04,555,0
2016-06-21,20:15:00,33.1,33.1,33.06,33.06,200,0
2016-06-21,20:20:00,33.04,33.12,33.04,33.12,1342,0
2016-06-21,20:25:00,33.08,33.08,33.08,33.08,200,0
2016-06-21,20:30:00,33.1,33.12,33.1,33.11,690,0
2016-06-21,20:35:00,33.22,33.22,33.22,33.22,200,0
2016-06-21,20:40:00,33.23,33.32,33.23,33.32,400,0
2016-06-21,20:45:00,33.27,33.29,33.23,33.29,500,0
2016-06-21,20:50:00,33.28,33.28,33.25,33.26,500,0
2016-06-21,20:55:00,33.24,33.26,33.205,33.26,1792,0
2016-06-21,21:00:00,33.22,33.22,33.16,33.16,400,0
2016-06-21,21:10:00,33.12,33.12,33.12,33.12,100,0
2016-06-21,21:15:00,33.155,33.155,33.07,33.1,21500,0
2016-06-21,21:20:00,33.1,33.16,33.1,33.15,1497,0
2016-06-21,21:25:00,33.15,33.16,33.13,33.16,600,0
2016-06-21,21:30:00,33.12,33.17,33.12,33.13,1300,0
2016-06-21,21:35:00,33.16,33.16,33.13,33.13,700,0
2016-06-21,21:40:00,33.15,33.17,33.14,33.17,1000,0
2016-06-21,21:45:00,33.16,33.16,33.14,33.15,500,0
2016-06-21,21:50:00,33.14,33.21,33.14,33.2,10328,0
2016-06-21,21:55:00,33.2,33.22,33.19,33.22,5800,0
2016-06-21,22:00:00,33.22,33.23,33.19,33.21,14385,0
2016-06-22,15:35:00,33.15,33.15,33.15,33.15,224,0
2016-06-22,15:40:00,33.2,33.29,32.97,33.29,2756,0
2016-06-22,15:50:00,33.31,33.31,33.31,33.31,100,0
2016-06-22,15:55:00,33.38,33.41,33.31,33.31,500,0
2016-06-22,16:00:00,33.36,33.36,33.31,33.31,300,0
2016-06-22,16:05:00,33.3,33.31,33.25,33.25,300,0
2016-06-22,16:10:00,33.31,33.31,33.29,33.29,200,0
2016-06-22,16:15:00,33.3,33.34,33.29,33.34,800,0
2016-06-22,16:20:00,33.36,33.36,33.3,33.3,1800,0
2016-06-22,16:30:00,33.322,33.38,33.31,33.31,1200,0
2016-06-22,16:35:00,33.35,33.38,33.35,33.37,1000,0
2016-06-22,16:40:00,33.37,33.39,33.3,33.39,900,0
2016-06-22,16:45:00,33.325,33.34,33.3,33.3,800,0
2016-06-22,16:50:00,33.32,33.38,33.32,33.36,2000,0
2016-06-22,16:55:00,33.34,33.44,33.34,33.41,1900,0
2016-06-22,17:00:00,33.44,33.44,33.41,33.42,700,0
2016-06-22,17:15:00,33.51,33.51,33.51,33.51,100,0
2016-06-22,17:20:00,33.5,33.5,33.5,33.5,590,0
2016-06-22,17:25:00,33.55,33.55,33.49,33.52,671,0
2016-06-22,17:30:00,33.555,33.555,33.49,33.49,1468,0
2016-06-22,17:35:00,33.475,33.475,33.37,33.37,900,0
2016-06-22,17:40:00,33.47,33.47,33.47,33.47,100,0
2016-06-22,17:45:00,33.46,33.46,33.37,33.37,1400,0
2016-06-22,17:50:00,33.43,33.46,33.43,33.46,500,0
2016-06-22,17:55:00,33.45,33.49,33.43,33.49,300,0
2016-06-22,18:00:00,33.46,33.5,33.46,33.5,600,0
2016-06-22,18:05:00,33.51,33.51,33.47,33.51,1200,0
2016-06-22,18:10:00,33.47,33.47,33.47,33.47,237,0
2016-06-22,18:20:00,33.52,33.52,33.48,33.48,500,0
2016-06-22,18:25:00,33.47,33.47,33.42,33.43,700,0
