Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,28.98,29.1,28.95,29.1,2898,0
2016-06-22,15:40:00,29.1,29.13,28.58,28.75,12988,0
2016-06-22,15:45:00,28.77,29.08,28.73,28.84,4730,0
2016-06-22,15:50:00,28.84,28.84,28.5,28.58,10300,0
2016-06-22,15:55:00,28.65,28.81,28.5837,28.65,7200,0
2016-06-22,16:00:00,28.69,28.81,28.51,28.52,4470,0
2016-06-22,16:05:00,28.53,28.53,28.4,28.48,3400,0
2016-06-22,16:10:00,28.4,28.4,28.23,28.29,13990,0
2016-06-22,16:15:00,28.315,28.53,28.17,28.53,5505,0
2016-06-22,16:20:00,28.45,28.45,28.12,28.23,5600,0
2016-06-22,16:25:00,28.25,28.26,28.108,28.17,4200,0
2016-06-22,16:30:00,28.17,28.17,27.95,28.09,7339,0
2016-06-22,16:35:00,28.05,29.18,28,29.18,14610,0
2016-06-22,16:40:00,29.47,29.71,29.21,29.21,13208,0
2016-06-22,16:45:00,29.18,29.53,29.1,29.43,4370,0
2016-06-22,16:50:00,29.42,29.69,29.33,29.69,1995,0
2016-06-22,16:55:00,29.74,29.8,29.57,29.65,5231,0
2016-06-22,17:00:00,29.68,29.68,29.55,29.56,1700,0
2016-06-22,17:05:00,29.55,29.74,29.5,29.71,4000,0
2016-06-22,17:10:00,29.73,29.75,29.6,29.75,4100,0
2016-06-22,17:15:00,29.75,29.77,29.53,29.53,3643,0
2016-06-22,17:20:00,29.52,29.67,29.51,29.67,4004,0
2016-06-22,17:25:00,29.7,29.7,29.58,29.58,1900,0
2016-06-22,17:30:00,29.51,29.58,29.51,29.57,3400,0
2016-06-22,17:35:00,29.55,29.55,29.22,29.26,11800,0
2016-06-22,17:40:00,29.23,29.3646,29.23,29.26,2689,0
2016-06-22,17:45:00,29.24,29.25,29.07,29.15,4700,0
2016-06-22,17:50:00,29.11,29.13,28.71,28.73,14900,0
2016-06-22,17:55:00,28.72,28.755,28.62,28.71,3600,0
