Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-17,15:35:00,29.51,29.65,29.51,29.65,59176,0
2016-06-17,15:40:00,29.66,29.66,29.57,29.57,900,0
2016-06-17,15:50:00,29.67,29.67,29.565,29.565,6600,0
2016-06-17,15:55:00,29.63,29.84,29.63,29.755,3000,0
2016-06-17,16:00:00,29.745,29.75,29.65,29.75,400,0
2016-06-17,16:05:00,29.73,29.83,29.73,29.83,400,0
2016-06-17,16:10:00,29.89,29.89,29.73,29.76,400,0
2016-06-17,16:15:00,29.84,29.84,29.84,29.84,700,0
2016-06-17,16:20:00,29.88,29.88,29.88,29.88,100,0
2016-06-17,16:25:00,29.87,29.89,29.85,29.87,900,0
2016-06-17,16:30:00,29.91,29.91,29.895,29.91,300,0
2016-06-17,16:35:00,29.85,29.91,29.81,29.91,3000,0
2016-06-17,16:40:00,29.84,29.87,29.84,29.87,649,0
2016-06-17,16:45:00,29.92,29.98,29.92,29.98,700,0
2016-06-17,16:50:00,29.98,30.09,29.96,30.02,2200,0
2016-06-17,16:55:00,30.04,30.06,29.98,30,1400,0
2016-06-17,17:00:00,30.06,30.06,30.01,30.01,348,0
2016-06-17,17:05:00,29.99,30,29.96,29.99,3400,0
2016-06-17,17:10:00,29.98,30.06,29.97,29.97,1300,0
2016-06-17,17:15:00,30,30,29.94,29.99,2800,0
2016-06-17,17:20:00,29.965,30,29.965,30,400,0
2016-06-17,17:25:00,30.03,30.07,30.03,30.06,2400,0
2016-06-17,17:30:00,30.02,30.02,29.9,29.92,1300,0
2016-06-17,17:35:00,29.89,29.95,29.89,29.95,797,0
2016-06-17,17:40:00,29.95,30.01,29.95,30.01,700,0
2016-06-17,17:45:00,30.02,30.02,29.97,29.97,1471,0
2016-06-17,17:50:00,30.02,30.02,29.975,30.02,1100,0
2016-06-17,17:55:00,30.02,30.02,29.98,30.02,500,0
2016-06-17,18:00:00,30.02,30.02,29.95,29.95,200,0
2016-06-17,18:05:00,29.99,30,29.99,30,700,0
2016-06-17,18:10:00,29.98,29.98,29.95,29.95,260,0
2016-06-17,18:15:00,29.97,29.97,29.97,29.97,907,0
2016-06-17,18:20:00,29.94,29.94,29.88,29.88,700,0
2016-06-17,18:25:00,29.86,29.86,29.86,29.86,400,0
2016-06-17,18:30:00,29.85,29.89,29.85,29.89,1500,0
2016-06-17,18:35:00,29.83,29.87,29.8,29.85,600,0
