Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-07,15:50:00,31.61,31.77,31.61,31.77,700,0
2016-06-07,15:55:00,31.77,31.77,31.77,31.77,100,0
2016-06-07,16:00:00,31.79,31.79,31.79,31.79,100,0
2016-06-07,16:25:00,31.77,31.77,31.76,31.76,400,0
2016-06-07,16:35:00,31.905,31.905,31.905,31.905,100,0
2016-06-07,17:00:00,31.84,31.84,31.84,31.84,200,0
2016-06-07,17:15:00,31.83,31.84,31.83,31.84,300,0
2016-06-07,17:20:00,31.89,31.89,31.89,31.89,100,0
2016-06-07,17:30:00,31.94,32,31.94,32,200,0
2016-06-07,17:35:00,32.025,32.05,32.025,32.05,300,0
2016-06-07,17:40:00,32.07,32.07,32,32,600,0
2016-06-07,18:00:00,32.08,32.08,32.08,32.08,300,0
2016-06-07,18:05:00,32.25,32.27,32.25,32.27,200,0
2016-06-07,18:15:00,32.31,32.31,32.31,32.31,100,0
2016-06-07,18:20:00,32.21,32.33,32.21,32.33,300,0
2016-06-07,19:20:00,32.26,32.27,32.26,32.27,400,0
2016-06-07,19:50:00,32.18,32.18,32.18,32.18,100,0
2016-06-07,20:10:00,32.28,32.28,32.18,32.18,400,0
2016-06-07,20:15:00,32.18,32.18,32.18,32.18,200,0
2016-06-07,20:20:00,32.08,32.08,32.04,32.04,300,0
2016-06-07,20:25:00,32.04,32.06,32.03,32.06,400,0
2016-06-07,20:35:00,32.0899,32.0899,32.0899,32.0899,312,0
2016-06-07,21:00:00,32.09,32.09,32.04,32.04,200,0
2016-06-07,21:05:00,32.03,32.03,32.02,32.02,300,0
2016-06-07,21:15:00,32.03,32.03,31.93,31.93,300,0
2016-06-07,21:25:00,31.85,31.85,31.85,31.85,100,0
2016-06-07,21:30:00,31.77,31.77,31.77,31.77,100,0
2016-06-07,21:35:00,31.86,31.86,31.77,31.77,300,0
2016-06-07,21:40:00,31.78,31.79,31.78,31.79,300,0
2016-06-07,21:45:00,31.77,31.77,31.77,31.77,100,0
2016-06-07,21:50:00,31.78,31.89,31.78,31.89,300,0
2016-06-07,21:55:00,31.81,31.81,31.8,31.8,200,0
2016-06-07,22:00:00,31.8,31.8,31.65,31.75,2934,0
2016-06-08,15:35:00,31.75,31.75,31.75,31.75,457,0
2016-06-08,15:55:00,31.8,31.8,31.7,31.74,400,0
2016-06-08,16:00:00,31.64,31.86,31.64,31.86,684,0
2016-06-08,16:05:00,32.35,32.35,32.35,32.35,100,0
2016-06-08,16:10:00,32.14,32.24,32.14,32.24,1400,0
2016-06-08,16:15:00,32.13,32.13,32.13,32.13,100,0
2016-06-08,16:20:00,31.92,31.96,31.9,31.96,412,0
2016-06-08,16:25:00,31.78,31.9499,31.78,31.9499,1200,0
2016-06-08,16:30:00,31.94,31.96,31.94,31.96,200,0
2016-06-08,16:45:00,31.93,31.93,31.93,31.93,300,0
2016-06-08,16:55:00,32.31,32.31,32.31,32.31,100,0
2016-06-08,17:25:00,31.97,32.13,31.97,32.12,690,0
2016-06-08,17:30:00,32,32,32,32,100,0
2016-06-08,17:35:00,32.075,32.15,31.985,32.06,3000,0
2016-06-08,17:40:00,32.15,32.16,32,32,1100,0
2016-06-08,17:45:00,32,32.075,31.9901,32.075,600,0
2016-06-08,18:10:00,32.015,32.015,32.015,32.015,100,0
2016-06-08,18:15:00,32.14,32.14,32.14,32.14,100,0
2016-06-08,18:35:00,32.13,32.2,32.13,32.2,300,0
2016-06-08,18:50:00,31.92,31.92,31.92,31.92,100,0
2016-06-08,19:15:00,31.96,32.15,31.92,32.15,2190,0
2016-06-08,19:20:00,32.2,32.2,32.2,32.2,200,0
2016-06-08,19:35:00,32.255,32.255,32.255,32.255,100,0
2016-06-08,19:40:00,32.425,32.425,32.34,32.34,200,0
2016-06-08,19:45:00,32.46,32.46,32.46,32.46,100,0
2016-06-08,19:50:00,32.355,32.355,32.355,32.355,100,0
2016-06-08,19:55:00,32.4,32.4,32.4,32.4,100,0
2016-06-08,20:10:00,32.37,32.37,32.37,32.37,100,0
2016-06-08,20:25:00,32.48,32.48,32.48,32.48,100,0
2016-06-08,20:35:00,32.51,32.52,32.51,32.52,200,0
2016-06-08,20:40:00,32.38,32.38,32.3,32.3,600,0
2016-06-08,20:45:00,32.375,32.375,32.23,32.3,7360,0
2016-06-08,20:50:00,32.365,32.365,32.23,32.3,800,0
2016-06-08,20:55:00,32.36,32.36,32.36,32.36,100,0
2016-06-08,21:00:00,32.44,32.44,32.25,32.25,300,0
2016-06-08,21:10:00,32.22,32.22,32.22,32.22,100,0
2016-06-08,21:20:00,32.335,32.34,32.2,32.2,3380,0
2016-06-08,21:25:00,32.42,32.43,32.4,32.43,500,0
2016-06-08,21:30:00,32.45,32.63,32.45,32.62,1100,0
2016-06-08,21:35:00,32.67,32.67,32.67,32.67,100,0
2016-06-08,21:40:00,32.45,32.45,32.45,32.45,100,0
2016-06-08,21:45:00,32.525,32.61,32.525,32.61,200,0
2016-06-08,21:55:00,32.61,32.7,32.6,32.7,800,0
2016-06-08,22:00:00,32.7,32.72,32.51,32.58,4301,0
2016-06-09,15:35:00,32.16,32.16,32.16,32.16,1091,0
2016-06-09,15:45:00,32.27,32.37,32.27,32.37,400,0
2016-06-09,15:50:00,32.36,32.36,32.36,32.36,100,0
2016-06-09,16:00:00,32.31,32.31,32.31,32.31,100,0
2016-06-09,16:05:00,32.43,32.43,32.315,32.315,200,0
2016-06-09,16:10:00,32.49,32.54,32.49,32.52,400,0
2016-06-09,16:15:00,32.64,32.64,32.64,32.64,300,0
2016-06-09,16:35:00,33,33,33,33,500,0
2016-06-09,16:40:00,32.98,32.999,32.975,32.975,300,0
2016-06-09,16:45:00,32.9201,32.965,32.88,32.88,1500,0
2016-06-09,16:50:00,32.92,33.03,32.91,33.03,600,0
2016-06-09,16:55:00,33.05,33.06,32.95,33.06,1200,0
2016-06-09,17:05:00,33.15,33.17,33.15,33.17,200,0
2016-06-09,17:25:00,33.19,33.2099,33.19,33.2099,304,0
2016-06-09,17:35:00,33.2,33.25,33.18,33.25,600,0
2016-06-09,17:45:00,33.335,33.42,33.335,33.42,300,0
2016-06-09,18:00:00,33.4,33.44,33.4,33.44,200,0
2016-06-09,18:05:00,33.48,33.52,33.48,33.52,600,0
2016-06-09,18:15:00,33.56,33.61,33.56,33.61,400,0
2016-06-09,18:20:00,33.64,33.64,33.5401,33.58,900,0
2016-06-09,19:00:00,33.54,33.54,33.54,33.54,100,0
2016-06-09,19:05:00,33.49,33.49,33.49,33.49,100,0
2016-06-09,19:15:00,33.45,33.45,33.45,33.45,100,0
2016-06-09,19:20:00,33.49,33.5,33.49,33.5,400,0
2016-06-09,19:25:00,33.54,33.55,33.5,33.5,600,0
2016-06-09,19:30:00,33.58,33.6,33.58,33.6,400,0
2016-06-09,19:35:00,33.63,33.68,33.63,33.68,400,0
2016-06-09,19:40:00,33.76,33.76,33.73,33.73,300,0
2016-06-09,19:45:00,33.81,33.86,33.81,33.86,200,0
2016-06-09,19:55:00,33.9,33.9,33.87,33.87,200,0
2016-06-09,20:05:00,33.84,33.84,33.84,33.84,100,0
2016-06-09,20:10:00,33.85,33.85,33.85,33.85,100,0
2016-06-09,20:15:00,33.85,33.85,33.85,33.85,425,0
2016-06-09,20:20:00,33.89,33.89,33.89,33.89,100,0
2016-06-09,20:40:00,33.85,33.85,33.85,33.85,100,0
2016-06-09,20:45:00,33.96,33.96,33.96,33.96,100,0
2016-06-09,20:50:00,33.97,34,33.97,34,302,0
2016-06-09,20:55:00,33.9989,33.9989,33.9,33.9,400,0
2016-06-09,21:00:00,33.9,33.94,33.9,33.94,600,0
2016-06-09,21:10:00,33.89,33.89,33.82,33.82,400,0
2016-06-09,21:20:00,33.8507,33.865,33.8,33.83,400,0
2016-06-09,21:25:00,33.82,33.85,33.76,33.79,1100,0
2016-06-09,21:30:00,33.7812,33.7812,33.78,33.78,400,0
2016-06-09,21:35:00,33.78,33.86,33.78,33.86,400,0
2016-06-09,21:40:00,33.72,33.86,33.72,33.86,500,0
2016-06-09,21:50:00,33.8,33.8,33.8,33.8,100,0
2016-06-09,21:55:00,33.82,33.82,33.82,33.82,100,0
2016-06-09,22:00:00,33.81,34.22,33.8,34.05,6999,0
2016-06-10,15:35:00,34,34.44,34,34.23,780,0
2016-06-10,16:00:00,34.08,34.08,34.08,34.08,100,0
2016-06-10,16:05:00,34.21,34.21,34.21,34.21,100,0
2016-06-10,16:15:00,34.01,34.01,34.01,34.01,100,0
2016-06-10,16:20:00,34.01,34.01,33.75,33.75,1676,0
2016-06-10,16:25:00,33.75,33.75,33.75,33.75,100,0
2016-06-10,16:50:00,33.81,33.81,33.81,33.81,200,0
2016-06-10,16:55:00,33.94,34.08,33.92,34.08,1300,0
2016-06-10,17:00:00,34.08,34.22,34.08,34.22,400,0
2016-06-10,17:05:00,34.16,34.16,34.16,34.16,400,0
2016-06-10,17:10:00,34.18,34.18,34.18,34.18,200,0
2016-06-10,17:40:00,34.2,34.4,34.19,34.4,600,0
2016-06-10,17:45:00,34.35,34.35,34.35,34.35,200,0
2016-06-10,17:50:00,34.28,34.28,34.28,34.28,100,0
2016-06-10,17:55:00,34.33,34.33,34.33,34.33,100,0
2016-06-10,18:00:00,34.43,34.43,34.43,34.43,100,0
2016-06-10,18:15:00,34.4,34.4,34.4,34.4,100,0
2016-06-10,18:30:00,34.335,34.39,34.27,34.35,1250,0
2016-06-10,18:35:00,34,34.25,34,34.25,800,0
2016-06-10,18:40:00,34.24,34.24,34.23,34.23,400,0
2016-06-10,18:45:00,34.36,34.36,34.26,34.26,200,0
2016-06-10,20:00:00,34.24,34.24,34.24,34.24,100,0
2016-06-10,20:10:00,34.18,34.24,34.18,34.24,600,0
2016-06-10,20:15:00,34.3,34.3,34.3,34.3,100,0
2016-06-10,20:25:00,34.24,34.29,34.24,34.29,257,0
2016-06-10,20:40:00,34.32,34.32,34.32,34.32,100,0
2016-06-10,20:50:00,34.3,34.3,34.22,34.22,200,0
2016-06-10,21:20:00,34.275,34.3795,34.275,34.3795,400,0
2016-06-10,21:25:00,34.38,34.45,34.3,34.45,500,0
2016-06-10,21:30:00,34.46,34.46,34.46,34.46,100,0
2016-06-10,21:35:00,34.46,34.76,34.46,34.71,3100,0
2016-06-10,21:40:00,34.7,34.7,34.7,34.7,100,0
2016-06-10,21:45:00,34.67,34.67,34.54,34.57,800,0
2016-06-10,21:50:00,34.55,34.55,34.54,34.54,200,0
2016-06-10,21:55:00,34.45,34.55,34.44,34.49,1910,0
2016-06-10,22:00:00,34.45,34.75,34.44,34.5,5776,0
2016-06-13,15:35:00,34.62,34.62,34.62,34.62,732,0
2016-06-13,15:40:00,34.19,34.2,34,34,400,0
2016-06-13,15:55:00,34.01,34.01,33.88,33.88,300,0
2016-06-13,16:00:00,33.9,33.9,33.9,33.9,100,0
2016-06-13,16:05:00,34.13,34.13,33.81,33.81,400,0
2016-06-13,16:15:00,33.82,33.82,33.82,33.82,100,0
2016-06-13,16:30:00,33.86,34.03,33.81,34.03,600,0
2016-06-13,16:35:00,33.96,33.96,33.96,33.96,100,0
2016-06-13,16:40:00,33.98,33.98,33.98,33.98,300,0
2016-06-13,16:45:00,33.93,33.93,33.86,33.86,300,0
2016-06-13,16:50:00,33.85,33.95,33.7301,33.95,300,0
2016-06-13,16:55:00,33.8853,34.18,33.8853,34.14,1700,0
2016-06-13,17:00:00,33.98,34.03,33.98,33.989,300,0
2016-06-13,17:05:00,33.99,33.99,33.99,33.99,100,0
2016-06-13,17:15:00,33.77,34.03,33.77,34,300,0
2016-06-13,17:20:00,34.05,34.09,34.05,34.09,200,0
2016-06-13,17:30:00,33.95,34.025,33.95,34.025,400,0
2016-06-13,17:35:00,34.14,34.14,34.14,34.14,100,0
2016-06-13,17:40:00,34.06,34.2,34.05,34.125,600,0
2016-06-13,17:45:00,34.06,34.07,34.06,34.07,200,0
2016-06-13,17:50:00,34.27,34.27,34.27,34.27,100,0
2016-06-13,18:00:00,34.2,34.43,34.2,34.43,600,0
2016-06-13,18:10:00,34.13,34.13,34.11,34.11,300,0
2016-06-13,18:20:00,34.125,34.125,34.125,34.125,100,0
