Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-06,18:15:00,5.23,5.23,5.16,5.17,1000,0
2016-06-06,18:35:00,5.18,5.18,5.18,5.18,100,0
2016-06-06,18:50:00,5.18,5.18,5.18,5.18,200,0
2016-06-06,19:25:00,5.21,5.21,5.21,5.21,100,0
2016-06-06,20:15:00,5.2199,5.2199,5.2,5.209,2025,0
2016-06-06,20:25:00,5.2,5.2,5.2,5.2,100,0
2016-06-06,20:40:00,5.2,5.2,5.2,5.2,200,0
2016-06-06,20:55:00,5.2,5.21,5.2,5.21,200,0
2016-06-06,21:15:00,5.23,5.23,5.23,5.23,100,0
2016-06-06,21:20:00,5.23,5.23,5.23,5.23,100,0
2016-06-06,21:45:00,5.26,5.26,5.25,5.25,200,0
2016-06-06,21:50:00,5.267,5.267,5.267,5.267,300,0
2016-06-06,21:55:00,5.23,5.23,5.2,5.2,300,0
2016-06-06,22:00:00,5.25,5.25,5.22,5.22,234,0
2016-06-07,15:35:00,5.18,5.27,5.18,5.27,260,0
2016-06-07,15:40:00,5.2285,5.28,5.21,5.28,750,0
2016-06-07,15:50:00,5.26,5.26,5.26,5.26,100,0
2016-06-07,15:55:00,5.182,5.182,5.16,5.16,578,0
2016-06-07,16:00:00,5.2699,5.27,5.19,5.19,2800,0
2016-06-07,16:30:00,5.31,5.31,5.278,5.278,300,0
2016-06-07,16:45:00,5.28,5.28,5.28,5.28,100,0
2016-06-07,16:55:00,5.29,5.29,5.29,5.29,100,0
2016-06-07,17:30:00,5.35,5.35,5.31,5.31,900,0
2016-06-07,18:50:00,5.31,5.31,5.31,5.31,100,0
2016-06-07,19:20:00,5.31,5.31,5.31,5.31,100,0
2016-06-07,19:25:00,5.34,5.34,5.31,5.31,200,0
2016-06-07,19:45:00,5.31,5.31,5.31,5.31,100,0
2016-06-07,20:40:00,5.35,5.35,5.31,5.31,500,0
2016-06-07,20:45:00,5.34,5.34,5.34,5.34,100,0
2016-06-07,20:55:00,5.35,5.35,5.33,5.34,500,0
2016-06-07,21:00:00,5.35,5.35,5.35,5.35,100,0
2016-06-07,21:25:00,5.34,5.34,5.34,5.34,100,0
2016-06-07,21:30:00,5.34,5.35,5.33,5.33,4700,0
2016-06-07,21:35:00,5.35,5.35,5.33,5.33,2100,0
2016-06-07,21:40:00,5.35,5.35,5.35,5.35,200,0
2016-06-07,21:45:00,5.3426,5.3426,5.3426,5.3426,500,0
2016-06-07,21:55:00,5.33,5.35,5.33,5.35,400,0
2016-06-07,22:00:00,5.33,5.35,5.33,5.33,945,0
2016-06-08,15:35:00,6,6.43,5.99,6.43,8480,0
2016-06-08,15:45:00,6.38,6.38,6.35,6.3799,600,0
2016-06-08,15:55:00,6.36,6.36,6.3011,6.3495,1400,0
2016-06-08,16:00:00,6.3999,6.3999,6.26,6.32,2400,0
2016-06-08,16:05:00,6.34,6.36,6.34,6.36,200,0
2016-06-08,16:10:00,6.2611,6.28,6.21,6.2622,1500,0
2016-06-08,16:15:00,6.21,6.245,6.21,6.24,1300,0
2016-06-08,16:20:00,6.25,6.274,6.24,6.245,2222,0
2016-06-08,16:25:00,6.25,6.25,6.2053,6.2055,2720,0
2016-06-08,16:35:00,6.27,6.4199,6.27,6.385,6130,0
2016-06-08,16:40:00,6.383,6.42,6.383,6.41,6175,0
2016-06-08,16:45:00,6.37,6.37,6.37,6.37,500,0
2016-06-08,16:50:00,6.37,6.37,6.36,6.36,200,0
2016-06-08,16:55:00,6.36,6.37,6.35,6.37,1386,0
2016-06-08,17:00:00,6.37,6.37,6.36,6.3699,4275,0
2016-06-08,17:05:00,6.3,6.3,6.3,6.3,100,0
2016-06-08,17:10:00,6.27,6.27,6.25,6.25,1400,0
2016-06-08,17:15:00,6.27,6.27,6.235,6.235,782,0
2016-06-08,17:20:00,6.2298,6.2298,6.2298,6.2298,249,0
2016-06-08,17:25:00,6.21,6.21,6.21,6.21,100,0
2016-06-08,17:35:00,6.2201,6.245,6.2201,6.24,2700,0
