Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,36.87,36.87,36.81,36.81,2536,0
2016-06-21,15:40:00,36.91,36.91,36.85,36.85,700,0
2016-06-21,15:45:00,36.85,36.86,36.77,36.82,700,0
2016-06-21,15:50:00,36.81,36.81,36.81,36.81,100,0
2016-06-21,15:55:00,36.83,36.87,36.79,36.79,500,0
2016-06-21,16:00:00,36.77,36.87,36.77,36.83,700,0
2016-06-21,16:05:00,36.81,36.87,36.81,36.82,1012,0
2016-06-21,16:10:00,36.82,36.87,36.82,36.87,1000,0
2016-06-21,16:15:00,36.875,37.01,36.87,37.01,4454,0
2016-06-21,16:20:00,37.01,37.01,36.97,37.01,300,0
2016-06-21,16:25:00,37.03,37.03,36.94,36.97,600,0
2016-06-21,16:30:00,36.98,37.07,36.98,37.04,800,0
2016-06-21,16:35:00,37.05,37.05,37.03,37.03,300,0
2016-06-21,16:40:00,37.05,37.05,36.89,36.89,2100,0
2016-06-21,16:45:00,36.95,36.95,36.95,36.95,300,0
2016-06-21,16:50:00,36.98,36.98,36.9352,36.9352,252,0
2016-06-21,16:55:00,36.94,37.02,36.94,37.02,1289,0
2016-06-21,17:00:00,36.98,36.98,36.92,36.92,300,0
2016-06-21,17:05:00,36.97,37,36.97,36.999,600,0
2016-06-21,17:10:00,36.95,36.95,36.92,36.95,378,0
2016-06-21,17:15:00,36.96,36.96,36.94,36.94,200,0
2016-06-21,17:20:00,37,37.03,37,37.03,200,0
2016-06-21,17:30:00,37.06,37.06,37.06,37.06,100,0
2016-06-21,17:35:00,37,37,36.99,36.99,200,0
2016-06-21,17:45:00,36.92,36.945,36.92,36.945,500,0
2016-06-21,17:50:00,36.9021,36.9021,36.9021,36.9021,100,0
2016-06-21,17:55:00,36.9,36.93,36.9,36.91,400,0
2016-06-21,18:00:00,36.91,36.91,36.91,36.91,100,0
2016-06-21,18:15:00,36.9424,36.95,36.9424,36.95,370,0
2016-06-21,18:30:00,36.995,36.995,36.98,36.98,300,0
2016-06-21,18:35:00,36.9401,36.9401,36.9401,36.9401,107,0
2016-06-21,18:40:00,36.94,36.94,36.94,36.94,200,0
2016-06-21,18:45:00,36.99,36.99,36.99,36.99,100,0
2016-06-21,18:50:00,36.95,36.96,36.92,36.96,500,0
2016-06-21,19:05:00,36.96,36.96,36.915,36.94,1300,0
2016-06-21,19:10:00,36.94,36.94,36.91,36.91,331,0
2016-06-21,19:15:00,36.9399,36.94,36.9399,36.94,950,0
2016-06-21,19:20:00,36.93,36.93,36.93,36.93,100,0
2016-06-21,19:25:00,36.91,36.93,36.8801,36.89,2120,0
2016-06-21,19:35:00,36.88,36.89,36.84,36.88,1925,0
2016-06-21,19:40:00,36.85,36.88,36.82,36.86,1189,0
2016-06-21,19:45:00,36.85,36.86,36.84,36.85,700,0
2016-06-21,19:50:00,36.87,36.87,36.81,36.81,400,0
2016-06-21,19:55:00,36.82,36.82,36.82,36.82,100,0
2016-06-21,20:00:00,36.85,36.89,36.85,36.89,1200,0
2016-06-21,20:05:00,36.9,36.9,36.9,36.9,100,0
2016-06-21,20:10:00,36.9,36.93,36.9,36.92,700,0
2016-06-21,20:15:00,36.915,36.94,36.9,36.9,700,0
2016-06-21,20:20:00,36.9399,36.99,36.93,36.99,4099,0
2016-06-21,20:25:00,37.02,37.07,37.02,37.03,600,0
2016-06-21,20:30:00,37.06,37.06,37.035,37.06,500,0
2016-06-21,20:35:00,37.06,37.09,37.06,37.09,500,0
2016-06-21,20:40:00,37.08,37.21,37.08,37.21,1322,0
