Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-16,17:55:00,5.42,5.42,5.41,5.41,200,0
2016-03-16,18:15:00,5.41,5.41,5.41,5.41,800,0
2016-03-16,18:25:00,5.41,5.41,5.41,5.41,300,0
2016-03-16,18:50:00,5.45,5.45,5.45,5.45,100,0
2016-03-16,19:25:00,5.44,5.44,5.44,5.44,100,0
2016-03-16,20:10:00,5.4962,5.4962,5.4962,5.4962,268,0
2016-03-16,21:00:00,5.46,5.46,5.45,5.45,360,0
2016-03-17,16:20:00,5.45,5.45,5.36,5.36,300,0
2016-03-17,16:25:00,5.45,5.45,5.45,5.45,100,0
2016-03-17,17:50:00,5.47,5.47,5.47,5.47,100,0
2016-03-17,18:15:00,5.45,5.45,5.45,5.45,100,0
2016-03-17,18:25:00,5.43,5.43,5.43,5.43,100,0
2016-03-17,19:30:00,5.41,5.41,5.41,5.41,706,0
2016-03-17,19:35:00,5.41,5.41,5.41,5.41,1224,0
2016-03-17,19:45:00,5.44,5.44,5.44,5.44,100,0
2016-03-17,19:55:00,5.4,5.4,5.4,5.4,100,0
2016-03-17,20:15:00,5.39,5.39,5.39,5.39,100,0
2016-03-17,20:20:00,5.39,5.39,5.39,5.39,200,0
2016-03-17,20:50:00,5.45,5.45,5.45,5.45,100,0
2016-03-17,21:00:00,5.4,5.47,5.4,5.47,300,0
2016-03-18,15:50:00,5.44,5.44,5.39,5.39,800,0
2016-03-18,15:55:00,5.47,5.47,5.47,5.47,100,0
2016-03-18,16:50:00,5.39,5.39,5.39,5.39,200,0
2016-03-18,17:15:00,5.47,5.47,5.47,5.47,100,0
2016-03-18,17:40:00,5.46,5.46,5.46,5.46,1158,0
2016-03-18,18:15:00,5.48,5.48,5.48,5.48,100,0
2016-03-18,18:50:00,5.3915,5.3915,5.391,5.3915,879,0
2016-03-18,19:55:00,5.48,5.48,5.48,5.48,100,0
2016-03-18,20:00:00,5.48,5.48,5.48,5.48,116,0
2016-03-18,20:55:00,5.39,5.44,5.34,5.38,1700,0
2016-03-18,21:00:00,5.44,5.44,5.37,5.37,6822,0
2016-03-21,14:35:00,5.34,5.3568,5.34,5.34,2258,0
2016-03-21,15:20:00,5.36,5.364,5.35,5.364,809,0
2016-03-21,16:00:00,5.3501,5.3501,5.3501,5.3501,135,0
2016-03-21,18:15:00,5.34,5.34,5.34,5.34,400,0
