Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,29.25,29.25,29.03,29.07,6856,0
2016-06-22,15:40:00,29.082,29.18,28.84,28.88,11554,0
2016-06-22,15:45:00,28.91,29.04,28.77,28.92,18241,0
2016-06-22,15:50:00,28.83,28.91,28.795,28.85,8400,0
2016-06-22,15:55:00,28.85,28.85,28.78,28.79,11877,0
2016-06-22,16:00:00,28.79,28.8,28.74,28.74,13402,0
2016-06-22,16:05:00,28.74,28.75,28.59,28.62,10521,0
2016-06-22,16:10:00,28.62,28.81,28.61,28.81,4810,0
2016-06-22,16:15:00,28.84,28.885,28.8,28.81,15982,0
2016-06-22,16:20:00,28.82,28.82,28.75,28.785,8183,0
2016-06-22,16:25:00,28.79,28.8,28.74,28.74,12907,0
2016-06-22,16:30:00,28.78,28.92,28.7725,28.904,18094,0
2016-06-22,16:35:00,28.9,29,28.82,28.9,37458,0
2016-06-22,16:40:00,28.92,28.95,28.89,28.95,7886,0
2016-06-22,16:45:00,28.94,29.07,28.94,29.07,32203,0
2016-06-22,16:50:00,29.03,29.15,28.99,29.02,29993,0
2016-06-22,16:55:00,29.04,29.06,29,29.05,30306,0
2016-06-22,17:00:00,29.04,29.07,29.035,29.0507,10400,0
2016-06-22,17:05:00,29.05,29.06,29.03,29.05,4300,0
2016-06-22,17:10:00,29.045,29.09,29.045,29.07,44257,0
2016-06-22,17:15:00,29.0725,29.1,29.02,29.04,8855,0
2016-06-22,17:20:00,29.04,29.17,29.0321,29.17,7330,0
2016-06-22,17:25:00,29.18,29.19,29.15,29.1625,5000,0
2016-06-22,17:30:00,29.16,29.2,29.16,29.2,2400,0
2016-06-22,17:35:00,29.19,29.19,29.125,29.125,3200,0
2016-06-22,17:40:00,29.14,29.18,29.14,29.18,1300,0
2016-06-22,17:45:00,29.17,29.2,29.16,29.2,8200,0
2016-06-22,17:50:00,29.19,29.22,29.19,29.21,2500,0
2016-06-22,17:55:00,29.2,29.2,29.16,29.17,1905,0
2016-06-22,18:00:00,29.17,29.205,29.17,29.19,1800,0
2016-06-22,18:05:00,29.2,29.202,29.09,29.09,13200,0
2016-06-22,18:10:00,29.1,29.115,29.07,29.1,1700,0
2016-06-22,18:15:00,29.1136,29.18,29.1136,29.18,2081,0
2016-06-22,18:20:00,29.17,29.18,29.14,29.15,3883,0
2016-06-22,18:25:00,29.15,29.155,29.082,29.1,5500,0
2016-06-22,18:30:00,29.07,29.105,29.06,29.095,2800,0
2016-06-22,18:35:00,29.1,29.15,29.08,29.15,15400,0
2016-06-22,18:40:00,29.15,29.17,29.14,29.15,6602,0
2016-06-22,18:45:00,29.155,29.165,29.11,29.165,3000,0
2016-06-22,18:50:00,29.15,29.16,29.1,29.12,4400,0
2016-06-22,18:55:00,29.12,29.1325,29.1,29.11,4000,0
2016-06-22,19:00:00,29.11,29.14,29.11,29.14,1700,0
2016-06-22,19:05:00,29.13,29.15,29.11,29.15,3488,0
