Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-17,15:35:00,66.5,66.5,66.5,66.5,54397,0
2016-06-17,15:40:00,68.08,68.14,66.15,66.5,600,0
2016-06-17,15:45:00,66.99,67.53,66.815,67.53,1300,0
2016-06-17,15:50:00,67.55,67.55,66.975,67.25,2000,0
2016-06-17,15:55:00,67,67.17,66.76,67.17,4500,0
2016-06-17,16:00:00,67.09,67.1,66.9,66.9,7395,0
2016-06-17,16:05:00,66.99,66.99,66.71,66.71,2600,0
2016-06-17,16:10:00,66.81,66.81,66.54,66.54,1200,0
2016-06-17,16:15:00,66.544,66.544,66.51,66.51,438,0
2016-06-17,16:20:00,66.55,66.7,66.48,66.51,2332,0
2016-06-17,16:25:00,66.4,66.75,66.26,66.26,1900,0
2016-06-17,16:30:00,66.3,66.69,66.22,66.26,1200,0
2016-06-17,16:35:00,66.24,66.24,66.24,66.24,100,0
2016-06-17,16:45:00,66.19,66.19,66.19,66.19,200,0
2016-06-17,16:50:00,66.2,66.39,66.2,66.23,1200,0
2016-06-17,16:55:00,66.23,66.345,66.15,66.33,5211,0
2016-06-17,17:00:00,66.31,66.485,66.29,66.345,1100,0
2016-06-17,17:05:00,66.345,66.5,66.26,66.26,400,0
2016-06-17,17:15:00,66.19,66.47,66.15,66.15,2500,0
2016-06-17,17:25:00,66.02,66.18,66.02,66.18,700,0
2016-06-17,17:30:00,66.17,66.17,65.67,65.67,5736,0
2016-06-17,17:35:00,65.82,65.89,65.82,65.87,600,0
2016-06-17,17:40:00,65.91,66.13,65.81,66.06,1900,0
2016-06-17,17:45:00,66.1,66.11,65.875,66.11,300,0
2016-06-17,17:50:00,65.92,65.98,65.92,65.98,200,0
2016-06-17,17:55:00,65.99,66.1,65.9,65.9,4500,0
2016-06-17,18:00:00,65.92,65.97,65.81,65.97,2539,0
2016-06-17,18:05:00,66.07,66.21,65.995,66.21,500,0
2016-06-17,18:10:00,66.13,66.13,65.85,65.9,2735,0
2016-06-17,18:15:00,65.9,65.9,65.9,65.9,100,0
2016-06-17,18:20:00,66.12,66.12,65.79,65.79,700,0
2016-06-17,18:25:00,65.81,65.98,65.73,65.73,600,0
2016-06-17,18:35:00,65.75,65.89,65.75,65.89,200,0
2016-06-17,18:40:00,65.85,65.85,65.65,65.65,500,0
2016-06-17,18:45:00,65.45,65.47,65.38,65.4,1200,0
2016-06-17,18:50:00,65.4,65.44,65.25,65.32,1400,0
2016-06-17,18:55:00,65.34,65.34,65.02,65.02,1300,0
2016-06-17,19:00:00,65,65.135,65,65.07,1800,0
2016-06-17,19:05:00,65.12,65.12,64.98,65.01,400,0
2016-06-17,19:10:00,65.03,65.29,64.96,65.29,1700,0
2016-06-17,19:15:00,65.38,65.38,65.38,65.38,100,0
2016-06-17,19:20:00,65.275,65.3,65.27,65.27,400,0
2016-06-17,19:30:00,65.33,65.39,65.33,65.33,400,0
2016-06-17,19:35:00,65.34,65.34,65.34,65.34,100,0
2016-06-17,19:45:00,65.35,65.6,65.35,65.42,700,0
2016-06-17,19:50:00,65.4001,65.48,65.4001,65.48,530,0
2016-06-17,19:55:00,65.55,65.55,65.43,65.44,900,0
2016-06-17,20:00:00,65.53,65.53,65.47,65.47,200,0
2016-06-17,20:05:00,65.525,65.525,65.46,65.46,300,0
2016-06-17,20:10:00,65.45,65.45,65.29,65.39,1400,0
2016-06-17,20:15:00,65.25,65.25,65.25,65.25,100,0
2016-06-17,20:20:00,65.38,65.38,65.27,65.28,600,0
2016-06-17,20:25:00,65.37,65.37,65.2601,65.2601,200,0
2016-06-17,20:30:00,65.29,65.34,65.29,65.34,400,0
2016-06-17,20:35:00,65.41,65.42,65.41,65.42,200,0
2016-06-17,20:40:00,65.42,65.425,65.42,65.425,200,0
2016-06-17,20:45:00,65.425,65.645,65.425,65.51,3377,0
2016-06-17,20:50:00,65.52,65.58,65.49,65.51,1600,0
2016-06-17,20:55:00,65.52,65.52,65.51,65.51,300,0
2016-06-17,21:00:00,65.6077,65.6077,65.46,65.5,2047,0
2016-06-17,21:05:00,65.51,65.67,65.47,65.6589,7169,0
2016-06-17,21:10:00,65.51,65.51,65.5,65.51,400,0
2016-06-17,21:15:00,65.51,65.59,65.49,65.525,4046,0
2016-06-17,21:20:00,65.56,65.63,65.56,65.63,400,0
2016-06-17,21:25:00,65.648,65.6999,65.5801,65.61,1800,0
2016-06-17,21:30:00,65.66,65.95,65.62,65.95,22562,0
2016-06-17,21:35:00,65.86,66.15,65.86,65.87,8660,0
2016-06-17,21:40:00,65.88,65.91,65.71,65.74,3200,0
2016-06-17,21:45:00,65.76,65.88,65.69,65.88,2300,0
2016-06-17,21:50:00,65.8,65.8,65.61,65.61,6657,0
