Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,2.45,2.49,2.42,2.4476,8225,0
2016-06-16,15:40:00,2.43,2.43,2.4244,2.4244,3100,0
2016-06-16,15:45:00,2.43,2.48,2.43,2.48,800,0
2016-06-16,15:50:00,2.42,2.46,2.42,2.43,10244,0
2016-06-16,15:55:00,2.4005,2.42,2.4,2.42,4100,0
2016-06-16,16:00:00,2.4,2.42,2.4,2.42,4250,0
2016-06-16,16:05:00,2.42,2.42,2.42,2.42,100,0
2016-06-16,16:10:00,2.41,2.41,2.4,2.41,4186,0
2016-06-16,16:15:00,2.41,2.42,2.41,2.41,1200,0
2016-06-16,16:20:00,2.41,2.42,2.4,2.411,806,0
2016-06-16,16:25:00,2.415,2.42,2.41,2.42,600,0
2016-06-16,16:30:00,2.42,2.43,2.415,2.43,6257,0
2016-06-16,16:35:00,2.43,2.43,2.43,2.43,100,0
2016-06-16,16:40:00,2.425,2.43,2.42,2.43,2200,0
2016-06-16,16:50:00,2.4235,2.4235,2.4235,2.4235,250,0
2016-06-16,16:55:00,2.425,2.425,2.425,2.425,200,0
2016-06-16,17:00:00,2.425,2.425,2.425,2.425,200,0
2016-06-16,17:05:00,2.42,2.425,2.42,2.425,200,0
2016-06-16,17:10:00,2.425,2.43,2.425,2.43,400,0
2016-06-16,17:15:00,2.43,2.43,2.43,2.43,100,0
2016-06-16,17:20:00,2.43,2.43,2.43,2.43,100,0
2016-06-16,17:25:00,2.43,2.43,2.43,2.43,300,0
2016-06-16,17:30:00,2.44,2.44,2.43,2.43,400,0
2016-06-16,17:35:00,2.44,2.44,2.44,2.44,300,0
2016-06-16,17:40:00,2.44,2.44,2.44,2.44,400,0
2016-06-16,17:50:00,2.44,2.44,2.44,2.44,200,0
2016-06-16,17:55:00,2.45,2.45,2.45,2.45,100,0
2016-06-16,18:00:00,2.45,2.45,2.45,2.45,100,0
2016-06-16,18:10:00,2.45,2.45,2.45,2.45,100,0
2016-06-16,18:15:00,2.45,2.45,2.45,2.45,200,0
2016-06-16,18:20:00,2.4439,2.45,2.44,2.445,1665,0
2016-06-16,18:25:00,2.4418,2.4418,2.44,2.44,900,0
2016-06-16,18:45:00,2.44,2.44,2.43,2.43,200,0
2016-06-16,18:50:00,2.43,2.44,2.43,2.43,450,0
2016-06-16,18:55:00,2.44,2.44,2.44,2.44,100,0
2016-06-16,19:00:00,2.44,2.44,2.44,2.44,100,0
2016-06-16,19:05:00,2.44,2.44,2.44,2.44,100,0
2016-06-16,19:10:00,2.44,2.44,2.4301,2.4301,400,0
2016-06-16,19:15:00,2.44,2.44,2.44,2.44,100,0
2016-06-16,19:20:00,2.44,2.44,2.44,2.44,100,0
2016-06-16,19:25:00,2.44,2.44,2.44,2.44,100,0
2016-06-16,19:30:00,2.44,2.44,2.44,2.44,300,0
2016-06-16,19:35:00,2.44,2.44,2.4319,2.4319,200,0
2016-06-16,19:40:00,2.44,2.44,2.44,2.44,200,0
2016-06-16,19:45:00,2.44,2.44,2.44,2.44,100,0
2016-06-16,19:50:00,2.44,2.44,2.44,2.44,200,0
2016-06-16,19:55:00,2.44,2.44,2.44,2.44,100,0
2016-06-16,20:00:00,2.435,2.435,2.4,2.4,5335,0
2016-06-16,20:05:00,2.4,2.405,2.4,2.405,2222,0
2016-06-16,20:10:00,2.409,2.41,2.409,2.4097,4000,0
2016-06-16,20:15:00,2.42,2.42,2.42,2.42,100,0
2016-06-16,20:20:00,2.41,2.41,2.41,2.41,100,0
2016-06-16,20:25:00,2.42,2.4299,2.4,2.4299,600,0
2016-06-16,20:35:00,2.42,2.42,2.41,2.41,200,0
2016-06-16,20:40:00,2.42,2.42,2.42,2.42,800,0
2016-06-16,20:45:00,2.41,2.4114,2.4,2.4114,2500,0
2016-06-16,20:50:00,2.415,2.415,2.415,2.415,100,0
2016-06-16,20:55:00,2.4299,2.4299,2.4299,2.4299,800,0
2016-06-16,21:00:00,2.4,2.41,2.4,2.4,1682,0
2016-06-16,21:05:00,2.405,2.41,2.405,2.405,300,0
2016-06-16,21:10:00,2.4,2.4001,2.4,2.4001,1421,0
2016-06-16,21:15:00,2.4,2.41,2.38,2.4,3099,0
2016-06-16,21:20:00,2.38,2.39,2.38,2.3831,1220,0
2016-06-16,21:25:00,2.4,2.4,2.39,2.39,200,0
2016-06-16,21:30:00,2.38,2.4,2.38,2.4,334,0
2016-06-16,21:35:00,2.3999,2.3999,2.3999,2.3999,2000,0
2016-06-16,21:45:00,2.39,2.4,2.39,2.4,500,0
2016-06-16,21:50:00,2.4,2.4,2.4,2.4,300,0
2016-06-16,21:55:00,2.4,2.4,2.395,2.4,699,0
2016-06-16,22:00:00,2.4,2.4,2.39,2.39,1369,0
2016-06-17,15:35:00,2.38,2.38,2.38,2.38,1019,0
2016-06-17,15:40:00,2.39,2.41,2.38,2.39,850,0
2016-06-17,15:45:00,2.42,2.42,2.4,2.4,300,0
2016-06-17,15:50:00,2.4,2.4,2.4,2.4,200,0
2016-06-17,15:55:00,2.41,2.41,2.41,2.41,100,0
2016-06-17,16:05:00,2.3933,2.3933,2.39,2.39,1725,0
2016-06-17,16:10:00,2.4,2.4,2.4,2.4,100,0
