Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,20.87,20.97,20.87,20.925,154081,0
2016-06-22,15:40:00,20.95,20.96,20.88,20.96,107213,0
2016-06-22,15:45:00,20.97,21.01,20.88,20.985,319290,0
2016-06-22,15:50:00,20.98,20.98,20.88,20.9,138595,0
2016-06-22,15:55:00,20.91,20.92,20.8,20.8075,164878,0
2016-06-22,16:00:00,20.82,20.87,20.805,20.84,165789,0
2016-06-22,16:05:00,20.84,20.85,20.79,20.79,225901,0
2016-06-22,16:10:00,20.785,20.82,20.77,20.8,96128,0
2016-06-22,16:15:00,20.81,20.89,20.795,20.8,384150,0
2016-06-22,16:20:00,20.8,20.9,20.79,20.87,820062,0
2016-06-22,16:25:00,20.875,20.94,20.86,20.93,429128,0
2016-06-22,16:30:00,20.92,20.93,20.87,20.89,85736,0
2016-06-22,16:35:00,20.89,20.89,20.83,20.86,181279,0
2016-06-22,16:40:00,20.86,20.93,20.85,20.8934,129490,0
2016-06-22,16:45:00,20.89,20.9,20.84,20.87,131384,0
2016-06-22,16:50:00,20.86,20.89,20.84,20.87,91349,0
2016-06-22,16:55:00,20.87,20.89,20.855,20.865,98966,0
2016-06-22,17:00:00,20.87,20.9,20.83,20.83,77582,0
2016-06-22,17:05:00,20.835,20.89,20.835,20.84,323580,0
2016-06-22,17:10:00,20.845,20.87,20.81,20.87,123213,0
2016-06-22,17:15:00,20.87,20.87,20.85,20.855,24852,0
2016-06-22,17:20:00,20.85,20.86,20.82,20.84,184168,0
2016-06-22,17:25:00,20.835,20.85,20.8,20.8457,104844,0
2016-06-22,17:30:00,20.845,20.9,20.83,20.89,117454,0
2016-06-22,17:35:00,20.89,20.9,20.83,20.835,152704,0
2016-06-22,17:40:00,20.83,20.88,20.82,20.87,78561,0
2016-06-22,17:45:00,20.87,20.92,20.865,20.92,94531,0
2016-06-22,17:50:00,20.91,20.92,20.865,20.865,143872,0
2016-06-22,17:55:00,20.86,20.9,20.85,20.9,57264,0
2016-06-22,18:00:00,20.9,20.93,20.89,20.93,93480,0
2016-06-22,18:05:00,20.925,20.94,20.905,20.925,153897,0
2016-06-22,18:10:00,20.925,20.96,20.92,20.95,114453,0
2016-06-22,18:15:00,20.95,20.99,20.95,20.96,92038,0
2016-06-22,18:20:00,20.96,20.97,20.93,20.935,32365,0
2016-06-22,18:25:00,20.94,20.95,20.8735,20.88,174218,0
2016-06-22,18:30:00,20.87,20.89,20.855,20.89,75340,0
2016-06-22,18:35:00,20.88,20.92,20.88,20.915,117955,0
2016-06-22,18:40:00,20.91,20.92,20.885,20.905,62221,0
2016-06-22,18:45:00,20.9,20.91,20.86,20.86,181945,0
2016-06-22,18:50:00,20.86,20.87,20.84,20.86,63213,0
2016-06-22,18:55:00,20.87,20.9,20.865,20.87,62232,0
2016-06-22,19:00:00,20.87,20.88,20.85,20.87,96136,0
2016-06-22,19:05:00,20.87,20.9,20.85,20.895,167668,0
2016-06-22,19:10:00,20.895,20.9,20.85,20.855,60135,0
2016-06-22,19:15:00,20.85,20.91,20.845,20.91,150046,0
2016-06-22,19:20:00,20.905,20.92,20.88,20.9,74557,0
2016-06-22,19:25:00,20.89,20.91,20.87,20.89,71021,0
2016-06-22,19:30:00,20.8901,20.92,20.89,20.915,78680,0
2016-06-22,19:35:00,20.91,20.92,20.88,20.9,100486,0
2016-06-22,19:40:00,20.895,20.905,20.87,20.9,83698,0
2016-06-22,19:45:00,20.9,20.93,20.89,20.915,92739,0
2016-06-22,19:50:00,20.92,20.95,20.91,20.91,71016,0
2016-06-22,19:55:00,20.92,20.94,20.91,20.925,105673,0
2016-06-22,20:00:00,20.92,20.93,20.92,20.92,25663,0
2016-06-22,20:05:00,20.92,20.945,20.9,20.9402,120535,0
2016-06-22,20:10:00,20.94,20.955,20.9,20.91,72686,0
2016-06-22,20:15:00,20.905,20.92,20.89,20.915,315899,0
2016-06-22,20:20:00,20.91,20.92,20.875,20.8801,166381,0
2016-06-22,20:25:00,20.885,20.9,20.85,20.87,168590,0
2016-06-22,20:30:00,20.88,20.92,20.875,20.89,307519,0
2016-06-22,20:35:00,20.89,20.9,20.87,20.89,214015,0
2016-06-22,20:40:00,20.89,20.9,20.86,20.89,124057,0
2016-06-22,20:45:00,20.885,20.9,20.87,20.895,122982,0
2016-06-22,20:50:00,20.895,20.9,20.865,20.87,65242,0
2016-06-22,20:55:00,20.87,20.9,20.87,20.9,84569,0
2016-06-22,21:00:00,20.9,20.93,20.885,20.89,224636,0
2016-06-22,21:05:00,20.89,20.92,20.88,20.885,337869,0
2016-06-22,21:10:00,20.885,20.89,20.835,20.845,216284,0
2016-06-22,21:15:00,20.845,20.88,20.83,20.865,179681,0
2016-06-22,21:20:00,20.86,20.88,20.83,20.83,254014,0
2016-06-22,21:25:00,20.835,20.84,20.8,20.81,136901,0
2016-06-22,21:30:00,20.805,20.84,20.795,20.805,282921,0
2016-06-22,21:35:00,20.805,20.83,20.8,20.815,184568,0
2016-06-22,21:40:00,20.811,20.86,20.78,20.85,285322,0
2016-06-22,21:45:00,20.845,20.87,20.81,20.81,325941,0
2016-06-22,21:50:00,20.81,20.83,20.8,20.83,508899,0
2016-06-22,21:55:00,20.82,20.83,20.79,20.81,649618,0
2016-06-22,22:00:00,20.81,20.81,20.775,20.78,798770,0
2016-06-23,15:35:00,20.87,21,20.87,20.98,188257,0
2016-06-23,15:40:00,20.98,21.03,20.97,20.99,176511,0
2016-06-23,15:45:00,20.98,21.03,20.98,21.03,91267,0
2016-06-23,15:50:00,21.03,21.06,21,21.04,190698,0
2016-06-23,15:55:00,21.045,21.05,20.97,20.99,113315,0
2016-06-23,16:00:00,20.99,21.05,20.98,21.03,59359,0
2016-06-23,16:05:00,21.05,21.085,21.04,21.05,84874,0
2016-06-23,16:10:00,21.05,21.05,21,21.02,113572,0
2016-06-23,16:15:00,21.02,21.08,21.015,21.04,66475,0
2016-06-23,16:20:00,21.045,21.07,21.02,21.03,162626,0
2016-06-23,16:25:00,21.03,21.05,21,21.035,57963,0
2016-06-23,16:30:00,21.035,21.045,21.01,21.03,94894,0
2016-06-23,16:35:00,21.025,21.03,20.97,20.99,70865,0
2016-06-23,16:40:00,20.985,21,20.96,20.965,78550,0
2016-06-23,16:45:00,20.965,21,20.96,20.99,82780,0
2016-06-23,16:50:00,20.9819,20.99,20.96,20.99,36241,0
2016-06-23,16:55:00,20.985,21.04,20.98,21.03,182153,0
2016-06-23,17:00:00,21.03,21.05,21.02,21.05,155939,0
2016-06-23,17:05:00,21.05,21.09,21.05,21.09,181736,0
2016-06-23,17:10:00,21.1,21.12,21.09,21.095,133311,0
