Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,23.24,23.49,23.22,23.485,31064,0
2016-06-22,15:40:00,23.485,23.5,23.2244,23.36,26443,0
2016-06-22,15:45:00,23.36,23.4,23.29,23.29,8335,0
2016-06-22,15:50:00,23.28,23.32,23.27,23.2728,4200,0
2016-06-22,15:55:00,23.31,23.31,23.25,23.27,2800,0
2016-06-22,16:00:00,23.27,23.419,23.26,23.4,42480,0
2016-06-22,16:05:00,23.4,23.4128,23.26,23.26,14645,0
2016-06-22,16:10:00,23.252,23.2999,23.24,23.2799,5315,0
2016-06-22,16:15:00,23.25,23.33,23.23,23.3096,10938,0
2016-06-22,16:20:00,23.33,23.35,23.32,23.35,4400,0
2016-06-22,16:25:00,23.3,23.3272,23.28,23.29,2159,0
2016-06-22,16:30:00,23.31,23.34,23.29,23.34,2668,0
2016-06-22,16:35:00,23.3,23.36,23.3,23.36,900,0
2016-06-22,16:40:00,23.35,23.35,23.3,23.32,7518,0
2016-06-22,16:45:00,23.33,23.38,23.33,23.37,4317,0
2016-06-22,16:50:00,23.35,23.43,23.35,23.41,8400,0
2016-06-22,16:55:00,23.42,23.43,23.42,23.42,2298,0
2016-06-22,17:00:00,23.4196,23.44,23.4,23.4,1200,0
2016-06-22,17:05:00,23.38,23.41,23.38,23.41,1450,0
2016-06-22,17:10:00,23.41,23.41,23.36,23.385,4250,0
2016-06-22,17:15:00,23.3801,23.3801,23.3581,23.38,1791,0
2016-06-22,17:20:00,23.37,23.37,23.36,23.365,999,0
2016-06-22,17:25:00,23.36,23.4,23.36,23.38,4643,0
2016-06-22,17:30:00,23.38,23.46,23.38,23.4581,5607,0
2016-06-22,17:35:00,23.44,23.47,23.42,23.4501,18877,0
2016-06-22,17:40:00,23.47,23.48,23.45,23.46,2304,0
2016-06-22,17:45:00,23.45,23.549,23.44,23.549,12455,0
2016-06-22,17:50:00,23.5352,23.55,23.5101,23.55,7461,0
2016-06-22,17:55:00,23.5392,23.55,23.53,23.535,5256,0
2016-06-22,18:00:00,23.5462,23.55,23.5373,23.5373,2705,0
2016-06-22,18:05:00,23.53,23.55,23.51,23.5428,6400,0
2016-06-22,18:10:00,23.5202,23.5389,23.5001,23.51,5350,0
2016-06-22,18:15:00,23.5,23.53,23.5,23.515,3650,0
2016-06-22,18:20:00,23.53,23.55,23.52,23.52,680,0
2016-06-22,18:25:00,23.51,23.53,23.49,23.49,16100,0
2016-06-22,18:30:00,23.48,23.51,23.45,23.51,11877,0
2016-06-22,18:35:00,23.51,23.55,23.505,23.55,10665,0
2016-06-22,18:40:00,23.55,23.58,23.53,23.56,5600,0
2016-06-22,18:45:00,23.57,23.57,23.55,23.55,9911,0
2016-06-22,18:50:00,23.55,23.58,23.5475,23.56,8930,0
2016-06-22,18:55:00,23.56,23.5726,23.56,23.56,1400,0
2016-06-22,19:00:00,23.56,23.599,23.56,23.58,7000,0
2016-06-22,19:05:00,23.59,23.59,23.55,23.58,8302,0
2016-06-22,19:10:00,23.58,23.58,23.56,23.58,11288,0
2016-06-22,19:15:00,23.58,23.63,23.56,23.63,16650,0
2016-06-22,19:20:00,23.64,23.65,23.62,23.645,13676,0
2016-06-22,19:25:00,23.66,23.66,23.62,23.62,1000,0
