Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-05-27,17:30:00,3.7082,3.7082,3.7082,3.7082,500,0
2015-05-27,18:15:00,3.78,3.78,3.78,3.78,100,0
2015-05-27,21:55:00,3.74,3.74,3.74,3.74,100,0
2015-05-27,22:00:00,3.77,3.77,3.77,3.77,100,0
2015-05-28,16:50:00,3.769,3.769,3.769,3.769,100,0
2015-05-28,21:55:00,3.76,3.76,3.76,3.76,100,0
2015-05-28,22:00:00,3.7699,3.7699,3.76,3.76,300,0
2015-05-29,15:50:00,3.7964,3.7964,3.7964,3.7964,100,0
2015-05-29,19:15:00,3.68,3.68,3.68,3.68,1500,0
2015-05-29,20:35:00,3.74,3.74,3.74,3.74,100,0
2015-05-29,20:50:00,3.7301,3.7416,3.73,3.7415,2600,0
2015-05-29,20:55:00,3.7416,3.7416,3.7332,3.7332,200,0
2015-05-29,21:05:00,3.7332,3.7332,3.7332,3.7332,200,0
2015-05-29,21:10:00,3.7332,3.7332,3.7332,3.7332,100,0
2015-05-29,21:55:00,3.7332,3.7332,3.7332,3.7332,200,0
2015-06-01,15:35:00,3.8,3.8032,3.8,3.8032,3910,0
2015-06-01,15:40:00,3.8,3.802,3.8,3.802,800,0
2015-06-01,21:55:00,3.77,3.77,3.77,3.77,100,0
2015-06-03,17:00:00,3.6042,3.7999,3.6042,3.7999,300,0
2015-06-03,21:45:00,3.6,3.779,3.38,3.779,7402,0
2015-06-03,21:50:00,3.59,3.59,3.51,3.53,1115,0
2015-06-03,21:55:00,3.7499,3.7499,3.52,3.52,1000,0
2015-06-03,22:00:00,3.53,3.7654,3.53,3.7654,1300,0
2015-06-04,18:30:00,3.7799,3.7799,3.7799,3.7799,925,0
2015-06-08,19:20:00,3.68,3.68,3.68,3.68,100,0
2015-06-08,22:00:00,3.7799,3.8067,3.7799,3.8067,200,0
2015-06-09,16:10:00,3.68,3.68,3.68,3.68,100,0
2015-06-09,18:15:00,3.788,3.788,3.788,3.788,100,0
2015-06-10,16:20:00,3.6867,3.6867,3.6867,3.6867,200,0
2015-06-10,16:30:00,3.81,3.81,3.8,3.81,2897,0
2015-06-10,20:50:00,3.8099,3.8099,3.8099,3.8099,160,0
2015-06-10,22:00:00,3.69,3.69,3.69,3.69,100,0
2015-06-11,15:50:00,3.785,3.785,3.785,3.785,100,0
2015-06-11,16:30:00,3.72,3.72,3.72,3.72,100,0
2015-06-11,17:00:00,3.77,3.79,3.77,3.77,1333,0
2015-06-11,18:05:00,3.78,3.78,3.7799,3.7799,1325,0
2015-06-11,18:40:00,3.78,3.78,3.78,3.78,1500,0
2015-06-11,19:00:00,3.78,3.78,3.78,3.78,3000,0
2015-06-12,16:00:00,3.788,3.788,3.788,3.788,100,0
2015-06-12,17:55:00,3.6801,3.6801,3.6801,3.6801,1000,0
2015-06-12,18:35:00,3.7799,3.7799,3.7799,3.7799,100,0
2015-06-15,17:10:00,3.7982,3.7982,3.7982,3.7982,100,0
2015-06-16,16:30:00,3.8099,3.8099,3.8099,3.8099,100,0
2015-06-16,17:50:00,3.73,3.73,3.73,3.73,399,0
2015-06-17,18:30:00,3.69,3.69,3.69,3.69,300,0
2015-06-18,16:25:00,3.5328,3.5328,3.5328,3.5328,350,0
2015-06-18,16:35:00,3.53,3.53,3.53,3.53,100,0
2015-06-18,17:05:00,3.748,3.748,3.748,3.748,100,0
2015-06-18,18:20:00,3.769,3.769,3.76,3.76,377,0
2015-06-22,17:15:00,3.7399,3.7399,3.7399,3.7399,100,0
2015-06-22,21:10:00,3.67,3.67,3.53,3.53,2463,0
2015-06-22,21:20:00,3.7066,3.7066,3.7066,3.7066,100,0
2015-06-22,21:25:00,3.6799,3.6799,3.44,3.45,893,0
2015-06-22,21:50:00,3.673,3.673,3.673,3.673,100,0
2015-06-22,22:00:00,3.5,3.5,3.5,3.5,161,0
2015-06-23,15:50:00,3.7,3.7,3.7,3.7,200,0
2015-06-23,22:00:00,3.55,3.55,3.55,3.55,100,0
2015-06-24,15:35:00,3.665,3.665,3.665,3.665,100,0
2015-06-24,18:45:00,3.59,3.6,3.59,3.6,2100,0
2015-06-24,20:00:00,3.65,3.65,3.65,3.65,1750,0
