Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,9.2,9.2,9.06,9.08,6000,0
2016-06-21,15:40:00,9.25,9.25,9.24,9.24,200,0
2016-06-21,15:45:00,9.2,9.23,9.2,9.23,500,0
2016-06-21,15:55:00,9.22,9.22,9.19,9.2,600,0
2016-06-21,16:00:00,9.21,9.21,9.21,9.21,156,0
2016-06-21,16:15:00,9.15,9.17,9.15,9.16,1000,0
2016-06-21,16:20:00,9.17,9.17,9.14,9.14,200,0
2016-06-21,16:25:00,9.15,9.18,9.12,9.18,2000,0
2016-06-21,16:35:00,9.15,9.16,9.145,9.145,1100,0
2016-06-21,16:40:00,9.16,9.16,9.16,9.16,100,0
2016-06-21,16:45:00,9.15,9.15,9.12,9.13,800,0
2016-06-21,16:50:00,9.14,9.15,9.14,9.14,900,0
2016-06-21,16:55:00,9.135,9.17,9.135,9.14,800,0
2016-06-21,17:00:00,9.14,9.14,9.115,9.14,1000,0
2016-06-21,17:05:00,9.13,9.14,9.13,9.14,200,0
2016-06-21,17:10:00,9.14,9.17,9.11,9.15,8394,0
2016-06-21,17:15:00,9.135,9.15,9.12,9.15,1300,0
2016-06-21,17:20:00,9.15,9.15,9.15,9.15,200,0
2016-06-21,17:25:00,9.17,9.17,9.17,9.17,100,0
2016-06-21,17:30:00,9.17,9.17,9.17,9.17,200,0
2016-06-21,17:35:00,9.15,9.15,9.12,9.12,1400,0
2016-06-21,17:40:00,9.13,9.13,9.11,9.13,2600,0
2016-06-21,17:45:00,9.15,9.15,9.15,9.15,100,0
2016-06-21,17:50:00,9.16,9.16,9.16,9.16,200,0
2016-06-21,17:55:00,9.15,9.15,9.14,9.15,1100,0
2016-06-21,18:00:00,9.14,9.14,9.14,9.14,400,0
2016-06-21,18:05:00,9.18,9.18,9.15,9.15,500,0
2016-06-21,18:10:00,9.15,9.15,9.15,9.15,500,0
2016-06-21,18:15:00,9.16,9.16,9.16,9.16,100,0
2016-06-21,18:20:00,9.13,9.15,9.13,9.15,600,0
2016-06-21,18:25:00,9.15,9.15,9.15,9.15,100,0
2016-06-21,18:30:00,9.15,9.15,9.14,9.14,400,0
2016-06-21,18:35:00,9.14,9.15,9.14,9.15,500,0
2016-06-21,18:40:00,9.14,9.14,9.135,9.135,800,0
2016-06-21,18:45:00,9.14,9.15,9.13,9.13,500,0
2016-06-21,18:50:00,9.15,9.15,9.145,9.145,200,0
2016-06-21,18:55:00,9.14,9.14,9.13,9.14,1512,0
2016-06-21,19:00:00,9.16,9.16,9.14,9.15,700,0
2016-06-21,19:05:00,9.16,9.16,9.16,9.16,100,0
2016-06-21,19:10:00,9.15,9.16,9.15,9.16,200,0
2016-06-21,19:20:00,9.17,9.17,9.17,9.17,100,0
2016-06-21,19:25:00,9.15,9.15,9.14,9.15,600,0
2016-06-21,19:30:00,9.14,9.14,9.14,9.14,100,0
2016-06-21,19:35:00,9.14,9.15,9.13,9.1305,2712,0
2016-06-21,19:40:00,9.14,9.14,9.11,9.11,1600,0
2016-06-21,19:45:00,9.13,9.18,9.13,9.15,600,0
2016-06-21,19:50:00,9.15,9.15,9.15,9.15,100,0
2016-06-21,19:55:00,9.17,9.19,9.16,9.16,800,0
2016-06-21,20:00:00,9.16,9.17,9.16,9.17,300,0
2016-06-21,20:05:00,9.155,9.17,9.155,9.17,200,0
2016-06-21,20:10:00,9.16,9.16,9.16,9.16,300,0
2016-06-21,20:15:00,9.15,9.17,9.15,9.17,1260,0
2016-06-21,20:20:00,9.18,9.18,9.15,9.15,1100,0
2016-06-21,20:25:00,9.17,9.17,9.17,9.17,100,0
2016-06-21,20:30:00,9.17,9.1701,9.17,9.17,600,0
2016-06-21,20:35:00,9.18,9.21,9.18,9.19,500,0
2016-06-21,20:40:00,9.24,9.26,9.23,9.24,1743,0
2016-06-21,20:45:00,9.215,9.215,9.215,9.215,100,0
2016-06-21,20:50:00,9.22,9.23,9.22,9.23,300,0
2016-06-21,20:55:00,9.22,9.24,9.22,9.24,500,0
2016-06-21,21:00:00,9.225,9.225,9.21,9.21,600,0
2016-06-21,21:05:00,9.2,9.21,9.2,9.21,900,0
