Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-10,15:40:00,12.87,12.87,12.87,12.87,100,0
2016-06-10,15:50:00,12.84,12.84,12.84,12.84,200,0
2016-06-10,15:55:00,12.84,12.84,12.84,12.84,200,0
2016-06-10,16:30:00,12.89,12.89,12.89,12.89,200,0
2016-06-10,16:35:00,12.89,12.89,12.89,12.89,4087,0
2016-06-10,16:45:00,12.95,12.95,12.93,12.95,700,0
2016-06-10,16:50:00,12.99,12.99,12.99,12.99,100,0
2016-06-10,16:55:00,13,13.04,13,13.04,400,0
2016-06-10,17:00:00,13.05,13.05,13.04,13.04,200,0
2016-06-10,17:05:00,13.03,13.03,13.02,13.02,200,0
2016-06-10,17:40:00,13.02,13.02,13.02,13.02,200,0
2016-06-10,17:45:00,13.02,13.02,13.02,13.02,600,0
2016-06-10,17:55:00,13.04,13.04,13.04,13.04,400,0
2016-06-10,18:00:00,13.04,13.04,13.04,13.04,100,0
2016-06-10,18:20:00,13.04,13.04,13.04,13.04,200,0
2016-06-10,18:30:00,13.04,13.055,13.04,13.055,200,0
2016-06-10,18:35:00,13.05,13.05,13.01,13.01,500,0
2016-06-10,18:50:00,13.03,13.06,13.03,13.0445,800,0
2016-06-10,19:05:00,13.07,13.07,13.07,13.07,300,0
2016-06-10,19:50:00,13.15,13.17,13.15,13.16,1200,0
2016-06-10,20:00:00,13.16,13.18,13.16,13.18,600,0
2016-06-10,20:05:00,13.18,13.25,13.129,13.129,2500,0
2016-06-10,20:10:00,13.15,13.15,13.15,13.15,200,0
2016-06-10,20:15:00,13.15,13.15,13.15,13.15,300,0
2016-06-10,20:20:00,13.15,13.15,13.07,13.07,300,0
2016-06-10,20:25:00,13.13,13.13,13.07,13.07,400,0
2016-06-10,20:40:00,13.16,13.16,13.16,13.16,400,0
2016-06-10,20:55:00,13.18,13.19,13.18,13.19,600,0
2016-06-10,21:10:00,13.19,13.2,13.19,13.19,700,0
2016-06-10,21:15:00,13.19,13.19,13.19,13.19,400,0
2016-06-10,21:20:00,13.19,13.195,13.19,13.195,200,0
2016-06-10,21:25:00,13.2,13.22,13.14,13.165,2928,0
2016-06-10,21:30:00,13.18,13.21,13.18,13.19,3312,0
2016-06-10,21:35:00,13.19,13.23,13.19,13.23,1900,0
2016-06-10,21:40:00,13.19,13.19,13.17,13.17,500,0
2016-06-10,21:45:00,13.15,13.15,13.15,13.15,300,0
2016-06-10,21:50:00,13.15,13.2,13.15,13.2,300,0
2016-06-10,21:55:00,13.17,13.17,13.11,13.115,1100,0
2016-06-10,22:00:00,13.11,13.14,13.09,13.12,8559,0
2016-06-13,15:35:00,13.13,13.13,13.13,13.13,343,0
2016-06-13,15:40:00,13.06,13.16,13.06,13.16,400,0
2016-06-13,15:45:00,13.16,13.16,13.16,13.16,100,0
2016-06-13,15:50:00,13.15,13.15,13.15,13.15,100,0
2016-06-13,15:55:00,13.15,13.15,13.15,13.15,100,0
2016-06-13,16:05:00,13.17,13.17,13.17,13.17,100,0
2016-06-13,16:20:00,13.17,13.2,13.17,13.2,200,0
2016-06-13,16:25:00,13.22,13.22,13.22,13.22,200,0
2016-06-13,16:30:00,13.22,13.22,13.22,13.22,300,0
2016-06-13,16:35:00,13.22,13.22,13.22,13.22,300,0
2016-06-13,16:45:00,13.22,13.22,13.22,13.22,100,0
2016-06-13,16:50:00,13.22,13.22,13.22,13.22,100,0
2016-06-13,16:55:00,13.185,13.185,13.185,13.185,100,0
2016-06-13,17:00:00,13.12,13.12,13.12,13.12,100,0
2016-06-13,17:05:00,13.12,13.145,13.12,13.12,700,0
2016-06-13,17:15:00,13.12,13.12,13.075,13.075,500,0
2016-06-13,17:25:00,13.1,13.12,13.07,13.12,300,0
2016-06-13,17:35:00,13.075,13.12,13.075,13.12,200,0
2016-06-13,17:40:00,13.045,13.045,13.045,13.045,100,0
2016-06-13,17:45:00,13.03,13.03,13.03,13.03,100,0
2016-06-13,17:50:00,13.03,13.03,13.02,13.02,500,0
2016-06-13,17:55:00,12.97,13.01,12.97,13.01,200,0
2016-06-13,18:00:00,12.98,12.98,12.98,12.98,100,0
2016-06-13,18:10:00,13,13.02,13,13.02,3900,0
2016-06-13,18:30:00,13.135,13.135,13.13,13.13,500,0
2016-06-13,18:45:00,13.14,13.15,13.14,13.15,400,0
2016-06-13,19:10:00,13.175,13.175,13.175,13.175,100,0
2016-06-13,19:15:00,13.18,13.18,13.18,13.18,100,0
2016-06-13,19:25:00,13.19,13.2,13.19,13.2,1400,0
2016-06-13,19:30:00,13.2,13.2,13.15,13.18,2500,0
2016-06-13,19:35:00,13.19,13.2,13.18,13.18,900,0
2016-06-13,19:45:00,13.18,13.18,13.18,13.18,200,0
2016-06-13,19:50:00,13.18,13.18,13.18,13.18,500,0
2016-06-13,19:55:00,13.18,13.18,13.18,13.18,200,0
2016-06-13,20:00:00,13.18,13.2,13.18,13.18,633,0
2016-06-13,20:05:00,13.18,13.18,13.18,13.18,100,0
2016-06-13,20:10:00,13.18,13.19,13.16,13.16,700,0
2016-06-13,20:15:00,13.16,13.16,13.16,13.16,200,0
2016-06-13,20:20:00,13.155,13.155,13.11,13.11,500,0
2016-06-13,20:40:00,13.15,13.2,13.15,13.2,700,0
2016-06-13,20:45:00,13.2,13.2,13.2,13.2,400,0
2016-06-13,20:50:00,13.2,13.2,13.18,13.18,300,0
2016-06-13,20:55:00,13.19,13.19,13.19,13.19,500,0
