Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,3.92,3.92,3.83,3.9,9864,0
2016-06-22,15:40:00,3.92,3.95,3.83,3.87,4100,0
2016-06-22,15:45:00,3.88,3.88,3.83,3.83,2760,0
2016-06-22,15:50:00,3.86,3.86,3.83,3.85,2200,0
2016-06-22,15:55:00,3.83,3.85,3.82,3.82,3800,0
2016-06-22,16:00:00,3.83,3.83,3.79,3.81,5300,0
2016-06-22,16:05:00,3.8,3.88,3.8,3.83,18550,0
2016-06-22,16:10:00,3.82,3.83,3.81,3.83,4000,0
2016-06-22,16:15:00,3.83,3.86,3.815,3.84,4100,0
2016-06-22,16:20:00,3.85,3.85,3.79,3.79,2650,0
2016-06-22,16:25:00,3.79,3.84,3.76,3.83,31010,0
2016-06-22,16:30:00,3.82,3.82,3.79,3.792,1000,0
2016-06-22,16:35:00,3.81,3.99,3.81,3.99,6572,0
2016-06-22,16:40:00,3.99,4,3.93,3.95,5913,0
2016-06-22,16:45:00,3.93,4,3.93,3.96,5241,0
2016-06-22,16:50:00,3.97,4.02,3.96,4.02,6300,0
2016-06-22,16:55:00,4.02,4.06,4.02,4.06,16163,0
2016-06-22,17:00:00,4.06,4.06,3.99,3.99,2999,0
2016-06-22,17:05:00,3.99,4.05,3.98,4.05,1893,0
2016-06-22,17:10:00,4.03,4.05,4.03,4.05,5637,0
2016-06-22,17:15:00,4.05,4.08,4.05,4.06,6526,0
2016-06-22,17:20:00,4.05,4.08,4.04,4.07,6900,0
2016-06-22,17:25:00,4.06,4.07,4.04,4.043,3100,0
2016-06-22,17:30:00,4.05,4.05,4.03,4.04,2200,0
2016-06-22,17:35:00,4.0599,4.0599,3.965,3.97,12765,0
2016-06-22,17:40:00,3.97,4,3.96,3.99,23124,0
2016-06-22,17:45:00,4.01,4.01,3.99,4,1700,0
2016-06-22,17:50:00,3.97,4.02,3.97,4,24130,0
2016-06-22,17:55:00,3.98,3.99,3.96,3.96,3625,0
2016-06-22,18:00:00,3.96,3.96,3.95,3.96,1600,0
2016-06-22,18:05:00,3.9645,4,3.95,4,35600,0
2016-06-22,18:10:00,3.98,3.98,3.93,3.93,2820,0
2016-06-22,18:15:00,3.91,3.91,3.9,3.9,1900,0
2016-06-22,18:20:00,3.88,3.88,3.86,3.86,600,0
2016-06-22,18:25:00,3.85,3.9,3.85,3.85,5323,0
2016-06-22,18:30:00,3.85,3.88,3.85,3.88,4380,0
2016-06-22,18:35:00,3.88,3.88,3.86,3.86,1000,0
2016-06-22,18:40:00,3.87,3.87,3.84,3.85,12117,0
2016-06-22,18:45:00,3.83,3.83,3.81,3.82,1700,0
2016-06-22,18:50:00,3.83,3.83,3.82,3.83,1500,0
2016-06-22,18:55:00,3.84,3.87,3.84,3.85,4900,0
2016-06-22,19:00:00,3.85,3.91,3.85,3.91,16700,0
2016-06-22,19:05:00,3.91,3.94,3.9,3.94,18600,0
2016-06-22,19:10:00,3.94,3.94,3.92,3.93,4255,0
2016-06-22,19:15:00,3.92,3.92,3.9,3.9,2200,0
2016-06-22,19:20:00,3.92,3.92,3.89,3.89,2000,0
2016-06-22,19:25:00,3.88,3.88,3.86,3.88,1400,0
2016-06-22,19:30:00,3.86,3.89,3.86,3.89,2200,0
2016-06-22,19:35:00,3.88,3.88,3.86,3.87,3400,0
2016-06-22,19:40:00,3.87,3.9,3.87,3.9,1600,0
2016-06-22,19:45:00,3.9,3.9,3.9,3.9,100,0
2016-06-22,19:50:00,3.89,3.91,3.88,3.9,2900,0
2016-06-22,19:55:00,3.9,3.91,3.89,3.91,3300,0
2016-06-22,20:00:00,3.89,3.92,3.89,3.92,2500,0
2016-06-22,20:05:00,3.91,3.91,3.905,3.905,2700,0
2016-06-22,20:10:00,3.9,3.96,3.9,3.92,13800,0
2016-06-22,20:15:00,3.94,3.97,3.93,3.94,4488,0
2016-06-22,20:20:00,3.93,3.94,3.93,3.935,1500,0
2016-06-22,20:25:00,3.94,3.94,3.92,3.92,2000,0
2016-06-22,20:30:00,3.91,3.94,3.91,3.93,2800,0
2016-06-22,20:35:00,3.93,3.94,3.915,3.92,5600,0
2016-06-22,20:40:00,3.93,3.93,3.91,3.915,1000,0
2016-06-22,20:45:00,3.91,3.92,3.91,3.915,950,0
2016-06-22,20:50:00,3.92,3.94,3.91,3.94,7550,0
2016-06-22,20:55:00,3.94,3.94,3.93,3.93,1000,0
2016-06-22,21:00:00,3.93,3.95,3.9136,3.94,5100,0
2016-06-22,21:05:00,3.95,3.97,3.94,3.96,4300,0
2016-06-22,21:10:00,3.9664,3.99,3.96,3.98,10560,0
