Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-07,15:35:00,23.062,23.062,23.062,23.062,100,0
2015-12-07,17:45:00,22.832,22.832,22.806,22.806,270,0
2015-12-07,17:50:00,22.816,22.816,22.816,22.816,200,0
2015-12-07,18:45:00,22.813,22.813,22.813,22.813,200,0
2015-12-07,18:50:00,22.812,22.812,22.812,22.812,200,0
2015-12-07,19:00:00,22.802,22.802,22.801,22.802,15693,0
2015-12-07,20:05:00,22.842,22.842,22.842,22.842,100,0
2015-12-07,20:10:00,22.872,22.872,22.872,22.872,100,0
2015-12-07,21:10:00,22.783,22.792,22.762,22.762,2071,0
2015-12-07,22:00:00,22.882,22.882,22.882,22.882,100,0
2015-12-08,17:20:00,22.802,22.802,22.802,22.802,253,0
2015-12-08,17:25:00,22.852,22.852,22.852,22.852,100,0
2015-12-08,17:30:00,22.822,22.822,22.822,22.822,9381,0
2015-12-08,17:50:00,22.771,22.771,22.771,22.771,231,0
2015-12-08,18:30:00,22.762,22.762,22.762,22.762,2103,0
2015-12-08,18:35:00,22.762,22.762,22.762,22.762,3906,0
2015-12-08,18:50:00,22.762,22.762,22.762,22.762,1202,0
2015-12-08,19:05:00,22.772,22.772,22.772,22.772,601,0
2015-12-08,19:20:00,22.772,22.772,22.762,22.762,585,0
2015-12-08,19:25:00,22.762,22.762,22.752,22.752,1703,0
2015-12-08,19:30:00,22.733,22.733,22.733,22.733,604,0
2015-12-08,19:50:00,22.758,22.758,22.758,22.758,831,0
2015-12-08,20:45:00,22.76,22.76,22.76,22.76,200,0
2015-12-08,21:00:00,22.802,22.802,22.802,22.802,801,0
2015-12-08,22:00:00,22.802,22.802,22.802,22.802,100,0
2015-12-09,16:20:00,22.828,22.828,22.828,22.828,100,0
2015-12-09,18:50:00,22.582,22.582,22.582,22.582,100,0
2015-12-09,22:00:00,22.642,22.642,22.642,22.642,100,0
2015-12-10,20:30:00,22.742,22.744,22.742,22.742,5809,0
2015-12-10,22:00:00,22.692,22.692,22.692,22.692,100,0
2015-12-11,17:40:00,22.443,22.443,22.443,22.443,10053,0
2015-12-11,19:40:00,22.33,22.33,22.33,22.33,971,0
2015-12-11,20:15:00,22.383,22.395,22.383,22.395,200,0
2015-12-11,21:35:00,22.344,22.344,22.293,22.293,458,0
2015-12-11,22:00:00,22.363,22.363,22.363,22.363,100,0
2015-12-14,16:55:00,22.25,22.25,22.213,22.213,600,0
2015-12-14,17:35:00,22.213,22.213,22.213,22.213,5906,0
2015-12-14,18:20:00,22.262,22.262,22.262,22.262,100,0
2015-12-14,20:20:00,22.283,22.283,22.283,22.283,148,0
2015-12-15,15:40:00,22.533,22.533,22.533,22.533,100,0
