Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,15:35:00,9.89,9.99,9.89,9.99,1302,0
2016-06-14,15:40:00,9.95,9.95,9.85,9.85,1100,0
2016-06-14,15:45:00,9.83,10.01,9.83,9.85,300,0
2016-06-14,15:55:00,10.03,10.03,9.94,9.94,200,0
2016-06-14,16:00:00,9.92,9.92,9.89,9.89,200,0
2016-06-14,16:05:00,9.95,9.95,9.95,9.95,200,0
2016-06-14,16:10:00,9.95,10.03,9.95,10.03,300,0
2016-06-14,16:30:00,9.99,10.01,9.99,9.99,400,0
2016-06-14,16:45:00,9.99,9.99,9.97,9.98,1400,0
2016-06-14,16:50:00,9.97,9.97,9.97,9.97,100,0
2016-06-14,16:55:00,9.98,9.98,9.98,9.98,100,0
2016-06-14,17:00:00,9.95,10.03,9.95,9.995,400,0
2016-06-14,17:05:00,9.97,9.97,9.89,9.89,1120,0
2016-06-14,17:10:00,9.89,9.9576,9.89,9.9576,400,0
2016-06-14,17:20:00,9.93,9.93,9.93,9.93,1500,0
2016-06-14,17:30:00,9.93,9.93,9.93,9.93,200,0
2016-06-14,17:45:00,9.95,9.99,9.95,9.99,300,0
2016-06-14,17:55:00,9.96,9.96,9.95,9.95,300,0
2016-06-14,18:10:00,9.93,9.93,9.93,9.93,200,0
2016-06-14,18:15:00,9.94,9.94,9.94,9.94,100,0
2016-06-14,18:20:00,9.93,9.93,9.93,9.93,100,0
2016-06-14,18:25:00,9.955,9.955,9.955,9.955,100,0
2016-06-14,18:30:00,9.91,9.91,9.91,9.91,200,0
2016-06-14,18:40:00,9.96,9.98,9.94,9.98,500,0
2016-06-14,18:55:00,9.96,9.96,9.95,9.95,200,0
2016-06-14,19:10:00,9.98,9.98,9.98,9.98,300,0
2016-06-14,19:20:00,9.93,9.93,9.93,9.93,200,0
2016-06-14,19:25:00,9.96,9.96,9.96,9.96,100,0
2016-06-14,19:45:00,9.96,9.97,9.96,9.97,400,0
2016-06-14,19:50:00,9.97,9.97,9.92,9.92,300,0
2016-06-14,19:55:00,9.92,9.94,9.92,9.94,200,0
2016-06-14,20:00:00,9.93,9.93,9.93,9.93,300,0
2016-06-14,20:05:00,9.94,9.95,9.93,9.94,400,0
