Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-01-11,17:00:00,3.54,3.54,3.54,3.54,300,0
2016-01-11,17:30:00,3.64,3.64,3.64,3.64,263,0
2016-01-11,18:05:00,3.64,3.64,3.64,3.64,100,0
2016-01-11,18:15:00,3.58,3.64,3.58,3.64,500,0
2016-01-11,18:40:00,3.54,3.54,3.54,3.54,100,0
2016-01-11,19:20:00,3.52,3.54,3.52,3.52,1800,0
2016-01-11,19:25:00,3.5,3.52,3.5,3.52,962,0
2016-01-11,19:30:00,3.5,3.5,3.5,3.5,1200,0
2016-01-11,19:45:00,3.5,3.5,3.5,3.5,100,0
2016-01-11,20:00:00,3.5,3.5,3.5,3.5,100,0
2016-01-11,20:20:00,3.5,3.5,3.5,3.5,100,0
2016-01-11,21:20:00,3.5,3.5,3.5,3.5,100,0
2016-01-11,21:25:00,3.45,3.45,3.45,3.45,100,0
2016-01-11,21:30:00,3.42,3.42,3.42,3.42,200,0
2016-01-11,21:35:00,3.42,3.42,3.42,3.42,100,0
2016-01-11,21:45:00,3.42,3.42,3.41,3.41,200,0
2016-01-11,21:50:00,3.4,3.4,3.4,3.4,100,0
2016-01-11,21:55:00,3.39,3.39,3.38,3.38,200,0
2016-01-11,22:00:00,3.38,3.395,3.37,3.395,600,0
2016-01-12,16:40:00,3.54,3.59,3.4,3.44,1000,0
2016-01-12,16:45:00,3.44,3.58,3.41,3.58,500,0
2016-01-12,17:00:00,3.58,3.58,3.58,3.58,100,0
2016-01-12,17:25:00,3.55,3.6,3.55,3.6,200,0
2016-01-12,17:30:00,3.54,3.59,3.46,3.59,1100,0
2016-01-12,17:35:00,3.53,3.6,3.42,3.48,1000,0
2016-01-12,17:40:00,3.6,3.6,3.45,3.45,1100,0
2016-01-12,17:45:00,3.5,3.5,3.5,3.5,100,0
2016-01-12,17:50:00,3.5,3.5,3.5,3.5,757,0
2016-01-12,18:25:00,3.4,3.4,3.4,3.4,100,0
2016-01-12,18:35:00,3.47,3.47,3.47,3.47,100,0
2016-01-12,19:25:00,3.44,3.44,3.44,3.44,200,0
2016-01-12,19:30:00,3.44,3.44,3.44,3.44,444,0
2016-01-12,19:55:00,3.6,3.6,3.47,3.47,1400,0
2016-01-12,20:00:00,3.45,3.53,3.4305,3.5,1500,0
2016-01-12,20:15:00,3.4,3.4,3.4,3.4,100,0
2016-01-12,20:20:00,3.44,3.44,3.44,3.44,100,0
2016-01-12,20:55:00,3.44,3.44,3.44,3.44,100,0
2016-01-12,21:40:00,3.43,3.44,3.43,3.44,200,0
2016-01-12,22:00:00,3.42,3.44,3.4,3.42,600,0
2016-01-13,21:55:00,3.42,3.45,3.4,3.45,1000,0
2016-01-13,22:00:00,3.41,3.415,3.41,3.415,700,0
2016-01-14,15:35:00,3.42,3.42,3.4,3.4,300,0
2016-01-14,15:40:00,3.4,3.4,3.4,3.4,200,0
2016-01-14,15:50:00,3.4,3.4,3.4,3.4,200,0
2016-01-14,16:05:00,3.36,3.36,3.36,3.36,200,0
2016-01-14,16:10:00,3.36,3.36,3.36,3.36,331,0
2016-01-14,16:40:00,3.4,3.42,3.39,3.39,5745,0
2016-01-14,16:45:00,3.42,3.42,3.41,3.41,400,0
2016-01-14,16:50:00,3.41,3.41,3.41,3.41,500,0
2016-01-14,16:55:00,3.42,3.42,3.42,3.42,200,0
2016-01-14,17:10:00,3.41,3.41,3.41,3.41,500,0
2016-01-14,17:30:00,3.41,3.42,3.41,3.42,400,0
2016-01-14,17:35:00,3.42,3.42,3.42,3.42,400,0
2016-01-14,17:40:00,3.42,3.42,3.42,3.42,400,0
2016-01-14,17:45:00,3.42,3.42,3.42,3.42,300,0
2016-01-14,17:50:00,3.42,3.42,3.42,3.42,500,0
2016-01-14,17:55:00,3.41,3.415,3.41,3.415,391,0
2016-01-14,18:10:00,3.43,3.43,3.43,3.43,400,0
2016-01-14,18:20:00,3.45,3.45,3.45,3.45,100,0
2016-01-14,20:05:00,3.44,3.44,3.44,3.44,100,0
2016-01-14,22:00:00,3.43,3.43,3.43,3.43,500,0
2016-01-15,16:40:00,3.41,3.41,3.41,3.41,2000,0
2016-01-15,16:45:00,3.41,3.41,3.37,3.37,1100,0
2016-01-15,16:55:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,17:15:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,17:35:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,17:50:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,18:05:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,18:20:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,18:45:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,18:50:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,19:00:00,3.36,3.36,3.36,3.36,100,0
2016-01-15,19:30:00,3.36,3.36,3.36,3.36,200,0
2016-01-15,19:35:00,3.35,3.35,3.35,3.35,100,0
2016-01-15,19:40:00,3.35,3.36,3.35,3.36,200,0
2016-01-15,19:45:00,3.36,3.36,3.35,3.35,2800,0
2016-01-15,20:05:00,3.35,3.35,3.35,3.35,100,0
2016-01-15,20:10:00,3.35,3.35,3.3,3.34,1300,0
2016-01-15,20:15:00,3.35,3.35,3.35,3.35,200,0
2016-01-15,21:35:00,3.38,3.38,3.38,3.38,100,0
2016-01-15,21:50:00,3.38,3.39,3.38,3.39,300,0
2016-01-15,21:55:00,3.39,3.39,3.39,3.39,200,0
2016-01-15,22:00:00,3.38,3.42,3.31,3.31,1896,0
2016-01-19,15:40:00,3.32,3.32,3.32,3.32,100,0
2016-01-19,16:05:00,3.42,3.4289,3.42,3.4289,500,0
2016-01-19,16:10:00,3.42,3.426,3.42,3.426,400,0
2016-01-19,16:35:00,3.42,3.42,3.42,3.42,100,0
2016-01-19,16:50:00,3.42,3.42,3.42,3.42,100,0
2016-01-19,16:55:00,3.42,3.42,3.42,3.42,200,0
2016-01-19,17:20:00,3.41,3.4195,3.41,3.4195,400,0
2016-01-19,18:05:00,3.385,3.385,3.385,3.385,300,0
2016-01-19,18:15:00,3.39,3.39,3.39,3.39,400,0
2016-01-19,19:05:00,3.39,3.39,3.39,3.39,200,0
2016-01-19,19:10:00,3.39,3.39,3.39,3.39,400,0
2016-01-19,21:00:00,3.3901,3.3901,3.39,3.3901,1650,0
2016-01-19,21:20:00,3.35,3.35,3.35,3.35,340,0
2016-01-19,21:35:00,3.32,3.32,3.32,3.32,100,0
2016-01-19,22:00:00,3.31,3.5,3.31,3.5,703,0
2016-01-20,15:35:00,3.37,3.37,3.37,3.37,1255,0
2016-01-20,15:50:00,3.4,3.4,3.38,3.38,2500,0
2016-01-20,15:55:00,3.37,3.38,3.37,3.38,500,0
2016-01-20,16:10:00,3.37,3.37,3.37,3.37,500,0
2016-01-20,16:50:00,3.34,3.34,3.31,3.31,2004,0
2016-01-20,17:05:00,3.21,3.25,3.2,3.2,32654,0
2016-01-20,17:10:00,3.2,3.2,3.16,3.16,200,0
2016-01-20,17:20:00,3.2,3.2,3.2,3.2,400,0
2016-01-20,17:30:00,3.205,3.205,3.205,3.205,100,0
2016-01-20,17:35:00,3.21,3.21,3.21,3.21,100,0
2016-01-20,17:55:00,3.21,3.21,3.21,3.21,600,0
2016-01-20,18:00:00,3.2,3.205,3.2,3.205,800,0
2016-01-20,18:15:00,3.21,3.21,3.21,3.21,100,0
2016-01-20,18:30:00,3.2,3.2,3.2,3.2,200,0
2016-01-20,18:50:00,3.205,3.21,3.205,3.21,300,0
2016-01-20,19:00:00,3.23,3.23,3.23,3.23,200,0
2016-01-20,19:05:00,3.23,3.23,3.23,3.23,200,0
2016-01-20,19:10:00,3.23,3.23,3.23,3.23,200,0
2016-01-20,19:15:00,3.23,3.23,3.23,3.23,1100,0
2016-01-20,19:20:00,3.25,3.25,3.18,3.21,26000,0
2016-01-20,19:25:00,3.2,3.2,3.2,3.2,200,0
2016-01-20,19:30:00,3.22,3.23,3.22,3.23,400,0
2016-01-20,19:35:00,3.23,3.23,3.23,3.23,400,0
2016-01-20,19:40:00,3.23,3.23,3.23,3.23,900,0
2016-01-20,19:45:00,3.23,3.23,3.23,3.23,400,0
2016-01-20,19:50:00,3.23,3.23,3.23,3.23,1150,0
2016-01-20,20:10:00,3.24,3.24,3.24,3.24,200,0
2016-01-20,20:15:00,3.25,3.25,3.23,3.23,400,0
2016-01-20,20:40:00,3.23,3.23,3.23,3.23,4100,0
2016-01-20,20:55:00,3.23,3.23,3.23,3.23,300,0
2016-01-20,21:00:00,3.27,3.27,3.27,3.27,100,0
2016-01-20,21:30:00,3.29,3.3,3.27,3.3,300,0
2016-01-20,21:40:00,3.3099,3.3099,3.3099,3.3099,7200,0
2016-01-20,21:50:00,3.28,3.28,3.28,3.28,500,0
2016-01-20,21:55:00,3.28,3.28,3.255,3.255,1700,0
2016-01-20,22:00:00,3.23,3.27,3.23,3.24,400,0
