Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-17,15:35:00,22.91,23.0599,22.85,23.0599,2205,0
2016-06-17,15:40:00,22.82,22.82,22.7,22.7,400,0
2016-06-17,15:45:00,22.82,22.9,22.75,22.7923,3200,0
2016-06-17,15:50:00,22.76,22.76,22.75,22.76,900,0
2016-06-17,15:55:00,22.71,22.71,22.71,22.71,150,0
2016-06-17,16:00:00,22.7535,22.7535,22.5,22.68,2100,0
2016-06-17,16:05:00,22.68,22.7,22.6725,22.6725,1454,0
2016-06-17,16:10:00,22.54,22.54,22.54,22.54,276,0
2016-06-17,16:15:00,22.4825,22.4825,22.37,22.37,1250,0
2016-06-17,16:25:00,22.39,22.39,22.151,22.151,2730,0
2016-06-17,16:30:00,22.11,22.18,22.11,22.18,2400,0
2016-06-17,16:35:00,22.18,22.18,22,22.11,5866,0
2016-06-17,16:40:00,22.11,22.1989,22.11,22.1989,4366,0
2016-06-17,16:45:00,22.14,22.14,22.07,22.11,7400,0
2016-06-17,16:55:00,22.17,22.17,22,22,2177,0
2016-06-17,17:00:00,22.0451,22.0999,22.0451,22.0999,825,0
2016-06-17,17:05:00,21.8801,21.8998,21.8,21.8,2585,0
2016-06-17,17:10:00,21.83,22.01,21.83,22.01,900,0
2016-06-17,17:15:00,21.82,21.82,21.69,21.69,10425,0
2016-06-17,17:20:00,21.73,21.91,21.7,21.91,750,0
2016-06-17,17:25:00,21.9805,22.02,21.9805,22.0072,1200,0
2016-06-17,17:30:00,21.99,21.99,21.9569,21.9569,1600,0
2016-06-17,17:35:00,21.8,21.8685,21.77,21.8324,868,0
2016-06-17,17:45:00,22.02,22.02,22.02,22.02,299,0
2016-06-17,17:50:00,22,22.07,22,22.07,300,0
2016-06-17,18:05:00,22.1,22.1,22.1,22.1,300,0
2016-06-17,18:10:00,22.1,22.15,22.1,22.15,700,0
2016-06-17,18:15:00,22.1995,22.1995,22.1995,22.1995,500,0
2016-06-17,18:20:00,22.1495,22.1495,22.0251,22.0251,300,0
2016-06-17,18:25:00,21.95,22,21.95,21.95,4200,0
2016-06-17,18:30:00,21.99,22.01,21.87,21.97,9300,0
2016-06-17,18:35:00,21.937,21.937,21.937,21.937,150,0
2016-06-17,18:50:00,21.85,21.85,21.8,21.83,350,0
2016-06-17,18:55:00,21.76,21.76,21.75,21.75,200,0
2016-06-17,19:00:00,21.7699,21.7699,21.69,21.73,1975,0
2016-06-17,19:05:00,21.75,21.75,21.65,21.65,2366,0
2016-06-17,19:10:00,21.6877,21.6877,21.6877,21.6877,500,0
2016-06-17,19:15:00,21.8199,21.8199,21.8199,21.8199,200,0
2016-06-17,19:30:00,21.82,21.82,21.7527,21.7527,5583,0
2016-06-17,19:35:00,21.7,21.77,21.7,21.77,900,0
2016-06-17,19:45:00,21.8599,21.8599,21.83,21.85,300,0
2016-06-17,19:50:00,21.73,21.73,21.73,21.73,100,0
2016-06-17,19:55:00,21.8,21.84,21.8,21.84,2200,0
2016-06-17,20:05:00,21.84,21.84,21.84,21.84,100,0
2016-06-17,20:10:00,21.75,21.7717,21.7289,21.75,948,0
2016-06-17,20:20:00,21.92,21.92,21.92,21.92,1500,0
2016-06-17,20:25:00,21.831,21.9,21.831,21.9,1400,0
2016-06-17,20:30:00,21.861,21.861,21.861,21.861,500,0
2016-06-17,20:35:00,21.7905,21.94,21.7905,21.94,5700,0
2016-06-17,20:45:00,21.81,21.81,21.81,21.81,600,0
2016-06-17,20:50:00,21.9599,21.9599,21.8841,21.8841,1210,0
2016-06-17,20:55:00,21.82,21.83,21.82,21.83,200,0
2016-06-17,21:00:00,21.75,21.75,21.75,21.75,500,0
2016-06-17,21:05:00,21.716,21.716,21.716,21.716,1000,0
2016-06-17,21:10:00,21.7206,21.734,21.7,21.7,1300,0
2016-06-17,21:15:00,21.68,21.73,21.66,21.669,3400,0
2016-06-17,21:20:00,21.62,21.62,21.57,21.59,1412,0
2016-06-17,21:25:00,21.56,21.59,21.56,21.59,3300,0
2016-06-17,21:30:00,21.62,21.62,21.59,21.59,550,0
2016-06-17,21:35:00,21.63,21.63,21.58,21.58,2200,0
2016-06-17,21:40:00,21.61,21.62,21.5201,21.57,22336,0
2016-06-17,21:45:00,21.52,21.52,21.45,21.45,3900,0
2016-06-17,21:50:00,21.6,21.6,21.56,21.56,2400,0
2016-06-17,21:55:00,21.49,21.5256,21.45,21.45,2750,0
2016-06-17,22:00:00,21.47,21.487,21.39,21.43,8186,0
