Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,5.8,5.8,5.8,5.8,233,0
2016-06-15,15:45:00,5.75,5.76,5.73,5.76,400,0
2016-06-15,15:50:00,5.73,5.76,5.73,5.76,1600,0
2016-06-15,16:35:00,5.71,5.71,5.7,5.71,300,0
2016-06-15,16:40:00,5.74,5.74,5.74,5.74,100,0
2016-06-15,16:45:00,5.73,5.73,5.73,5.73,100,0
2016-06-15,17:00:00,5.74,5.74,5.74,5.74,100,0
2016-06-15,17:10:00,5.72,5.75,5.72,5.75,500,0
2016-06-15,17:15:00,5.72,5.72,5.7,5.7,300,0
2016-06-15,17:25:00,5.71,5.72,5.71,5.72,200,0
2016-06-15,17:30:00,5.71,5.71,5.71,5.71,100,0
2016-06-15,17:45:00,5.71,5.71,5.71,5.71,100,0
2016-06-15,17:55:00,5.73,5.73,5.73,5.73,100,0
2016-06-15,18:00:00,5.78,5.78,5.78,5.78,100,0
2016-06-15,18:10:00,5.77,5.77,5.77,5.77,100,0
2016-06-15,18:15:00,5.78,5.78,5.78,5.78,100,0
2016-06-15,18:25:00,5.78,5.78,5.78,5.78,200,0
2016-06-15,18:45:00,5.76,5.76,5.76,5.76,200,0
2016-06-15,18:55:00,5.76,5.76,5.76,5.76,100,0
2016-06-15,19:05:00,5.74,5.74,5.74,5.74,100,0
2016-06-15,19:15:00,5.74,5.74,5.74,5.74,100,0
2016-06-15,19:30:00,5.7422,5.7422,5.7422,5.7422,250,0
2016-06-15,19:40:00,5.76,5.76,5.76,5.76,100,0
2016-06-15,19:50:00,5.75,5.78,5.75,5.78,300,0
2016-06-15,20:05:00,5.77,5.77,5.77,5.77,100,0
2016-06-15,20:10:00,5.73,5.73,5.73,5.73,100,0
2016-06-15,20:15:00,5.72,5.72,5.72,5.72,100,0
2016-06-15,20:20:00,5.72,5.72,5.72,5.72,100,0
2016-06-15,20:25:00,5.74,5.74,5.74,5.74,100,0
2016-06-15,20:40:00,5.73,5.73,5.73,5.73,200,0
2016-06-15,20:50:00,5.73,5.74,5.73,5.74,300,0
2016-06-15,20:55:00,5.75,5.75,5.75,5.75,100,0
2016-06-15,21:05:00,5.76,5.79,5.75,5.79,600,0
2016-06-15,21:10:00,5.78,5.79,5.77,5.79,902,0
2016-06-15,21:15:00,5.79,5.79,5.79,5.79,100,0
2016-06-15,21:20:00,5.77,5.77,5.77,5.77,100,0
2016-06-15,21:25:00,5.77,5.77,5.77,5.77,300,0
2016-06-15,21:30:00,5.76,5.78,5.76,5.78,400,0
2016-06-15,21:35:00,5.75,5.75,5.75,5.75,100,0
2016-06-15,21:40:00,5.75,5.75,5.74,5.74,200,0
2016-06-15,21:45:00,5.73,5.73,5.725,5.725,300,0
2016-06-15,21:50:00,5.72,5.73,5.72,5.73,400,0
2016-06-15,21:55:00,5.72,5.72,5.72,5.72,400,0
2016-06-15,22:00:00,5.72,5.72,5.71,5.72,3744,0
2016-06-16,15:35:00,5.69,5.69,5.69,5.69,187,0
2016-06-16,15:45:00,5.64,5.64,5.63,5.63,300,0
2016-06-16,16:10:00,5.61,5.67,5.61,5.67,595,0
2016-06-16,16:25:00,5.6699,5.6699,5.655,5.655,2000,0
2016-06-16,16:35:00,5.61,5.61,5.61,5.61,100,0
2016-06-16,16:40:00,5.64,5.64,5.64,5.64,200,0
2016-06-16,17:00:00,5.6,5.6,5.6,5.6,100,0
2016-06-16,17:05:00,5.6,5.6,5.6,5.6,300,0
2016-06-16,17:10:00,5.5914,5.5914,5.5914,5.5914,100,0
2016-06-16,17:15:00,5.6,5.61,5.59,5.61,600,0
2016-06-16,17:20:00,5.6,5.6,5.5811,5.5811,200,0
2016-06-16,17:30:00,5.61,5.61,5.61,5.61,400,0
2016-06-16,17:35:00,5.63,5.63,5.63,5.63,300,0
2016-06-16,17:55:00,5.59,5.59,5.59,5.59,100,0
2016-06-16,18:00:00,5.585,5.585,5.55,5.55,1757,0
2016-06-16,18:05:00,5.5635,5.5635,5.5635,5.5635,100,0
2016-06-16,18:10:00,5.556,5.556,5.556,5.556,100,0
2016-06-16,18:40:00,5.56,5.63,5.56,5.61,2168,0
2016-06-16,18:45:00,5.6,5.6,5.6,5.6,200,0
2016-06-16,18:50:00,5.5935,5.5935,5.55,5.55,4800,0
2016-06-16,18:55:00,5.58,5.58,5.58,5.58,100,0
2016-06-16,19:00:00,5.5811,5.5811,5.5611,5.5611,900,0
2016-06-16,19:05:00,5.5611,5.5711,5.5611,5.5711,600,0
2016-06-16,19:10:00,5.5711,5.5711,5.5711,5.5711,100,0
2016-06-16,19:15:00,5.57,5.59,5.57,5.59,2000,0
2016-06-16,19:20:00,5.5711,5.5711,5.57,5.57,300,0
2016-06-16,19:25:00,5.5728,5.5728,5.5728,5.5728,280,0
2016-06-16,19:30:00,5.583,5.583,5.5808,5.5808,200,0
2016-06-16,19:35:00,5.58,5.58,5.58,5.58,200,0
2016-06-16,19:40:00,5.58,5.58,5.5708,5.5708,300,0
2016-06-16,19:45:00,5.5701,5.5701,5.5701,5.5701,100,0
2016-06-16,19:50:00,5.57,5.57,5.57,5.57,200,0
2016-06-16,19:55:00,5.563,5.563,5.5608,5.5608,400,0
2016-06-16,20:00:00,5.575,5.575,5.5608,5.575,700,0
2016-06-16,20:05:00,5.575,5.58,5.48,5.55,19890,0
2016-06-16,20:10:00,5.53,5.53,5.49,5.52,5300,0
2016-06-16,20:15:00,5.53,5.54,5.53,5.54,400,0
2016-06-16,20:20:00,5.55,5.56,5.535,5.56,500,0
2016-06-16,20:35:00,5.56,5.56,5.56,5.56,200,0
2016-06-16,20:40:00,5.56,5.57,5.56,5.57,2200,0
2016-06-16,20:50:00,5.555,5.59,5.555,5.59,881,0
2016-06-16,20:55:00,5.6,5.61,5.6,5.61,200,0
2016-06-16,21:00:00,5.62,5.65,5.62,5.65,2250,0
2016-06-16,21:15:00,5.62,5.62,5.62,5.62,200,0
2016-06-16,21:20:00,5.61,5.61,5.61,5.61,400,0
2016-06-16,21:25:00,5.6,5.63,5.6,5.63,1000,0
2016-06-16,21:30:00,5.625,5.625,5.625,5.625,100,0
2016-06-16,21:35:00,5.63,5.65,5.63,5.65,400,0
2016-06-16,21:40:00,5.645,5.66,5.645,5.66,300,0
2016-06-16,21:45:00,5.64,5.65,5.64,5.64,400,0
2016-06-16,21:50:00,5.643,5.66,5.64,5.64,1080,0
2016-06-16,21:55:00,5.65,5.65,5.63,5.63,900,0
2016-06-16,22:00:00,5.63,5.67,5.63,5.66,7561,0
2016-06-17,15:35:00,5.67,5.67,5.6,5.6,68261,0
2016-06-17,15:40:00,5.56,5.56,5.55,5.55,250,0
2016-06-17,15:45:00,5.44,5.44,5.42,5.42,200,0
2016-06-17,15:50:00,5.42,5.46,5.42,5.46,200,0
2016-06-17,15:55:00,5.55,5.55,5.53,5.54,600,0
2016-06-17,16:00:00,5.53,5.53,5.52,5.52,200,0
2016-06-17,17:00:00,5.64,5.64,5.64,5.64,100,0
2016-06-17,17:05:00,5.62,5.62,5.62,5.62,200,0
2016-06-17,17:40:00,5.58,5.59,5.57,5.57,1200,0
2016-06-17,17:45:00,5.57,5.57,5.57,5.57,200,0
2016-06-17,17:50:00,5.56,5.57,5.55,5.57,1100,0
2016-06-17,17:55:00,5.57,5.57,5.57,5.57,500,0
2016-06-17,18:00:00,5.59,5.59,5.59,5.59,100,0
2016-06-17,18:25:00,5.57,5.61,5.57,5.61,200,0
2016-06-17,18:35:00,5.57,5.6,5.57,5.6,200,0
2016-06-17,18:45:00,5.57,5.57,5.57,5.57,100,0
2016-06-17,18:50:00,5.59,5.59,5.59,5.59,100,0
2016-06-17,18:55:00,5.58,5.58,5.57,5.57,600,0
2016-06-17,19:00:00,5.59,5.59,5.54,5.54,700,0
2016-06-17,19:40:00,5.62,5.62,5.61,5.61,200,0
2016-06-17,19:45:00,5.61,5.61,5.61,5.61,100,0
2016-06-17,19:50:00,5.61,5.61,5.61,5.61,100,0
2016-06-17,19:55:00,5.61,5.61,5.61,5.61,200,0
2016-06-17,20:05:00,5.615,5.615,5.615,5.615,100,0
2016-06-17,20:10:00,5.63,5.63,5.6,5.6,300,0
2016-06-17,20:15:00,5.58,5.58,5.58,5.58,100,0
2016-06-17,20:30:00,5.6,5.6,5.6,5.6,200,0
2016-06-17,20:35:00,5.61,5.61,5.61,5.61,100,0
2016-06-17,20:45:00,5.61,5.61,5.61,5.61,200,0
2016-06-17,21:00:00,5.63,5.63,5.62,5.62,500,0
2016-06-17,21:10:00,5.64,5.64,5.62,5.63,600,0
2016-06-17,21:15:00,5.64,5.65,5.635,5.635,600,0
2016-06-17,21:20:00,5.65,5.65,5.65,5.65,644,0
2016-06-17,21:25:00,5.64,5.65,5.6,5.63,6947,0
2016-06-17,21:30:00,5.63,5.66,5.63,5.66,200,0
2016-06-17,21:45:00,5.66,5.66,5.64,5.65,500,0
2016-06-17,21:50:00,5.65,5.65,5.64,5.64,500,0
2016-06-17,21:55:00,5.64,5.66,5.64,5.66,1100,0
2016-06-17,22:00:00,5.66,5.68,5.64,5.64,7489,0
2016-06-20,15:35:00,5.69,5.8,5.69,5.8,669,0
2016-06-20,16:00:00,5.76,5.77,5.76,5.77,400,0
2016-06-20,16:15:00,5.76,5.76,5.76,5.76,100,0
2016-06-20,16:25:00,5.79,5.8,5.78,5.78,1300,0
2016-06-20,16:30:00,5.8,5.83,5.79,5.83,2724,0
2016-06-20,16:35:00,5.83,5.83,5.83,5.83,1100,0
2016-06-20,16:40:00,5.88,5.88,5.87,5.87,400,0
2016-06-20,16:50:00,5.8574,5.88,5.85,5.88,1200,0
2016-06-20,16:55:00,5.89,5.89,5.89,5.89,100,0
