Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,26.4,26.65,26.11,26.61,17130,0
2016-06-22,15:40:00,26.61,26.66,26.49,26.63,10064,0
2016-06-22,15:45:00,26.66,26.79,26.59,26.78,10076,0
2016-06-22,15:50:00,26.76,26.83,26.69,26.81,15246,0
2016-06-22,15:55:00,26.81,26.81,26.71,26.79,9645,0
2016-06-22,16:00:00,26.79,26.79,26.72,26.72,12067,0
2016-06-22,16:05:00,26.725,26.77,26.68,26.72,17614,0
2016-06-22,16:10:00,26.72,26.89,26.72,26.89,24503,0
2016-06-22,16:15:00,26.89,26.89,26.8,26.88,24095,0
2016-06-22,16:20:00,26.88,26.92,26.83,26.92,30256,0
2016-06-22,16:25:00,26.93,26.95,26.895,26.91,31705,0
2016-06-22,16:30:00,26.92,26.97,26.9,26.94,13185,0
2016-06-22,16:35:00,26.935,27.01,26.92,26.99,39971,0
2016-06-22,16:40:00,26.99,27,26.95,26.98,14878,0
2016-06-22,16:45:00,26.97,26.97,26.95,26.96,15508,0
2016-06-22,16:50:00,26.96,27.05,26.94,27.03,45457,0
2016-06-22,16:55:00,27.04,27.09,27.04,27.07,8677,0
2016-06-22,17:00:00,27.04,27.06,26.97,26.97,17460,0
2016-06-22,17:05:00,26.97,26.97,26.915,26.95,19390,0
2016-06-22,17:10:00,26.945,27,26.91,26.96,19905,0
2016-06-22,17:15:00,26.965,27.07,26.96,27.04,18785,0
2016-06-22,17:20:00,27.03,27.14,27.02,27.14,29470,0
2016-06-22,17:25:00,27.12,27.21,27.1,27.17,102375,0
2016-06-22,17:30:00,27.17,27.24,27.15,27.2,86151,0
2016-06-22,17:35:00,27.2,27.2,27.11,27.165,65387,0
2016-06-22,17:40:00,27.16,27.25,27.14,27.23,28942,0
2016-06-22,17:45:00,27.22,27.22,27.16,27.17,40746,0
2016-06-22,17:50:00,27.16,27.175,27.14,27.17,41260,0
2016-06-22,17:55:00,27.16,27.16,27.11,27.12,19884,0
2016-06-22,18:00:00,27.12,27.175,27.12,27.125,9996,0
2016-06-22,18:05:00,27.125,27.19,27.12,27.175,39305,0
2016-06-22,18:10:00,27.175,27.19,27.11,27.13,14970,0
2016-06-22,18:15:00,27.13,27.16,27.1,27.12,14295,0
2016-06-22,18:20:00,27.12,27.14,27.08,27.085,30494,0
2016-06-22,18:25:00,27.09,27.115,27.07,27.08,68650,0
2016-06-22,18:30:00,27.08,27.09,26.95,26.97,64945,0
2016-06-22,18:35:00,26.97,27.035,26.955,27,21129,0
2016-06-22,18:40:00,27,27.01,26.975,26.984,28094,0
2016-06-22,18:45:00,26.99,27.015,26.955,27.005,45262,0
2016-06-22,18:50:00,27,27.01,26.96,26.96,50352,0
2016-06-22,18:55:00,26.96,27.01,26.9,26.9,26016,0
2016-06-22,19:00:00,26.91,27.005,26.9,27,54741,0
2016-06-22,19:05:00,27,27,26.93,26.93,31406,0
2016-06-22,19:10:00,26.92,26.95,26.87,26.9,21299,0
2016-06-22,19:15:00,26.9,26.97,26.89,26.955,113692,0
2016-06-22,19:20:00,26.93,26.95,26.9,26.92,69628,0
2016-06-22,19:25:00,26.92,26.92,26.86,26.87,14436,0
2016-06-22,19:30:00,26.87,26.885,26.82,26.825,13760,0
2016-06-22,19:35:00,26.82,26.875,26.81,26.855,24966,0
2016-06-22,19:40:00,26.855,26.89,26.85,26.88,16182,0
2016-06-22,19:45:00,26.88,26.96,26.88,26.955,22533,0
2016-06-22,19:50:00,26.96,26.96,26.92,26.935,8557,0
2016-06-22,19:55:00,26.935,26.98,26.935,26.98,31310,0
2016-06-22,20:00:00,26.9736,26.98,26.97,26.975,20731,0
2016-06-22,20:05:00,26.975,27.04,26.97,27.03,54230,0
2016-06-22,20:10:00,27.02,27.05,26.99,27,18088,0
2016-06-22,20:15:00,27,27.02,27,27,17406,0
2016-06-22,20:20:00,27.01,27.03,27.005,27.015,34041,0
2016-06-22,20:25:00,27.01,27.03,26.99,27,23961,0
2016-06-22,20:30:00,27,27.01,26.99,27,12985,0
2016-06-22,20:35:00,27,27.035,27,27.03,29472,0
2016-06-22,20:40:00,27.025,27.04,27,27,26353,0
2016-06-22,20:45:00,27,27.005,26.98,26.98,9519,0
