Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-26,15:50:00,2.0072,2.0072,2.0072,2.0072,200,0
2016-05-26,15:55:00,2.01,2.01,2.01,2.01,600,0
2016-05-26,16:00:00,2,2.01,2,2.01,600,0
2016-05-26,16:05:00,2.01,2.01,2.01,2.01,400,0
2016-05-26,16:10:00,2.02,2.0358,2.02,2.03,900,0
2016-05-26,16:15:00,2.03,2.03,2.03,2.03,300,0
2016-05-26,16:20:00,2.03,2.03,2.03,2.03,300,0
2016-05-26,16:25:00,2.03,2.03,2.03,2.03,400,0
2016-05-26,16:30:00,2.03,2.03,2.03,2.03,300,0
2016-05-26,16:35:00,2.03,2.03,2.03,2.03,100,0
2016-05-26,16:40:00,2.02,2.024,2.02,2.02,3700,0
2016-05-26,16:45:00,2.04,2.04,2.04,2.04,600,0
2016-05-26,16:50:00,2.04,2.04,2.03,2.03,300,0
2016-05-26,17:05:00,2.02,2.04,2.02,2.04,1100,0
2016-05-26,17:10:00,2.03,2.04,1.99,2.02,6500,0
2016-05-26,17:15:00,2.03,2.03,1.97,2.01,6400,0
2016-05-26,17:40:00,2.04,2.04,2.03,2.04,1900,0
2016-05-26,17:45:00,2.02,2.04,1.98,2.02,6900,0
2016-05-26,18:00:00,2.02,2.02,2.02,2.02,200,0
2016-05-26,18:05:00,2.02,2.02,2.02,2.02,100,0
2016-05-26,18:10:00,2.02,2.02,2.02,2.02,300,0
2016-05-26,18:15:00,2.02,2.03,2.02,2.03,300,0
2016-05-26,18:20:00,2.02,2.03,2.02,2.02,300,0
2016-05-26,18:25:00,2.02,2.02,2.02,2.02,200,0
2016-05-26,18:30:00,2.02,2.02,2.02,2.02,500,0
2016-05-26,18:35:00,2.02,2.03,1.91,2,9610,0
2016-05-26,18:40:00,1.99,1.99,1.99,1.99,300,0
2016-05-26,18:55:00,1.98,1.98,1.98,1.98,700,0
2016-05-26,19:00:00,1.99,1.99,1.99,1.99,100,0
2016-05-26,19:15:00,2.02,2.02,2.01,2.02,1008,0
2016-05-26,19:20:00,2.02,2.02,2.02,2.02,100,0
2016-05-26,19:25:00,2.03,2.04,2.03,2.035,1200,0
2016-05-26,19:30:00,2.03,2.03,2,2,4000,0
2016-05-26,19:35:00,2.023,2.023,1.98,1.98,4000,0
2016-05-26,19:50:00,2.01,2.01,2.01,2.01,700,0
2016-05-26,19:55:00,2.01,2.01,2.01,2.01,700,0
2016-05-26,20:00:00,2.01,2.01,2.01,2.01,400,0
2016-05-26,20:05:00,2.01,2.01,2.01,2.01,200,0
2016-05-26,20:10:00,2.01,2.01,2.01,2.01,300,0
2016-05-26,20:15:00,2.01,2.01,2.01,2.01,300,0
2016-05-26,20:20:00,2.01,2.01,2.01,2.01,500,0
2016-05-26,20:25:00,2.01,2.03,2.01,2.03,1300,0
2016-05-26,20:45:00,2.04,2.04,2.03,2.04,1200,0
2016-05-26,20:50:00,2.04,2.04,2.037,2.037,200,0
2016-05-26,20:55:00,2.04,2.04,2.04,2.04,600,0
2016-05-26,21:00:00,2.04,2.04,2.04,2.04,200,0
2016-05-26,21:05:00,2.0455,2.0455,2.0455,2.0455,100,0
2016-05-26,21:10:00,2.04,2.05,2.04,2.05,800,0
2016-05-26,21:15:00,2.04,2.04,2.04,2.04,300,0
2016-05-26,21:20:00,2.04,2.04,2.04,2.04,300,0
2016-05-26,21:25:00,2.04,2.04,2.04,2.04,300,0
2016-05-26,21:30:00,2.03,2.04,2.03,2.04,925,0
