Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,39.92,39.92,39.76,39.76,1648,0
2016-06-21,15:40:00,40.01,40.22,39.94,40.22,2297,0
2016-06-21,15:45:00,39.98,40.47,39.98,40.41,1900,0
2016-06-21,15:50:00,40.03,40.46,40.03,40.41,450,0
2016-06-21,15:55:00,40.145,40.155,40.145,40.155,200,0
2016-06-21,16:00:00,40.22,40.22,40.1,40.1,200,0
2016-06-21,16:05:00,40.04,40.07,39.88,40.03,500,0
2016-06-21,16:10:00,39.95,39.95,39.95,39.95,100,0
2016-06-21,16:25:00,39.94,39.94,39.68,39.72,300,0
2016-06-21,16:30:00,39.93,39.93,39.85,39.85,200,0
2016-06-21,16:35:00,39.78,39.78,39.77,39.77,300,0
2016-06-21,16:40:00,39.6655,39.6655,39.6655,39.6655,200,0
2016-06-21,16:45:00,39.52,39.57,39.52,39.57,500,0
2016-06-21,16:50:00,39.62,39.64,39.62,39.63,540,0
2016-06-21,16:55:00,39.535,39.61,39.4901,39.57,850,0
2016-06-21,17:00:00,39.56,39.57,39.56,39.57,300,0
2016-06-21,17:05:00,39.6,39.6,39.6,39.6,200,0
2016-06-21,17:20:00,39.65,39.66,39.64,39.64,400,0
2016-06-21,17:25:00,39.58,39.6,39.5,39.52,1600,0
2016-06-21,17:30:00,39.53,39.55,39.31,39.31,6700,0
2016-06-21,17:35:00,39.35,39.37,39.19,39.29,3700,0
2016-06-21,17:40:00,39.36,39.395,39.25,39.28,4300,0
2016-06-21,17:45:00,39.31,39.37,39.24,39.37,2080,0
2016-06-21,17:55:00,39.325,39.325,39.31,39.32,800,0
2016-06-21,18:00:00,39.4,39.43,39.4,39.43,300,0
2016-06-21,18:05:00,39.56,39.56,39.56,39.56,100,0
2016-06-21,18:15:00,39.49,39.5,39.46,39.49,1000,0
2016-06-21,18:20:00,39.49,39.54,39.46,39.54,700,0
2016-06-21,18:25:00,39.34,39.34,39.34,39.34,100,0
2016-06-21,18:30:00,39.455,39.5089,39.41,39.5089,500,0
2016-06-21,18:35:00,39.4,39.4,39.4,39.4,100,0
2016-06-21,18:40:00,39.455,39.455,39.455,39.455,100,0
2016-06-21,18:50:00,39.49,39.49,39.49,39.49,200,0
2016-06-21,19:00:00,39.455,39.455,39.44,39.44,300,0
2016-06-21,19:05:00,39.43,39.44,39.33,39.44,600,0
2016-06-21,19:10:00,39.36,39.418,39.29,39.29,550,0
2016-06-21,19:15:00,39.42,39.56,39.42,39.56,1538,0
2016-06-21,19:20:00,39.505,39.505,39.47,39.47,560,0
2016-06-21,19:25:00,39.47,39.47,39.47,39.47,200,0
2016-06-21,19:35:00,39.32,39.32,39.32,39.32,100,0
2016-06-21,19:40:00,39.38,39.48,39.38,39.44,1400,0
2016-06-21,19:50:00,39.66,39.66,39.66,39.66,100,0
2016-06-21,19:55:00,39.62,39.62,39.62,39.62,100,0
2016-06-21,20:00:00,39.62,39.73,39.62,39.685,1000,0
2016-06-21,20:05:00,39.66,39.66,39.5,39.645,4100,0
2016-06-21,20:10:00,39.6,39.6,39.46,39.48,4700,0
2016-06-21,20:15:00,39.62,39.63,39.43,39.565,2800,0
2016-06-21,20:20:00,39.65,39.65,39.52,39.6,2500,0
2016-06-21,20:25:00,39.6,39.6,39.59,39.59,500,0
2016-06-21,20:30:00,39.63,39.79,39.605,39.695,1300,0
2016-06-21,20:35:00,39.79,39.87,39.77,39.77,1569,0
2016-06-21,20:40:00,39.89,39.89,39.89,39.89,100,0
2016-06-21,20:50:00,39.77,39.815,39.69,39.815,1000,0
2016-06-21,20:55:00,39.76,39.76,39.76,39.76,100,0
2016-06-21,21:00:00,39.745,39.745,39.745,39.745,100,0
2016-06-21,21:05:00,39.66,39.73,39.66,39.73,600,0
2016-06-21,21:10:00,39.68,39.73,39.63,39.725,1400,0
2016-06-21,21:15:00,39.745,39.745,39.62,39.64,500,0
2016-06-21,21:20:00,39.58,39.8099,39.58,39.8099,1200,0
2016-06-21,21:25:00,39.755,39.755,39.61,39.61,1500,0
2016-06-21,21:30:00,39.72,39.72,39.56,39.56,500,0
2016-06-21,21:35:00,39.56,39.62,39.5,39.54,2400,0
2016-06-21,21:40:00,39.56,39.71,39.55,39.68,3600,0
2016-06-21,21:45:00,39.57,39.57,39.46,39.46,1000,0
2016-06-21,21:50:00,39.45,39.585,39.45,39.585,2640,0
2016-06-21,21:55:00,39.57,39.615,39.44,39.45,5210,0
2016-06-21,22:00:00,39.52,39.52,39.43,39.45,15655,0
2016-06-22,15:35:00,39.39,39.39,39.39,39.39,663,0
2016-06-22,15:45:00,39.73,39.77,39.73,39.77,300,0
2016-06-22,16:00:00,39.38,39.38,39.38,39.38,200,0
2016-06-22,16:05:00,39.38,39.38,39.38,39.38,100,0
2016-06-22,16:10:00,39.25,39.25,39.14,39.14,450,0
2016-06-22,16:15:00,39.09,39.1,39.01,39.01,400,0
2016-06-22,16:20:00,39.16,39.16,39.16,39.16,100,0
2016-06-22,16:25:00,39.12,39.19,39.1044,39.1888,1391,0
2016-06-22,16:30:00,39.12,39.24,39.12,39.24,800,0
2016-06-22,16:35:00,39.25,39.29,39.18,39.29,550,0
2016-06-22,16:40:00,39.33,39.43,39.33,39.43,700,0
2016-06-22,16:45:00,39.45,39.51,39.37,39.45,2797,0
2016-06-22,16:50:00,39.49,39.59,39.405,39.59,3200,0
2016-06-22,16:55:00,39.6,39.725,39.58,39.6,2100,0
2016-06-22,17:00:00,39.59,39.6,39.57,39.6,300,0
2016-06-22,17:05:00,39.6,39.78,39.6,39.78,900,0
2016-06-22,17:10:00,39.735,39.785,39.735,39.785,200,0
2016-06-22,17:15:00,39.75,39.785,39.72,39.77,600,0
2016-06-22,17:20:00,39.72,39.72,39.53,39.59,3700,0
2016-06-22,17:25:00,39.6,39.68,39.6,39.6702,800,0
2016-06-22,17:30:00,39.7,39.795,39.66,39.74,700,0
2016-06-22,17:35:00,39.71,39.74,39.56,39.625,1000,0
2016-06-22,17:40:00,39.6,39.68,39.58,39.68,1200,0
2016-06-22,17:45:00,39.63,39.68,39.6,39.64,1300,0
2016-06-22,17:50:00,39.64,39.74,39.64,39.74,300,0
2016-06-22,17:55:00,39.68,39.79,39.68,39.77,300,0
2016-06-22,18:00:00,39.75,39.795,39.68,39.71,700,0
2016-06-22,18:05:00,39.74,39.785,39.6,39.6,1400,0
2016-06-22,18:10:00,39.665,39.685,39.665,39.685,300,0
2016-06-22,18:15:00,39.72,39.76,39.72,39.76,200,0
2016-06-22,18:20:00,39.73,39.73,39.6,39.6,600,0
2016-06-22,18:25:00,39.56,39.56,39.49,39.49,300,0
2016-06-22,18:30:00,39.34,39.4699,39.29,39.38,1100,0
2016-06-22,18:35:00,39.41,39.47,39.385,39.47,400,0
2016-06-22,18:40:00,39.5,39.555,39.46,39.46,300,0
2016-06-22,18:45:00,39.555,39.555,39.46,39.4799,400,0
2016-06-22,18:50:00,39.475,39.525,39.4475,39.525,700,0
2016-06-22,18:55:00,39.56,39.56,39.56,39.56,100,0
2016-06-22,19:00:00,39.6,39.6,39.45,39.58,400,0
2016-06-22,19:05:00,39.575,39.575,39.55,39.55,400,0
2016-06-22,19:10:00,39.565,39.57,39.46,39.46,600,0
2016-06-22,19:15:00,39.44,39.44,39.3,39.3,500,0
2016-06-22,19:20:00,39.415,39.415,39.37,39.37,200,0
2016-06-22,19:25:00,39.37,39.38,39.3,39.32,800,0
2016-06-22,19:30:00,39.31,39.365,39.29,39.365,400,0
2016-06-22,19:35:00,39.335,39.41,39.235,39.235,600,0
2016-06-22,19:40:00,39.2,39.3,39.19,39.27,600,0
2016-06-22,19:45:00,39.345,39.345,39.21,39.24,2796,0
2016-06-22,19:50:00,39.345,39.345,39.2,39.2,600,0
2016-06-22,19:55:00,39.315,39.315,39.2,39.2,300,0
2016-06-22,20:00:00,39.3,39.305,39.21,39.305,300,0
2016-06-22,20:05:00,39.29,39.31,39.29,39.31,300,0
2016-06-22,20:10:00,39.34,39.37,39.285,39.285,700,0
2016-06-22,20:15:00,39.24,39.28,39.13,39.19,1000,0
2016-06-22,20:20:00,39.21,39.225,39.11,39.11,1300,0
2016-06-22,20:25:00,39.11,39.1554,39.07,39.1554,338,0
2016-06-22,20:30:00,39.215,39.215,39.0201,39.165,1100,0
2016-06-22,20:35:00,39.17,39.225,39.165,39.225,400,0
2016-06-22,20:40:00,39.145,39.215,39.11,39.12,700,0
2016-06-22,20:45:00,39.225,39.225,39.1,39.1,800,0
2016-06-22,20:50:00,39.07,39.07,39.06,39.06,200,0
2016-06-22,20:55:00,39.06,39.13,39.06,39.13,500,0
2016-06-22,21:00:00,39.245,39.245,39.185,39.185,300,0
2016-06-22,21:05:00,39.225,39.225,39.15,39.16,400,0
2016-06-22,21:10:00,39.18,39.23,39.06,39.06,1400,0
2016-06-22,21:15:00,39.15,39.21,39.11,39.205,900,0
2016-06-22,21:20:00,39.11,39.21,39.11,39.12,400,0
2016-06-22,21:25:00,39.18,39.18,39.1,39.1,1425,0
2016-06-22,21:30:00,39.09,39.1,39.05,39.06,900,0
2016-06-22,21:35:00,39.05,39.08,39,39.08,700,0
2016-06-22,21:40:00,39.06,39.08,39.055,39.065,1102,0
2016-06-22,21:45:00,39.07,39.17,39.07,39.14,1400,0
2016-06-22,21:50:00,39.09,39.115,39,39.025,2917,0
2016-06-22,21:55:00,39,39,38.89,38.995,2405,0
2016-06-22,22:00:00,38.96,39,38.91,39,4801,0
2016-06-23,15:35:00,39.18,39.18,39.18,39.18,824,0
2016-06-23,15:40:00,39.2,39.2,39.2,39.2,100,0
2016-06-23,15:45:00,39.34,39.34,39.34,39.34,100,0
2016-06-23,15:50:00,39.32,39.32,39.1,39.1,300,0
2016-06-23,15:55:00,39.09,39.2,39.04,39.07,1477,0
2016-06-23,16:00:00,39.07,39.17,39.07,39.07,300,0
2016-06-23,16:05:00,39.17,39.38,39.17,39.38,1900,0
2016-06-23,16:10:00,39.46,39.46,39.39,39.39,1000,0
2016-06-23,16:15:00,39.4,39.4,39.39,39.39,600,0
2016-06-23,16:20:00,39.46,39.62,39.07,39.12,10934,0
2016-06-23,16:25:00,39.11,39.225,39.04,39.07,4295,0
2016-06-23,16:30:00,39.22,39.26,39.12,39.12,600,0
2016-06-23,16:35:00,39.24,39.24,39.06,39.12,2000,0
