Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-31,15:35:00,4.12,4.295,4.12,4.295,200,0
2016-03-31,16:15:00,4.214,4.214,4.214,4.214,2299,0
2016-03-31,17:15:00,4.23,4.2827,4.22,4.2486,750,0
2016-03-31,17:20:00,4.275,4.275,4.143,4.143,492,0
2016-03-31,17:55:00,4.4,4.4,4.4,4.4,1000,0
2016-03-31,19:15:00,4.206,4.206,4.2,4.2,2300,0
2016-03-31,21:05:00,4.401,4.401,4.401,4.401,968,0
2016-03-31,21:10:00,4.09,4.093,3.9549,3.9549,3110,0
2016-03-31,21:45:00,4.1543,4.1543,4.1543,4.1543,200,0
2016-03-31,21:50:00,4.208,4.208,4.208,4.208,200,0
2016-03-31,21:55:00,4.082,4.082,4.082,4.082,200,0
2016-03-31,22:00:00,4.06,4.24,3.95,4.24,1208,0
2016-04-01,15:35:00,4.27,4.27,4.27,4.27,800,0
2016-04-01,16:45:00,3.9555,3.9555,3.9555,3.9555,1000,0
2016-04-01,16:55:00,3.9683,3.9683,3.9683,3.9683,300,0
2016-04-01,17:15:00,4.35,4.35,4.35,4.35,100,0
2016-04-01,17:55:00,4.09,4.09,4.09,4.09,125,0
2016-04-01,19:35:00,4.4399,4.4399,4.4399,4.4399,240,0
2016-04-01,19:40:00,4.3189,4.3189,4.3189,4.3189,100,0
2016-04-01,20:15:00,4.35,4.35,4.336,4.336,200,0
2016-04-01,20:40:00,4.17,4.17,4.15,4.15,1300,0
2016-04-01,21:30:00,4.1059,4.1059,4.1059,4.1059,1000,0
2016-04-01,21:35:00,4.19,4.19,4.19,4.19,730,0
2016-04-01,22:00:00,4.1,4.1598,4.02,4.02,1860,0
2016-04-04,15:35:00,4.28,4.28,4.28,4.28,2023,0
2016-04-04,16:00:00,4.13,4.13,4.1,4.1,1041,0
2016-04-04,16:05:00,4.1,4.1,4.1,4.1,1500,0
2016-04-04,16:15:00,4.086,4.086,4.086,4.086,100,0
2016-04-04,17:05:00,4.08,4.09,4.08,4.0885,2200,0
2016-04-04,17:10:00,4.0101,4.0101,4.0101,4.0101,200,0
2016-04-04,17:15:00,4.04,4.04,4.02,4.02,1000,0
2016-04-04,17:30:00,4.03,4.03,4.0001,4.0001,2161,0
2016-04-04,17:55:00,4,4,3.95,3.95,2398,0
2016-04-04,18:25:00,3.97,4,3.97,4,1100,0
2016-04-04,18:55:00,4,4.0284,4,4.0284,2140,0
2016-04-04,20:00:00,4,4,4,4,100,0
2016-04-04,21:50:00,3.98,3.981,3.98,3.981,1646,0
2016-04-04,21:55:00,3.99,4,3.99,3.9999,700,0
2016-04-04,22:00:00,4,4,4,4,665,0
2016-04-05,16:25:00,4.01,4.01,3.9845,3.9845,620,0
2016-04-05,16:35:00,4.2499,4.2499,4.2499,4.2499,200,0
2016-04-05,16:50:00,4.1799,4.1799,4.1799,4.1799,100,0
2016-04-05,19:20:00,3.98,3.98,3.98,3.98,100,0
2016-04-05,20:20:00,4.0077,4.0077,4.0077,4.0077,1000,0
2016-04-05,20:50:00,4,4,4,4,100,0
2016-04-05,20:55:00,4.01,4.01,4.01,4.01,200,0
2016-04-05,21:30:00,3.9801,3.9801,3.9801,3.9801,200,0
2016-04-05,21:40:00,3.98,3.99,3.95,3.95,2120,0
2016-04-05,21:45:00,3.88,4.0199,3.86,4.0199,2300,0
2016-04-05,22:00:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,15:35:00,3.88,3.88,3.88,3.88,150,0
2016-04-06,15:55:00,4.17,4.1899,4.17,4.1899,200,0
2016-04-06,16:05:00,3.9001,3.9001,3.9001,3.9001,200,0
2016-04-06,17:10:00,4.1152,4.1152,4.1152,4.1152,325,0
2016-04-06,17:40:00,4.1399,4.1399,4.1399,4.1399,500,0
2016-04-06,19:15:00,4.05,4.06,4.05,4.05,700,0
2016-04-06,19:20:00,3.92,3.92,3.92,3.92,100,0
2016-04-06,19:25:00,3.9,3.9,3.9,3.9,300,0
2016-04-06,19:35:00,3.9,3.9,3.9,3.9,100,0
2016-04-06,19:40:00,3.9,3.9,3.9,3.9,100,0
2016-04-06,19:45:00,3.9,3.9,3.9,3.9,100,0
2016-04-06,19:55:00,3.9,3.9,3.9,3.9,100,0
2016-04-06,20:00:00,3.9,3.9,3.9,3.9,100,0
2016-04-06,20:15:00,3.9,3.9,3.9,3.9,100,0
2016-04-06,20:25:00,4.0099,4.0099,3.85,3.85,500,0
2016-04-06,20:30:00,3.85,3.935,3.85,3.935,500,0
2016-04-06,20:35:00,3.86,3.86,3.86,3.86,100,0
2016-04-06,20:40:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,20:50:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,20:55:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,21:00:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,21:05:00,3.86,3.86,3.86,3.86,100,0
2016-04-06,21:10:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,21:15:00,3.85,3.88,3.85,3.85,700,0
2016-04-06,21:20:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,21:25:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,21:30:00,3.85,3.85,3.85,3.85,200,0
2016-04-06,21:35:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,21:40:00,3.86,3.86,3.86,3.86,200,0
2016-04-06,21:45:00,3.85,3.85,3.85,3.85,100,0
2016-04-06,21:50:00,3.85,3.85,3.85,3.85,200,0
2016-04-06,21:55:00,3.85,3.85,3.85,3.85,500,0
2016-04-06,22:00:00,3.67,3.73,3.58,3.73,1045,0
2016-04-07,15:35:00,3.73,3.73,3.73,3.73,272,0
2016-04-07,16:10:00,3.6999,3.6999,3.6999,3.6999,1000,0
2016-04-07,16:25:00,3.65,3.67,3.58,3.67,760,0
2016-04-07,16:35:00,3.666,3.666,3.6,3.66,900,0
2016-04-07,16:40:00,3.61,3.61,3.61,3.61,8100,0
2016-04-07,16:45:00,3.6,3.67,3.6,3.65,1700,0
2016-04-07,17:15:00,3.6001,3.6001,3.6001,3.6001,100,0
2016-04-07,18:20:00,3.61,3.69,3.6,3.69,400,0
2016-04-07,19:05:00,3.6273,3.6273,3.6273,3.6273,500,0
2016-04-07,19:30:00,3.65,3.65,3.6499,3.6499,2200,0
2016-04-07,19:40:00,3.69,3.7,3.69,3.7,500,0
2016-04-07,19:55:00,3.6501,3.653,3.65,3.653,1900,0
2016-04-07,20:20:00,3.84,3.84,3.84,3.84,200,0
2016-04-07,20:40:00,3.6201,3.6201,3.6201,3.6201,300,0
2016-04-07,21:35:00,3.6673,3.6673,3.6673,3.6673,191,0
2016-04-07,21:55:00,3.62,3.62,3.62,3.62,138,0
2016-04-07,22:00:00,3.68,3.68,3.63,3.63,800,0
2016-04-08,15:35:00,3.75,3.76,3.74,3.76,9701,0
2016-04-08,16:20:00,3.81,3.844,3.81,3.81,3800,0
2016-04-08,17:05:00,4.06,4.06,4.06,4.06,100,0
2016-04-08,17:45:00,3.92,3.92,3.9,3.9,1350,0
2016-04-08,18:05:00,3.9998,3.9998,3.9998,3.9998,2000,0
2016-04-08,19:35:00,3.95,3.95,3.83,3.83,800,0
2016-04-08,19:40:00,3.81,3.81,3.81,3.81,1600,0
2016-04-08,20:05:00,3.73,3.73,3.72,3.72,200,0
2016-04-08,20:15:00,3.7001,3.7001,3.7,3.7001,6600,0
2016-04-08,20:30:00,3.74,3.74,3.69,3.7,3850,0
2016-04-08,20:35:00,3.69,3.7,3.69,3.7,2379,0
2016-04-08,20:50:00,3.7,3.7,3.7,3.7,100,0
2016-04-08,21:05:00,3.7001,3.7001,3.7,3.7,400,0
2016-04-08,21:10:00,3.8,3.8,3.79,3.8,1600,0
2016-04-08,21:45:00,3.8,3.8,3.7955,3.7955,200,0
2016-04-08,22:00:00,3.79,3.79,3.71,3.71,900,0
2016-04-11,15:35:00,3.75,3.75,3.75,3.75,219,0
2016-04-11,16:10:00,4.13,4.13,4.13,4.13,200,0
2016-04-11,17:15:00,4.12,4.12,4.1,4.12,700,0
2016-04-11,17:50:00,3.91,3.913,3.84,3.84,1960,0
2016-04-11,18:10:00,3.88,3.94,3.88,3.94,400,0
2016-04-11,18:15:00,3.94,4.0682,3.9203,4.0682,700,0
2016-04-11,19:10:00,4.02,4.02,4.02,4.02,800,0
2016-04-11,19:15:00,4.0084,4.0084,4.0084,4.0084,100,0
2016-04-11,19:45:00,4.0718,4.0718,4.0718,4.0718,104,0
2016-04-11,20:50:00,4.02,4.05,4.02,4.05,800,0
2016-04-11,21:20:00,4.05,4.05,4.05,4.05,309,0
2016-04-11,21:55:00,4.129,4.13,4.129,4.13,200,0
2016-04-11,22:00:00,3.98,3.99,3.97,3.97,486,0
2016-04-12,15:35:00,3.98,3.98,3.98,3.98,1315,0
2016-04-12,20:25:00,4.1825,4.25,4.1825,4.23,1158,0
2016-04-12,20:35:00,4.25,4.28,4.15,4.25,2150,0
2016-04-12,20:40:00,4.29,4.3,4.29,4.3,300,0
2016-04-12,20:45:00,4.4,4.4,4.4,4.4,1300,0
2016-04-12,20:50:00,4.4,4.4,4.4,4.4,100,0
2016-04-12,20:55:00,4.5625,4.5625,4.5625,4.5625,500,0
2016-04-12,21:00:00,4.45,4.45,4.4,4.4,1500,0
2016-04-12,21:05:00,4.4765,4.4765,4.4,4.4,1100,0
2016-04-12,21:10:00,4.4,4.4,4.4,4.4,100,0
2016-04-12,21:15:00,4.41,4.41,4.4001,4.4001,1000,0
2016-04-12,21:20:00,4.47,4.47,4.47,4.47,100,0
2016-04-12,21:25:00,4.47,4.47,4.47,4.47,100,0
2016-04-12,21:40:00,4.45,4.45,4.45,4.45,200,0
2016-04-12,21:45:00,4.4705,4.48,4.4705,4.48,200,0
2016-04-12,21:50:00,4.4501,4.4501,4.45,4.45,1269,0
2016-04-13,15:35:00,4.55,4.6,4.55,4.6,2000,0
2016-04-13,15:55:00,4.6,4.61,4.6,4.6,1600,0
2016-04-13,16:35:00,4.7932,4.7932,4.7932,4.7932,2000,0
2016-04-13,16:40:00,4.89,4.89,4.89,4.89,100,0
2016-04-13,16:45:00,4.7232,4.7232,4.7232,4.7232,200,0
2016-04-13,17:10:00,4.85,4.85,4.85,4.85,200,0
2016-04-13,17:25:00,4.7815,4.7815,4.75,4.75,2500,0
2016-04-13,17:40:00,4.75,4.75,4.75,4.75,400,0
2016-04-13,17:55:00,4.77,4.77,4.75,4.75,210,0
2016-04-13,19:35:00,4.6043,4.6043,4.4096,4.4096,250,0
2016-04-13,20:35:00,4.5,4.52,4.35,4.35,7284,0
2016-04-13,21:00:00,4.5,4.5,4.5,4.5,100,0
2016-04-13,21:35:00,4.35,4.35,4.35,4.35,100,0
2016-04-13,21:40:00,4.3672,4.3672,4.3672,4.3672,400,0
2016-04-13,21:55:00,4.35,4.35,4.35,4.35,800,0
2016-04-14,15:35:00,4.47,4.47,4.47,4.47,400,0
2016-04-14,15:45:00,4.4877,4.4877,4.4877,4.4877,360,0
2016-04-14,16:05:00,4.9199,4.9199,4.9199,4.9199,300,0
