Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,86.44,86.93,86.44,86.75,5085,0
2016-06-22,15:40:00,86.735,86.735,86.43,86.57,5814,0
2016-06-22,15:45:00,86.51,86.62,86.31,86.31,5113,0
2016-06-22,15:50:00,86.31,86.31,86.16,86.19,5800,0
2016-06-22,15:55:00,86.21,86.35,86.2,86.3073,2349,0
2016-06-22,16:00:00,86.28,86.3,86.11,86.21,10602,0
2016-06-22,16:05:00,86.23,86.35,86.21,86.3,6095,0
2016-06-22,16:10:00,86.34,86.46,86.31,86.4,11106,0
2016-06-22,16:15:00,86.37,86.4,86.3,86.32,7400,0
2016-06-22,16:20:00,86.34,86.44,86.3,86.44,6306,0
2016-06-22,16:25:00,86.43,86.51,86.38,86.51,6741,0
2016-06-22,16:30:00,86.51,86.68,86.5,86.66,2700,0
2016-06-22,16:35:00,86.62,86.695,86.6,86.64,9782,0
2016-06-22,16:40:00,86.62,86.63,86.43,86.5,9300,0
2016-06-22,16:45:00,86.47,86.62,86.47,86.59,3600,0
2016-06-22,16:50:00,86.575,86.66,86.55,86.55,6100,0
2016-06-22,16:55:00,86.58,86.6075,86.52,86.53,3000,0
2016-06-22,17:00:00,86.55,86.55,86.44,86.5,8569,0
2016-06-22,17:05:00,86.49,86.5812,86.49,86.56,2323,0
2016-06-22,17:10:00,86.535,86.61,86.535,86.54,2710,0
2016-06-22,17:15:00,86.54,86.57,86.49,86.49,7900,0
2016-06-22,17:20:00,86.48,86.72,86.48,86.72,3400,0
2016-06-22,17:25:00,86.75,86.86,86.71,86.835,2700,0
2016-06-22,17:30:00,86.86,86.88,86.79,86.83,4000,0
2016-06-22,17:35:00,86.76,86.76,86.44,86.48,3225,0
2016-06-22,17:40:00,86.49,86.52,86.47,86.47,1600,0
2016-06-22,17:45:00,86.45,86.52,86.42,86.47,1600,0
2016-06-22,17:50:00,86.5,86.54,86.43,86.43,2200,0
2016-06-22,17:55:00,86.46,86.49,86.42,86.45,4300,0
2016-06-22,18:00:00,86.43,86.43,86.35,86.35,3000,0
2016-06-22,18:05:00,86.37,86.39,86.37,86.38,647,0
2016-06-22,18:10:00,86.43,86.46,86.42,86.43,700,0
2016-06-22,18:15:00,86.53,86.53,86.46,86.48,700,0
2016-06-22,18:20:00,86.44,86.46,86.34,86.405,3100,0
2016-06-22,18:25:00,86.4,86.4,86.2,86.225,6800,0
2016-06-22,18:30:00,86.25,86.35,86.2,86.35,5040,0
2016-06-22,18:35:00,86.3,86.31,86.265,86.29,3700,0
2016-06-22,18:40:00,86.29,86.3,86.275,86.275,2800,0
2016-06-22,18:45:00,86.26,86.38,86.26,86.38,5654,0
2016-06-22,18:50:00,86.35,86.35,86.24,86.34,2700,0
2016-06-22,18:55:00,86.36,86.36,86.32,86.32,2035,0
2016-06-22,19:00:00,86.32,86.35,86.31,86.31,400,0
2016-06-22,19:05:00,86.3,86.3,86.22,86.24,1300,0
2016-06-22,19:10:00,86.225,86.225,86.09,86.09,4600,0
2016-06-22,19:15:00,86.07,86.1,86.02,86.07,9631,0
2016-06-22,19:20:00,86.06,86.085,86.01,86.05,3800,0
2016-06-22,19:25:00,86.05,86.07,85.99,85.99,900,0
2016-06-22,19:30:00,85.975,86.05,85.975,86.035,1000,0
