Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,11.37,11.37,11.17,11.17,22824,0
2016-06-21,15:40:00,11.17,11.17,11.01,11.05,10903,0
2016-06-21,15:45:00,11.06,11.07,11,11.0699,6474,0
2016-06-21,15:50:00,11.03,11.178,11.03,11.06,5267,0
2016-06-21,15:55:00,11.095,11.1,11.06,11.06,3850,0
2016-06-21,16:00:00,11.08,11.08,10.98,11.009,9639,0
2016-06-21,16:05:00,11.0177,11.0225,10.9901,11.0225,2300,0
2016-06-21,16:10:00,11,11.07,10.85,10.8501,36786,0
2016-06-21,16:15:00,10.8938,10.93,10.8938,10.92,2380,0
2016-06-21,16:20:00,10.94,10.98,10.91,10.9101,10695,0
2016-06-21,16:25:00,10.93,10.93,10.894,10.894,8500,0
2016-06-21,16:30:00,10.8766,10.95,10.87,10.89,5054,0
2016-06-21,16:35:00,10.886,10.9699,10.8701,10.9699,4300,0
2016-06-21,16:40:00,10.9699,10.9699,10.9699,10.9699,310,0
2016-06-21,16:45:00,10.94,10.96,10.94,10.96,2090,0
2016-06-21,16:50:00,10.9683,10.98,10.96,10.97,9074,0
2016-06-21,16:55:00,10.965,11.02,10.96,11.02,6937,0
2016-06-21,17:00:00,11.02,11.02,11,11.01,1305,0
2016-06-21,17:05:00,11.01,11.01,11.01,11.01,100,0
2016-06-21,17:10:00,11.01,11.03,11.01,11.02,3150,0
2016-06-21,17:15:00,11.05,11.05,11.0305,11.05,960,0
2016-06-21,17:20:00,11.0643,11.09,11.06,11.06,1400,0
2016-06-21,17:25:00,11.09,11.09,11.07,11.07,770,0
2016-06-21,17:30:00,11.06,11.06,11.04,11.04,600,0
2016-06-21,17:35:00,11.04,11.04,11.02,11.03,1600,0
2016-06-21,17:40:00,11.03,11.04,11,11.04,3502,0
2016-06-21,17:45:00,11.04,11.047,11.02,11.047,623,0
2016-06-21,17:50:00,11.03,11.05,11.02,11.05,1550,0
2016-06-21,17:55:00,11.05,11.08,11,11.01,6990,0
