Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,60.2,60.2,59.81,59.81,6809,0
2016-06-22,15:40:00,59.89,60.11,59.89,60.07,3200,0
2016-06-22,15:45:00,60.09,60.2,59.849,59.95,4100,0
2016-06-22,15:50:00,59.99,60.13,59.9,60.13,1800,0
2016-06-22,15:55:00,60.14,60.2,60.05,60.0801,4400,0
2016-06-22,16:00:00,60.16,60.18,59.98,60,3606,0
2016-06-22,16:05:00,59.96,59.97,59.84,59.95,2000,0
2016-06-22,16:10:00,59.88,59.96,59.87,59.94,2000,0
2016-06-22,16:15:00,59.94,60,59.83,60,12400,0
2016-06-22,16:20:00,59.9457,60.15,59.9457,60.15,750,0
2016-06-22,16:25:00,60.18,60.24,60.17,60.21,8715,0
2016-06-22,16:30:00,60.21,60.22,60.13,60.13,4589,0
2016-06-22,16:35:00,60.17,60.23,60.13,60.23,12398,0
2016-06-22,16:40:00,60.2195,60.36,60.2,60.35,9500,0
2016-06-22,16:45:00,60.37,60.54,60.37,60.5,5500,0
2016-06-22,16:50:00,60.5,60.61,60.4934,60.6,6665,0
2016-06-22,16:55:00,60.62,60.78,60.62,60.78,6250,0
2016-06-22,17:00:00,60.77,60.84,60.77,60.79,3870,0
2016-06-22,17:05:00,60.82,60.9,60.74,60.9,7959,0
2016-06-22,17:10:00,60.85,60.88,60.78,60.78,11867,0
2016-06-22,17:15:00,60.7601,60.77,60.7,60.71,2950,0
2016-06-22,17:20:00,60.7,60.85,60.7,60.85,3200,0
2016-06-22,17:25:00,60.85,60.88,60.82,60.82,2500,0
2016-06-22,17:30:00,60.8,60.86,60.79,60.86,1150,0
2016-06-22,17:35:00,60.82,60.82,60.57,60.57,2600,0
2016-06-22,17:40:00,60.62,60.76,60.61,60.72,1400,0
2016-06-22,17:45:00,60.75,60.75,60.69,60.725,2883,0
2016-06-22,17:50:00,60.72,60.76,60.72,60.735,900,0
2016-06-22,17:55:00,60.75,60.78,60.73,60.78,900,0
2016-06-22,18:00:00,60.76,60.86,60.76,60.8,4900,0
2016-06-22,18:05:00,60.77,60.82,60.77,60.82,1100,0
2016-06-22,18:10:00,60.78,60.79,60.58,60.6,3200,0
2016-06-22,18:15:00,60.65,60.7,60.59,60.695,2600,0
2016-06-22,18:20:00,60.67,60.72,60.67,60.68,600,0
2016-06-22,18:25:00,60.63,60.63,60.44,60.44,2700,0
2016-06-22,18:30:00,60.37,60.44,60.34,60.44,3900,0
2016-06-22,18:35:00,60.435,60.55,60.435,60.55,800,0
2016-06-22,18:40:00,60.51,60.51,60.44,60.45,3628,0
2016-06-22,18:45:00,60.45,60.49,60.39,60.4189,5137,0
2016-06-22,18:50:00,60.38,60.41,60.34,60.395,2200,0
2016-06-22,18:55:00,60.42,60.49,60.42,60.49,1500,0
2016-06-22,19:00:00,60.45,60.53,60.4,60.53,4200,0
2016-06-22,19:05:00,60.49,60.49,60.37,60.39,2768,0
2016-06-22,19:10:00,60.45,60.45,60.23,60.27,4400,0
2016-06-22,19:15:00,60.25,60.32,60.22,60.28,1500,0
2016-06-22,19:20:00,60.32,60.32,60.2,60.21,4871,0
2016-06-22,19:25:00,60.21,60.21,60.13,60.13,3000,0
2016-06-22,19:30:00,60.13,60.16,60.06,60.12,3436,0
2016-06-22,19:35:00,60.1,60.135,60.05,60.135,3160,0
2016-06-22,19:40:00,60.1,60.1,60.05,60.07,1800,0
2016-06-22,19:45:00,60.07,60.09,60.06,60.06,3100,0
2016-06-22,19:50:00,60.09,60.1,60.07,60.1,3200,0
2016-06-22,19:55:00,60.1025,60.15,60.09,60.15,4700,0
2016-06-22,20:00:00,60.15,60.2,60.13,60.15,3680,0
2016-06-22,20:05:00,60.16,60.16,60.11,60.16,1710,0
2016-06-22,20:10:00,60.14,60.175,60.12,60.12,3022,0
2016-06-22,20:15:00,60.13,60.16,60.08,60.09,4100,0
2016-06-22,20:20:00,60.1,60.14,60.1,60.14,1000,0
2016-06-22,20:25:00,60.11,60.11,60.03,60.08,5098,0
2016-06-22,20:30:00,60.07,60.11,60.07,60.11,500,0
2016-06-22,20:35:00,60.08,60.11,60.0601,60.0601,2087,0
2016-06-22,20:40:00,60.06,60.08,60.03,60.08,2100,0
2016-06-22,20:45:00,60.11,60.13,60.1,60.12,1100,0
2016-06-22,20:50:00,60.11,60.13,59.96,60,14586,0
2016-06-22,20:55:00,59.99,60.05,59.99,60,8358,0
2016-06-22,21:00:00,60,60.03,59.9962,60.02,6308,0
2016-06-22,21:05:00,60.1,60.18,60.1,60.13,3790,0
2016-06-22,21:10:00,60.12,60.13,60.03,60.03,2425,0
2016-06-22,21:15:00,60.035,60.06,59.99,60.02,6299,0
2016-06-22,21:20:00,59.98,60.07,59.98,60.03,3200,0
2016-06-22,21:25:00,59.99,60,59.97,59.98,2700,0
2016-06-22,21:30:00,59.98,60.02,59.97,59.97,1900,0
2016-06-22,21:35:00,59.94,59.94,59.88,59.89,5985,0
2016-06-22,21:40:00,59.9,59.92,59.8678,59.9,6029,0
2016-06-22,21:45:00,59.93,59.97,59.86,59.88,4180,0
2016-06-22,21:50:00,59.9,59.91,59.82,59.84,5762,0
2016-06-22,21:55:00,59.92,59.92,59.76,59.8,10632,0
2016-06-22,22:00:00,59.82,59.91,59.76,59.86,27525,0
2016-06-23,15:35:00,60.55,60.55,60.12,60.12,8642,0
2016-06-23,15:40:00,59.96,60.29,59.96,60.03,4500,0
2016-06-23,15:45:00,59.978,60.1802,59.95,60.18,5865,0
2016-06-23,15:50:00,60.18,60.24,60.15,60.24,600,0
2016-06-23,15:55:00,60.22,60.3,60.09,60.16,5650,0
2016-06-23,16:00:00,60.23,60.3599,60.16,60.3599,1300,0
2016-06-23,16:05:00,60.39,60.43,60.3,60.36,4964,0
2016-06-23,16:10:00,60.46,60.46,60.09,60.33,7200,0
2016-06-23,16:15:00,60.33,60.462,60.33,60.43,3800,0
2016-06-23,16:20:00,60.39,60.465,60.36,60.39,5564,0
2016-06-23,16:25:00,60.37,60.45,60.335,60.39,4500,0
2016-06-23,16:30:00,60.41,60.42,60.36,60.36,2100,0
2016-06-23,16:35:00,60.32,60.345,60.19,60.25,4500,0
2016-06-23,16:40:00,60.31,60.32,60.27,60.27,900,0
2016-06-23,16:45:00,60.3,60.33,60.28,60.33,1200,0
2016-06-23,16:50:00,60.3,60.36,60.28,60.36,6500,0
2016-06-23,16:55:00,60.36,60.42,60.35,60.4,3800,0
2016-06-23,17:00:00,60.425,60.43,60.34,60.41,5808,0
2016-06-23,17:05:00,60.38,60.51,60.38,60.5,15520,0
2016-06-23,17:10:00,60.485,60.51,60.44,60.44,7744,0
