Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,48.395,49.087,48.395,48.791,151985,0
2016-06-22,15:40:00,48.771,49.058,48.741,48.87,68653,0
2016-06-22,15:45:00,48.88,48.978,48.593,48.721,74974,0
2016-06-22,15:50:00,48.702,48.731,48.593,48.692,52433,0
2016-06-22,15:55:00,48.692,48.751,48.613,48.623,52935,0
2016-06-22,16:00:00,48.642,48.672,48.346,48.351,73746,0
2016-06-22,16:05:00,48.346,48.534,48.316,48.435,53234,0
2016-06-22,16:10:00,48.435,48.573,48.425,48.534,106910,0
2016-06-22,16:15:00,48.553,48.553,48.435,48.494,78348,0
2016-06-22,16:20:00,48.504,48.583,48.445,48.445,47941,0
2016-06-22,16:25:00,48.454,48.494,48.375,48.38,99267,0
2016-06-22,16:30:00,48.38,48.484,48.188,48.484,78739,0
2016-06-22,16:35:00,48.454,48.534,48.306,48.524,55831,0
2016-06-22,16:40:00,48.509,48.573,48.351,48.351,48699,0
2016-06-22,16:45:00,48.356,48.445,48.312,48.395,37380,0
2016-06-22,16:50:00,48.4,48.534,48.395,48.499,45090,0
2016-06-22,16:55:00,48.499,48.692,48.499,48.662,64835,0
2016-06-22,17:00:00,48.662,48.692,48.593,48.623,33745,0
2016-06-22,17:05:00,48.623,48.692,48.623,48.682,27985,0
2016-06-22,17:10:00,48.672,48.672,48.583,48.603,25356,0
2016-06-22,17:15:00,48.613,48.692,48.593,48.642,41671,0
2016-06-22,17:20:00,48.642,48.692,48.573,48.652,31890,0
2016-06-22,17:25:00,48.662,48.682,48.593,48.613,23878,0
2016-06-22,17:30:00,48.605,48.662,48.593,48.662,17074,0
2016-06-22,17:35:00,48.652,48.652,48.415,48.415,36269,0
2016-06-22,17:40:00,48.415,48.494,48.38,48.454,30657,0
2016-06-22,17:45:00,48.454,48.514,48.405,48.514,39981,0
2016-06-22,17:50:00,48.514,48.578,48.464,48.563,30263,0
2016-06-22,17:55:00,48.563,48.583,48.509,48.573,37658,0
2016-06-22,18:00:00,48.573,48.682,48.57,48.682,34258,0
2016-06-22,18:05:00,48.672,48.682,48.583,48.589,30693,0
2016-06-22,18:10:00,48.592,48.593,48.494,48.504,18479,0
2016-06-22,18:15:00,48.504,48.563,48.464,48.514,69905,0
2016-06-22,18:20:00,48.524,48.573,48.435,48.445,33452,0
2016-06-22,18:25:00,48.445,48.459,48.168,48.187,51641,0
