Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-12,15:35:00,10.74,10.74,10.74,10.74,2259,0
2016-05-12,15:50:00,10.865,10.865,10.865,10.865,650,0
2016-05-12,16:00:00,10.98,10.98,10.98,10.98,100,0
2016-05-12,16:10:00,10.84,10.9899,10.84,10.92,1400,0
2016-05-12,16:25:00,10.85,10.92,10.85,10.9,400,0
2016-05-12,16:30:00,10.84,10.91,10.84,10.91,300,0
2016-05-12,16:35:00,10.91,10.91,10.91,10.91,200,0
2016-05-12,16:45:00,10.7899,10.7899,10.77,10.78,600,0
2016-05-12,16:50:00,10.87,10.87,10.87,10.87,200,0
2016-05-12,16:55:00,10.87,10.87,10.87,10.87,100,0
2016-05-12,17:00:00,10.78,10.7899,10.78,10.7899,700,0
2016-05-12,17:05:00,10.78,10.7999,10.78,10.79,300,0
2016-05-12,17:10:00,10.75,10.7592,10.7408,10.7592,1225,0
2016-05-12,17:15:00,10.82,10.82,10.8,10.8,200,0
2016-05-12,17:30:00,10.78,10.8,10.78,10.8,1400,0
2016-05-12,17:35:00,10.8,10.83,10.76,10.76,1600,0
2016-05-12,17:40:00,10.73,10.73,10.73,10.73,100,0
2016-05-12,18:35:00,10.7,10.7,10.68,10.68,300,0
2016-05-12,18:55:00,10.74,10.74,10.74,10.74,1900,0
2016-05-12,19:10:00,10.68,10.68,10.68,10.68,100,0
2016-05-12,19:20:00,10.67,10.67,10.67,10.67,100,0
2016-05-12,19:50:00,10.65,10.65,10.65,10.65,100,0
2016-05-12,20:05:00,10.65,10.7299,10.65,10.7299,1900,0
2016-05-12,20:35:00,10.65,10.65,10.65,10.65,100,0
2016-05-12,20:50:00,10.65,10.65,10.65,10.65,100,0
2016-05-12,20:55:00,10.71,10.71,10.65,10.6501,800,0
2016-05-12,21:00:00,10.71,10.71,10.71,10.71,400,0
2016-05-12,21:05:00,10.65,10.65,10.65,10.65,100,0
2016-05-12,21:15:00,10.71,10.71,10.61,10.61,1000,0
2016-05-12,21:20:00,10.61,10.61,10.39,10.39,5400,0
2016-05-12,21:25:00,10.3511,10.3511,10.35,10.35,800,0
2016-05-12,21:30:00,10.35,10.35,10.35,10.35,800,0
2016-05-12,21:35:00,10.35,10.4,10.31,10.4,7050,0
2016-05-12,21:40:00,10.32,10.46,10.3111,10.33,2400,0
2016-05-12,21:45:00,10.385,10.5,10.3201,10.5,2100,0
2016-05-12,21:50:00,10.4001,10.5,10.4,10.4256,1200,0
2016-05-12,21:55:00,10.5,10.5,10.36,10.36,3200,0
2016-05-12,22:00:00,10.33,10.41,10.25,10.29,3519,0
2016-05-13,15:35:00,10.35,10.35,10.35,10.35,164,0
2016-05-13,16:15:00,10.29,10.29,10.29,10.29,200,0
2016-05-13,16:30:00,10.38,10.3895,10.32,10.37,600,0
2016-05-13,16:35:00,10.33,10.33,10.33,10.33,100,0
2016-05-13,16:40:00,10.3199,10.3199,10.3,10.3,1700,0
2016-05-13,16:45:00,10.3,10.3,10.3,10.3,100,0
2016-05-13,16:50:00,10.32,10.33,10.32,10.33,200,0
2016-05-13,17:20:00,10.3651,10.3651,10.3651,10.3651,100,0
2016-05-13,17:25:00,10.37,10.37,10.37,10.37,100,0
2016-05-13,17:30:00,10.37,10.37,10.37,10.37,100,0
2016-05-13,17:55:00,10.39,10.39,10.39,10.39,100,0
2016-05-13,18:40:00,10.38,10.38,10.38,10.38,100,0
2016-05-13,18:45:00,10.39,10.39,10.39,10.39,100,0
2016-05-13,19:05:00,10.39,10.39,10.39,10.39,100,0
2016-05-13,20:40:00,10.38,10.38,10.38,10.38,100,0
2016-05-13,21:50:00,10.39,10.39,10.39,10.39,100,0
