Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,20.84,20.84,20.79,20.79,3731,0
2016-06-21,15:40:00,20.73,20.8,20.73,20.8,200,0
2016-06-21,15:55:00,20.76,20.76,20.69,20.74,900,0
2016-06-21,16:00:00,20.74,20.74,20.69,20.69,200,0
2016-06-21,16:05:00,20.65,20.66,20.56,20.63,800,0
2016-06-21,16:10:00,20.62,20.66,20.59,20.61,1600,0
2016-06-21,16:15:00,20.59,20.66,20.59,20.64,570,0
2016-06-21,16:20:00,20.63,20.63,20.61,20.62,600,0
2016-06-21,16:25:00,20.51,20.57,20.51,20.56,700,0
2016-06-21,16:30:00,20.59,20.59,20.56,20.58,600,0
2016-06-21,16:35:00,20.57,20.6,20.57,20.6,600,0
2016-06-21,16:40:00,20.61,20.61,20.54,20.54,900,0
2016-06-21,16:45:00,20.53,20.55,20.52,20.52,400,0
2016-06-21,16:50:00,20.5,20.5,20.48,20.48,700,0
2016-06-21,16:55:00,20.465,20.465,20.42,20.435,600,0
2016-06-21,17:00:00,20.45,20.47,20.44,20.44,1400,0
2016-06-21,17:05:00,20.44,20.5,20.43,20.5,1306,0
2016-06-21,17:10:00,20.52,20.52,20.52,20.52,1100,0
2016-06-21,17:15:00,20.47,20.47,20.42,20.46,1100,0
2016-06-21,17:20:00,20.47,20.57,20.47,20.54,9070,0
2016-06-21,17:25:00,20.54,20.55,20.49,20.49,1600,0
2016-06-21,17:30:00,20.49,20.53,20.49,20.53,1700,0
2016-06-21,17:35:00,20.51,20.51,20.43,20.43,1300,0
2016-06-21,17:40:00,20.42,20.43,20.4,20.42,1700,0
2016-06-21,17:45:00,20.43,20.47,20.43,20.44,2300,0
2016-06-21,17:50:00,20.43,20.44,20.43,20.44,600,0
2016-06-21,17:55:00,20.4,20.42,20.39,20.39,600,0
2016-06-21,18:00:00,20.399,20.49,20.399,20.49,2535,0
2016-06-21,18:05:00,20.475,20.5,20.475,20.5,1700,0
2016-06-21,18:10:00,20.5,20.5,20.43,20.45,1374,0
2016-06-21,18:15:00,20.4591,20.4591,20.4591,20.4591,200,0
2016-06-21,18:20:00,20.46,20.49,20.46,20.49,1800,0
2016-06-21,18:25:00,20.51,20.51,20.5,20.51,1061,0
2016-06-21,18:30:00,20.49,20.49,20.49,20.49,110,0
2016-06-21,18:35:00,20.495,20.5,20.495,20.5,200,0
2016-06-21,18:40:00,20.5,20.51,20.44,20.47,3525,0
