Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,13.1,13.24,13.1,13.24,530,0
2016-06-22,15:40:00,13.11,13.11,12.94,12.94,3300,0
2016-06-22,15:45:00,13.03,13.03,12.91,12.97,5000,0
2016-06-22,15:50:00,12.94,12.95,12.88,12.92,3700,0
2016-06-22,15:55:00,12.93,12.965,12.91,12.965,1800,0
2016-06-22,16:00:00,12.98,12.99,12.93,12.955,3500,0
2016-06-22,16:05:00,12.95,13.04,12.95,13.0048,5392,0
2016-06-22,16:10:00,12.98,13.01,12.97,13.0099,4400,0
2016-06-22,16:15:00,13,13.08,13,13.08,1200,0
2016-06-22,16:20:00,13.05,13.07,13,13,21775,0
2016-06-22,16:25:00,13.03,13.06,13.013,13.05,3063,0
2016-06-22,16:30:00,13.06,13.09,13.04,13.07,1800,0
2016-06-22,16:35:00,13.06,13.27,13.06,13.27,7200,0
2016-06-22,16:40:00,13.32,13.4,13.265,13.265,3900,0
2016-06-22,16:45:00,13.24,13.29,13.24,13.25,3500,0
2016-06-22,16:50:00,13.2,13.3499,13.2,13.3499,10803,0
2016-06-22,16:55:00,13.33,13.51,13.33,13.43,23400,0
2016-06-22,17:00:00,13.43,13.43,13.33,13.33,1500,0
2016-06-22,17:05:00,13.34,13.44,13.34,13.44,2300,0
2016-06-22,17:10:00,13.45,13.47,13.41,13.47,4900,0
2016-06-22,17:15:00,13.46,13.48,13.43,13.47,1600,0
2016-06-22,17:20:00,13.47,13.52,13.445,13.52,2100,0
2016-06-22,17:25:00,13.51,13.51,13.38,13.38,2700,0
2016-06-22,17:30:00,13.39,13.41,13.34,13.34,5353,0
2016-06-22,17:35:00,13.33,13.33,13.29,13.29,1600,0
2016-06-22,17:40:00,13.3,13.37,13.3,13.32,2000,0
2016-06-22,17:45:00,13.36,13.36,13.3,13.3,4200,0
2016-06-22,17:50:00,13.3,13.3,13.24,13.24,1600,0
2016-06-22,17:55:00,13.24,13.2598,13.19,13.19,2350,0
2016-06-22,18:00:00,13.21,13.25,13.2,13.2,3400,0
2016-06-22,18:05:00,13.205,13.22,13.17,13.18,2200,0
2016-06-22,18:10:00,13.1897,13.1897,13.15,13.15,2857,0
2016-06-22,18:15:00,13.16,13.19,13.16,13.19,4106,0
2016-06-22,18:20:00,13.19,13.19,13.15,13.15,3200,0
2016-06-22,18:25:00,13.15,13.15,13.14,13.145,4300,0
2016-06-22,18:30:00,13.145,13.17,13.14,13.14,7200,0
2016-06-22,18:35:00,13.16,13.18,13.16,13.17,1800,0
2016-06-22,18:40:00,13.17,13.17,13.16,13.16,1200,0
2016-06-22,18:45:00,13.15,13.15,13.15,13.15,1800,0
2016-06-22,18:50:00,13.15,13.16,13.15,13.16,3600,0
2016-06-22,18:55:00,13.16,13.16,13.13,13.13,6000,0
2016-06-22,19:00:00,13.14,13.15,13.09,13.09,19126,0
2016-06-22,19:05:00,13.07,13.08,13.04,13.04,600,0
2016-06-22,19:10:00,13.04,13.04,13.01,13.01,800,0
2016-06-22,19:15:00,12.99,13.045,12.99,13.045,3300,0
2016-06-22,19:20:00,13.05,13.05,12.9801,12.9801,1700,0
2016-06-22,19:25:00,12.98,13,12.97,12.975,3000,0
2016-06-22,19:30:00,12.97,12.97,12.89,12.94,3900,0
2016-06-22,19:35:00,12.95,12.95,12.93,12.93,2000,0
2016-06-22,19:40:00,12.93,12.97,12.93,12.97,2535,0
2016-06-22,19:45:00,12.97,12.99,12.97,12.97,1800,0
2016-06-22,19:50:00,12.96,12.98,12.96,12.98,3606,0
2016-06-22,19:55:00,12.99,13.08,12.99,13.08,500,0
2016-06-22,20:00:00,13.06,13.06,13.01,13.02,2200,0
2016-06-22,20:05:00,13,13,13,13,2400,0
2016-06-22,20:10:00,13,13.005,12.94,12.97,2200,0
2016-06-22,20:15:00,12.96,13,12.96,12.97,800,0
2016-06-22,20:20:00,12.96,12.98,12.96,12.97,2078,0
2016-06-22,20:25:00,12.96,12.97,12.95,12.96,1000,0
2016-06-22,20:30:00,12.95,12.97,12.94,12.95,2800,0
2016-06-22,20:35:00,12.94,12.94,12.93,12.93,700,0
2016-06-22,20:40:00,12.93,12.93,12.9175,12.92,3100,0
2016-06-22,20:45:00,12.93,12.935,12.92,12.935,1100,0
2016-06-22,20:50:00,12.93,12.935,12.91,12.915,4200,0
2016-06-22,20:55:00,12.91,12.91,12.8,12.865,19862,0
2016-06-22,21:00:00,12.87,12.92,12.87,12.91,3400,0
2016-06-22,21:05:00,12.91,12.945,12.91,12.92,3448,0
2016-06-22,21:10:00,12.91,12.92,12.89,12.9,3800,0
2016-06-22,21:15:00,12.91,12.93,12.88,12.9,7700,0
2016-06-22,21:20:00,12.9,12.9,12.9,12.9,1843,0
2016-06-22,21:25:00,12.9,12.9,12.8499,12.855,7683,0
2016-06-22,21:30:00,12.87,12.87,12.84,12.85,4416,0
2016-06-22,21:35:00,12.85,12.87,12.85,12.87,3600,0
2016-06-22,21:40:00,12.87,12.88,12.86,12.87,3400,0
2016-06-22,21:45:00,12.88,12.92,12.88,12.92,5100,0
2016-06-22,21:50:00,12.92,12.96,12.92,12.94,8175,0
2016-06-22,21:55:00,12.95,12.975,12.93,12.96,15693,0
2016-06-22,22:00:00,12.96,12.96,12.95,12.96,9146,0
2016-06-23,15:35:00,13.1,13.68,13.04,13.04,1184,0
2016-06-23,15:40:00,13.04,13.21,12.93,12.99,4935,0
2016-06-23,15:45:00,12.95,12.985,12.89,12.96,7075,0
2016-06-23,15:50:00,12.955,13.02,12.955,12.99,700,0
2016-06-23,15:55:00,13,13.11,13,13.02,2600,0
2016-06-23,16:00:00,13.05,13.1,13.05,13.1,400,0
2016-06-23,16:05:00,13.13,13.17,13.13,13.17,1100,0
2016-06-23,16:10:00,13.18,13.2,13.14,13.14,953,0
2016-06-23,16:15:00,13.14,13.2,13.14,13.15,1600,0
2016-06-23,16:20:00,13.14,13.15,13.14,13.15,1200,0
2016-06-23,16:25:00,13.18,13.23,13.18,13.195,1500,0
2016-06-23,16:30:00,13.19,13.2,13.18,13.2,900,0
2016-06-23,16:35:00,13.19,13.21,13.17,13.19,1654,0
2016-06-23,16:40:00,13.1801,13.1801,13.12,13.12,500,0
2016-06-23,16:45:00,13.12,13.14,13.12,13.14,1700,0
2016-06-23,16:50:00,13.14,13.14,13.14,13.14,100,0
2016-06-23,16:55:00,13.15,13.16,13.09,13.09,23000,0
2016-06-23,17:00:00,13.08,13.08,12.96,12.98,4800,0
2016-06-23,17:05:00,12.98,12.98,12.93,12.96,3416,0
2016-06-23,17:10:00,12.955,13.02,12.955,13.02,6600,0
2016-06-23,17:15:00,12.99,12.99,12.95,12.97,1900,0
2016-06-23,17:20:00,12.96,12.99,12.94,12.94,2900,0
2016-06-23,17:25:00,12.95,12.95,12.92,12.94,4331,0
2016-06-23,17:30:00,12.93,13,12.92,12.98,6000,0
2016-06-23,17:35:00,12.98,13,12.98,12.98,1000,0
2016-06-23,17:40:00,12.96,12.96,12.92,12.92,900,0
2016-06-23,17:45:00,12.92,12.96,12.92,12.94,700,0
2016-06-23,17:50:00,12.93,12.97,12.9,12.95,3617,0
2016-06-23,17:55:00,12.95,13.09,12.95,13.09,28300,0
2016-06-23,18:00:00,13.09,13.16,13.09,13.16,2100,0
2016-06-23,18:05:00,13.15,13.25,13.15,13.245,4950,0
2016-06-23,18:10:00,13.2417,13.3,13.22,13.24,12440,0
2016-06-23,18:15:00,13.245,13.245,13.1,13.17,9531,0
2016-06-23,18:20:00,13.2,13.2,13.18,13.19,26540,0
2016-06-23,18:25:00,13.17,13.17,13.12,13.17,3431,0
2016-06-23,18:30:00,13.16,13.18,13.16,13.18,700,0
2016-06-23,18:35:00,13.15,13.19,13.15,13.19,800,0
2016-06-23,18:40:00,13.21,13.29,13.21,13.29,2825,0
2016-06-23,18:45:00,13.31,13.37,13.31,13.33,32407,0
2016-06-23,18:50:00,13.32,13.35,13.25,13.26,12800,0
2016-06-23,18:55:00,13.25,13.26,13.22,13.25,3000,0
2016-06-23,19:00:00,13.245,13.26,13.23,13.25,1850,0
2016-06-23,19:05:00,13.28,13.34,13.28,13.3,2020,0
2016-06-23,19:10:00,13.28,13.29,13.24,13.29,2200,0
2016-06-23,19:15:00,13.26,13.27,13.25,13.27,3100,0
2016-06-23,19:20:00,13.26,13.34,13.26,13.34,600,0
2016-06-23,19:25:00,13.35,13.35,13.33,13.33,600,0
2016-06-23,19:30:00,13.35,13.35,13.33,13.35,1100,0
2016-06-23,19:35:00,13.35,13.36,13.34,13.35,4100,0
2016-06-23,19:40:00,13.34,13.34,13.31,13.34,1600,0
2016-06-23,19:45:00,13.34,13.355,13.31,13.355,1300,0
2016-06-23,19:50:00,13.35,13.36,13.35,13.36,1200,0
2016-06-23,19:55:00,13.35,13.35,13.35,13.35,751,0
2016-06-23,20:00:00,13.34,13.35,13.33,13.33,886,0
2016-06-23,20:05:00,13.31,13.32,13.31,13.32,600,0
2016-06-23,20:10:00,13.32,13.32,13.31,13.32,1100,0
2016-06-23,20:15:00,13.31,13.33,13.31,13.33,1500,0
2016-06-23,20:20:00,13.34,13.34,13.32,13.33,1745,0
2016-06-23,20:25:00,13.33,13.33,13.31,13.32,400,0
2016-06-23,20:30:00,13.32,13.36,13.31,13.36,2820,0
2016-06-23,20:35:00,13.36,13.36,13.29,13.3,15635,0
2016-06-23,20:40:00,13.29,13.3,13.28,13.28,1400,0
2016-06-23,20:45:00,13.28,13.28,13.25,13.27,4600,0
2016-06-23,20:50:00,13.2553,13.28,13.2553,13.27,2630,0
2016-06-23,20:55:00,13.28,13.28,13.26,13.27,3600,0
2016-06-23,21:00:00,13.27,13.27,13.25,13.26,1300,0
2016-06-23,21:05:00,13.24,13.25,13.23,13.23,1700,0
2016-06-23,21:10:00,13.24,13.24,13.21,13.24,3654,0
2016-06-23,21:15:00,13.245,13.27,13.242,13.26,5375,0
2016-06-23,21:20:00,13.25,13.26,13.25,13.26,2200,0
2016-06-23,21:25:00,13.26,13.33,13.26,13.3,4075,0
2016-06-23,21:30:00,13.3,13.31,13.28,13.3,3000,0
2016-06-23,21:35:00,13.29,13.35,13.29,13.345,4800,0
2016-06-23,21:40:00,13.33,13.4,13.33,13.4,2900,0
2016-06-23,21:45:00,13.41,13.45,13.41,13.45,3000,0
2016-06-23,21:50:00,13.45,13.49,13.45,13.47,7400,0
2016-06-23,21:55:00,13.47,13.52,13.47,13.515,12344,0
2016-06-23,22:00:00,13.51,13.54,13.5,13.54,16435,0
2016-06-24,15:35:00,13,13.14,13,13.14,1909,0
2016-06-24,15:40:00,13,13.16,12.92,12.92,6400,0
2016-06-24,15:45:00,13.03,13.13,12.98,13.04,22713,0
2016-06-24,15:50:00,13,13.07,13,13.0399,2822,0
2016-06-24,15:55:00,12.996,13.09,12.96,13.09,3000,0
2016-06-24,16:00:00,13.07,13.17,13.07,13.16,5700,0
2016-06-24,16:05:00,13.18,13.2,13.155,13.2,400,0
2016-06-24,16:10:00,13.16,13.16,13.085,13.11,1000,0
2016-06-24,16:15:00,13.03,13.09,13,13,500,0
2016-06-24,16:20:00,13.03,13.12,13.005,13.1099,1300,0
2016-06-24,16:25:00,13.05,13.11,13.02,13.06,4300,0
2016-06-24,16:30:00,13.08,13.13,13.06,13.12,2095,0
2016-06-24,16:35:00,13.13,13.17,13.08,13.13,2300,0
2016-06-24,16:40:00,13.15,13.15,13.04,13.12,8806,0
2016-06-24,16:45:00,13.1124,13.18,13.11,13.18,1900,0
