Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-17,15:35:00,7.01,7.01,7,7,204440,0
2016-06-17,15:40:00,7,7.005,7,7,91056,0
2016-06-17,15:45:00,7,7.01,7,7,33097,0
2016-06-17,15:50:00,7,7.005,7,7,14795,0
2016-06-17,15:55:00,7,7.0085,7,7,24300,0
2016-06-17,16:00:00,7,7.005,7,7,2500,0
2016-06-17,16:05:00,7,7.005,7,7,10669,0
2016-06-17,16:10:00,7,7.005,7,7.005,102582,0
2016-06-17,16:15:00,7.005,7.01,7,7,2000,0
2016-06-17,16:20:00,7,7.01,7,7.005,1178,0
2016-06-17,16:25:00,7,7.01,7,7,220590,0
2016-06-17,16:30:00,7.005,7.01,7,7.005,3920,0
2016-06-17,16:35:00,7,7.01,7,7,9600,0
2016-06-17,16:40:00,7,7.01,7,7.005,3360,0
2016-06-17,16:45:00,7,7.005,7,7,6265,0
2016-06-17,16:50:00,7.005,7.005,7,7,2800,0
2016-06-17,16:55:00,7,7.005,7,7,12397,0
2016-06-17,17:00:00,7,7.005,7,7,3500,0
2016-06-17,17:05:00,7,7.005,7,7,7744,0
2016-06-17,17:10:00,7,7.005,7,7,9922,0
2016-06-17,17:15:00,7,7.005,7,7,4375,0
2016-06-17,17:20:00,7,7.005,7,7,3300,0
2016-06-17,17:25:00,7,7.005,7,7,2000,0
2016-06-17,17:30:00,7.005,7.005,7,7.005,3400,0
2016-06-17,17:35:00,7,7.005,7,7,2500,0
2016-06-17,17:40:00,7,7.005,7,7,8900,0
2016-06-17,17:45:00,7,7.01,7,7.005,2740,0
2016-06-17,17:50:00,7,7.005,7,7.005,882,0
2016-06-17,17:55:00,7.005,7.005,7.005,7.005,100,0
2016-06-17,18:00:00,7.005,7.005,7,7.005,1800,0
2016-06-17,18:05:00,7.005,7.01,7.005,7.01,4240,0
2016-06-17,18:10:00,7.005,7.01,7.005,7.01,62929,0
2016-06-17,18:15:00,7.01,7.01,7.01,7.01,5420,0
2016-06-17,18:20:00,7.01,7.02,7.005,7.015,119585,0
2016-06-17,18:25:00,7.015,7.015,7.015,7.015,1400,0
2016-06-17,18:30:00,7.015,7.02,7.015,7.015,2300,0
2016-06-17,18:35:00,7.015,7.02,7.015,7.015,1000,0
2016-06-17,18:40:00,7.01,7.015,7.01,7.01,2200,0
2016-06-17,18:45:00,7.01,7.01,7.005,7.01,39851,0
2016-06-17,18:50:00,7.01,7.01,7.005,7.005,10600,0
2016-06-17,18:55:00,7,7.01,7,7.01,1600,0
2016-06-17,19:00:00,7.01,7.01,7,7.01,3200,0
2016-06-17,19:05:00,7.005,7.01,7.005,7.01,1700,0
2016-06-17,19:10:00,7.005,7.01,7.005,7.01,700,0
2016-06-17,19:15:00,7.005,7.005,7.005,7.005,400,0
2016-06-17,19:20:00,7.01,7.01,7.005,7.005,400,0
2016-06-17,19:25:00,7.01,7.01,7.005,7.01,300,0
2016-06-17,19:30:00,7.005,7.01,7.005,7.01,1000,0
2016-06-17,19:35:00,7.005,7.01,7.005,7.005,1900,0
2016-06-17,19:40:00,7.01,7.01,7.005,7.005,2300,0
2016-06-17,19:45:00,7.005,7.01,7,7.005,900,0
2016-06-17,19:50:00,7.005,7.01,7,7,1700,0
2016-06-17,19:55:00,7.005,7.01,7,7.01,6600,0
2016-06-17,20:00:00,7.005,7.005,7,7.005,903,0
2016-06-17,20:05:00,7,7.005,7,7,900,0
2016-06-17,20:10:00,7.005,7.005,7,7.0001,900,0
2016-06-17,20:15:00,7.005,7.005,7,7.005,1500,0
2016-06-17,20:20:00,7.005,7.005,7.005,7.005,600,0
