Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,15.04,15.11,15.04,15.11,2383,0
2016-06-22,15:40:00,15.08,15.15,15.08,15.15,1400,0
2016-06-22,15:45:00,15.16,15.27,15.15,15.15,2498,0
2016-06-22,15:50:00,15.13,15.13,15.01,15.05,10924,0
2016-06-22,15:55:00,15.02,15.03,14.99,15.01,1400,0
2016-06-22,16:00:00,15.02,15.02,14.96,15,7400,0
2016-06-22,16:05:00,15.04,15.08,15.03,15.06,8425,0
2016-06-22,16:10:00,15.07,15.11,15.05,15.09,16020,0
2016-06-22,16:15:00,15.08,15.09,15.04,15.09,1500,0
2016-06-22,16:20:00,15.1,15.19,15.09,15.19,5292,0
2016-06-22,16:25:00,15.19,15.19,15.16,15.17,1200,0
2016-06-22,16:30:00,15.17,15.24,15.17,15.24,4450,0
2016-06-22,16:35:00,15.25,15.28,15.235,15.26,2300,0
2016-06-22,16:40:00,15.26,15.26,15.23,15.2399,2193,0
2016-06-22,16:45:00,15.24,15.305,15.24,15.3,3200,0
2016-06-22,16:50:00,15.3,15.3101,15.27,15.3,7251,0
2016-06-22,16:55:00,15.3,15.31,15.29,15.3,6900,0
2016-06-22,17:00:00,15.3,15.31,15.3,15.3,1800,0
2016-06-22,17:05:00,15.29,15.3,15.26,15.27,3798,0
2016-06-22,17:10:00,15.25,15.27,15.23,15.27,1600,0
2016-06-22,17:15:00,15.28,15.36,15.28,15.36,1400,0
2016-06-22,17:20:00,15.36,15.41,15.36,15.4,2900,0
2016-06-22,17:25:00,15.39,15.4,15.37,15.37,3600,0
2016-06-22,17:30:00,15.36,15.36,15.32,15.33,2181,0
2016-06-22,17:35:00,15.32,15.32,15.275,15.28,1200,0
2016-06-22,17:40:00,15.3,15.38,15.3,15.34,2048,0
2016-06-22,17:45:00,15.32,15.32,15.29,15.29,1500,0
2016-06-22,17:50:00,15.3,15.3,15.29,15.29,1300,0
2016-06-22,17:55:00,15.31,15.31,15.26,15.28,1500,0
2016-06-22,18:00:00,15.29,15.29,15.28,15.28,1300,0
2016-06-22,18:05:00,15.255,15.26,15.245,15.245,1000,0
2016-06-22,18:10:00,15.24,15.25,15.24,15.25,1000,0
2016-06-22,18:15:00,15.25,15.3,15.25,15.29,2200,0
2016-06-22,18:20:00,15.29,15.29,15.25,15.25,1845,0
2016-06-22,18:25:00,15.24,15.24,15.16,15.18,1900,0
2016-06-22,18:30:00,15.165,15.2,15.15,15.18,1600,0
2016-06-22,18:35:00,15.19,15.24,15.185,15.24,1200,0
2016-06-22,18:40:00,15.23,15.23,15.18,15.18,1600,0
2016-06-22,18:45:00,15.17,15.17,15.17,15.17,600,0
2016-06-22,18:50:00,15.16,15.16,15.15,15.15,900,0
2016-06-22,18:55:00,15.15,15.15,15.15,15.15,667,0
2016-06-22,19:00:00,15.125,15.14,15.125,15.14,300,0
2016-06-22,19:05:00,15.12,15.13,15.12,15.13,900,0
2016-06-22,19:10:00,15.11,15.11,15.1,15.1,1600,0
2016-06-22,19:15:00,15.09,15.09,15.08,15.09,1500,0
2016-06-22,19:20:00,15.11,15.11,15.08,15.08,1300,0
2016-06-22,19:25:00,15.08,15.08,15.07,15.07,400,0
2016-06-22,19:30:00,15.06,15.07,15.06,15.07,400,0
2016-06-22,19:35:00,15.07,15.08,15.07,15.08,700,0
2016-06-22,19:40:00,15.08,15.1,15.08,15.1,1800,0
2016-06-22,19:45:00,15.11,15.14,15.11,15.14,300,0
2016-06-22,19:50:00,15.13,15.13,15.13,15.13,100,0
2016-06-22,19:55:00,15.12,15.13,15.11,15.115,4100,0
2016-06-22,20:00:00,15.12,15.12,15.12,15.12,700,0
